Level 1,Level 2,Level 3,Level 4,Bos Klasor,Video Suresi (saniye)
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-1,,8.92
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-5,,4.88
IC CAPTURE 01.11.23(MAK),FIRST,C,C-2,,6.72
IC CAPTURE 01.11.23(MAK),FIRST,C,C-8,,8.22
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-2,,1.98
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-23,,7.32
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-2,,6.42
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-11,,8.24
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-1,,4.9
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-5,,4.5
IC CAPTURE 01.11.23(MAK),SECOND,C,C-2,,6.04
IC CAPTURE 01.11.23(MAK),SECOND,C,C-8,EVET,0
IC CAPTURE 01.11.23(MAK),SECOND,HC,HC-2,,7.78
IC CAPTURE 01.11.23(MAK),SECOND,HC,HC-23,EVET,0
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-2,,5.88
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-11,,10.8
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-1,,5.26
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-5,,4.54
IC CAPTURE 01.11.23(MAK),THIRD,C,C-2,,6.44
IC CAPTURE 01.11.23(MAK),THIRD,C,C-8,EVET,0
IC CAPTURE 01.11.23(MAK),THIRD,HC,HC-2,,5.62
IC CAPTURE 01.11.23(MAK),THIRD,HC,HC-23,EVET,0
IC CAPTURE 01.11.23(MAK),THIRD,WSP,WSP-2,,5.82
IC CAPTURE 01.11.23(MAK),THIRD,WSP,WSP-11,EVET,0
IC CAPTURE 01.11.23-ANG,FIRST,BSP,BSP-1,,3.24
IC CAPTURE 01.11.23-ANG,FIRST,BSP,BSP-5,,3.34
IC CAPTURE 01.11.23-ANG,FIRST,C,C-2,,4.12
IC CAPTURE 01.11.23-ANG,FIRST,C,C-8,,3.76
IC CAPTURE 01.11.23-ANG,FIRST,HC,HC-2,,4.16
IC CAPTURE 01.11.23-ANG,FIRST,HC,HC-23,,4.84
IC CAPTURE 01.11.23-ANG,FIRST,WSP,WSP-2,,4.56
IC CAPTURE 01.11.23-ANG,FIRST,WSP,WSP-11,,5.66
IC CAPTURE 01.11.23-ANG,SECOND,BSP,BSP-1,,3.54
IC CAPTURE 01.11.23-ANG,SECOND,BSP,BSP-5,,2.88
IC CAPTURE 01.11.23-ANG,SECOND,C,C-2,,4.2
IC CAPTURE 01.11.23-ANG,SECOND,C,C-8,EVET,0
IC CAPTURE 01.11.23-ANG,SECOND,HC,HC-2,,4.22
IC CAPTURE 01.11.23-ANG,SECOND,HC,HC-23,EVET,0
IC CAPTURE 01.11.23-ANG,SECOND,WSP,WSP-2,,3.9
IC CAPTURE 01.11.23-ANG,SECOND,WSP,WSP-11,,33.12
IC CAPTURE 01.11.23-ANG,THIRD,BSP,BSP-1,,3.76
IC CAPTURE 01.11.23-ANG,THIRD,BSP,BSP-5,,3.04
IC CAPTURE 01.11.23-ANG,THIRD,C,C-2,,4.36
IC CAPTURE 01.11.23-ANG,THIRD,C,C-8,EVET,0
IC CAPTURE 01.11.23-ANG,THIRD,HC,HC-2,,4.16
IC CAPTURE 01.11.23-ANG,THIRD,HC,HC-23,EVET,0
IC CAPTURE 01.11.23-ANG,THIRD,WSP,WSP-2,,4.02
IC CAPTURE 01.11.23-ANG,THIRD,WSP,WSP-11,EVET,0
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-3,,3.4
IC CAPTURE 06.11.23(MAK),FIRST,BSP,BSP-26,,4.4
IC CAPTURE 06.11.23(MAK),FIRST,C,C-4,,3.86
IC CAPTURE 06.11.23(MAK),FIRST,C,C-26,,2.52
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-4,,4.38
IC CAPTURE 06.11.23(MAK),FIRST,HC,HC-30,,6.32
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-4,,1.22
IC CAPTURE 06.11.23(MAK),FIRST,WSP,WSP-19,,5.1
IC CAPTURE 06.11.23(MAK),SECOND,BSP,BSP-3,,3.34
IC CAPTURE 06.11.23(MAK),SECOND,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23(MAK),SECOND,C,C-4,,2.88
IC CAPTURE 06.11.23(MAK),SECOND,C,C-26,,2.48
IC CAPTURE 06.11.23(MAK),SECOND,HC,HC-4,,4.1
IC CAPTURE 06.11.23(MAK),SECOND,HC,HC-30,EVET,0
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-4,,4.06
IC CAPTURE 06.11.23(MAK),SECOND,WSP,WSP-19,,5.56
IC CAPTURE 06.11.23(MAK),THIRD,BSP,BSP-3,,3.44
IC CAPTURE 06.11.23(MAK),THIRD,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23(MAK),THIRD,C,C-4,,2.8
IC CAPTURE 06.11.23(MAK),THIRD,C,C-26,,2.46
IC CAPTURE 06.11.23(MAK),THIRD,HC,HC-4,,4.02
IC CAPTURE 06.11.23(MAK),THIRD,HC,HC-30,EVET,0
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-4,,4.02
IC CAPTURE 06.11.23(MAK),THIRD,WSP,WSP-19,,5.74
IC CAPTURE 06.11.23-ANG,FIRST,BSP,BSP-3,,3.3
IC CAPTURE 06.11.23-ANG,FIRST,BSP,BSP-26,,4.22
IC CAPTURE 06.11.23-ANG,FIRST,C,C-4,,3.8
IC CAPTURE 06.11.23-ANG,FIRST,C,C-26,,2.38
IC CAPTURE 06.11.23-ANG,FIRST,HC,HC-4,,3.84
IC CAPTURE 06.11.23-ANG,FIRST,HC,HC-30,,5.98
IC CAPTURE 06.11.23-ANG,FIRST,WSP,WSP-4,,3.68
IC CAPTURE 06.11.23-ANG,FIRST,WSP,WSP-19,,5.08
IC CAPTURE 06.11.23-ANG,SECOND,BSP,BSP-3,,3.02
IC CAPTURE 06.11.23-ANG,SECOND,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23-ANG,SECOND,C,C-4,,2.66
IC CAPTURE 06.11.23-ANG,SECOND,C,C-26,,2.22
IC CAPTURE 06.11.23-ANG,SECOND,HC,HC-4,,3.74
IC CAPTURE 06.11.23-ANG,SECOND,HC,HC-30,EVET,0
IC CAPTURE 06.11.23-ANG,SECOND,WSP,WSP-4,,3.88
IC CAPTURE 06.11.23-ANG,SECOND,WSP,WSP-19,,4.68
IC CAPTURE 06.11.23-ANG,THIRD,BSP,BSP-3,,3.2
IC CAPTURE 06.11.23-ANG,THIRD,BSP,BSP-26,EVET,0
IC CAPTURE 06.11.23-ANG,THIRD,C,C-4,,2.68
IC CAPTURE 06.11.23-ANG,THIRD,C,C-26,,2.34
IC CAPTURE 06.11.23-ANG,THIRD,HC,HC-4,,3.98
IC CAPTURE 06.11.23-ANG,THIRD,HC,HC-30,EVET,0
IC CAPTURE 06.11.23-ANG,THIRD,WSP,WSP-4,,3.86
IC CAPTURE 06.11.23-ANG,THIRD,WSP,WSP-19,,5.64
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-6,,2.06
IC CAPTURE 10.11.23(MAK),FIRST,BSP,BSP-16,,1.7
IC CAPTURE 10.11.23(MAK),FIRST,C,C-11,,1.22
IC CAPTURE 10.11.23(MAK),FIRST,C,C-12,,3.34
IC CAPTURE 10.11.23(MAK),FIRST,HC,HC-6,,0.02
IC CAPTURE 10.11.23(MAK),FIRST,HC,HC-12,,4.52
