Kategori,Shape,Numara,Excel_Kod,Experiments_Kod,a_mm,b_mm,c_mm,Density_kg_m3,Velocity_Status
BSP,Box Shape Prism,1,Box-shaped prism-1,BSP-1,4.85,4.84,2.34,1148.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,2,Box-shaped prism-2,BSP-2,4.84,4.76,2.85,1127.0,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,3,Box-shaped prism-3,BSP-3,4.81,3.82,2.88,1132.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,4,Box-shaped prism-4,BSP-4,4.85,4.81,2.88,1100.7,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,5,Box-shaped prism-5,BSP-5,3.84,2.8,2.32,1081.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,7,Box-shaped prism-7,BSP-7,4.88,4.85,2.36,1128.7,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,13,Box-shaped prism-13,BSP-13,4.85,4.84,2.86,1132.6,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,14,Box-shaped prism-14,BSP-14,3.84,3.83,2.85,1097.1,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,15,Box-shaped prism-15,BSP-15,3.86,3.81,2.85,1122.0,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,19,Box-shaped prism-19,BSP-19,4.82,4.8,2.86,1133.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,20,Box-shaped prism-20,BSP-20,4.83,4.78,2.87,1132.4,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,22,Box-shaped prism-22,BSP-22,2.86,2.82,2.79,1111.1,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,26,Box-shaped prism-26,BSP-26,4.81,4.77,1.03,1269.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,30,Box-shaped prism-30,BSP-30,4.81,4.75,1.04,1222.2,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,32,Box-shaped prism-32,BSP-32,3.76,2.75,1.03,1223.5,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,33,Box-shaped prism-33,BSP-33,4.76,4.76,2.35,1179.4,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,34,Box-shaped prism-34,BSP-34,4.79,3.82,2.82,1130.7,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,35,Box-shaped prism-35,BSP-35,2.85,2.79,2.84,1108.4,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,36,Box-shaped prism-36,BSP-36,2.81,2.84,1.79,1107.4,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,37,Box-shaped prism-37,BSP-37,3.78,2.71,2.85,1178.9,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,38,Box-shaped prism-38,BSP-38,4.75,4.75,2.35,1183.6,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,39,Box-shaped prism-39,BSP-39,2.82,2.32,1.73,1131.2,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,40,Box-shaped prism-40,BSP-40,4.78,4.74,2.33,1182.0,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,41,Box-shaped prism-41,BSP-41,3.83,2.87,2.79,1127.2,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,42,Box-shaped prism-42,BSP-42,3.85,2.8,2.31,1118.0,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,43,Box-shaped prism-43,BSP-43,2.83,2.79,1.76,1152.8,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,44,Box-shaped prism-44,BSP-44,3.73,3.76,2.34,1169.4,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,45,Box-shaped prism-45,BSP-45,3.79,3.75,2.34,1115.1,EKSIK - Ölçüm gerekli
BSP,Box Shape Prism,48,Box-shaped prism-48,BSP-48,2.88,2.83,1.79,1089.1,EKSIK - Ölçüm gerekli
C,Cylinder,1,Cylinder-1,C-1,4.8,4.8,0.98,1578.5,EKSIK - Ölçüm gerekli
C,Cylinder,2,Cylinder-2,C-2,4.84,4.84,1.01,1514.0,EKSIK - Ölçüm gerekli
C,Cylinder,3,Cylinder-3,C-3,4.79,4.79,1.02,1542.3,EKSIK - Ölçüm gerekli
C,Cylinder,4,Cylinder-4,C-4,4.77,4.77,2.85,1438.5,EKSIK - Ölçüm gerekli
C,Cylinder,5,Cylinder-5,C-5,4.81,4.81,2.82,1427.8,EKSIK - Ölçüm gerekli
C,Cylinder,6,Cylinder-6,C-6,3.84,3.84,2.86,1372.7,EKSIK - Ölçüm gerekli
C,Cylinder,7,Cylinder-7,C-7,2.82,2.82,2.32,1414.6,EKSIK - Ölçüm gerekli
C,Cylinder,8,Cylinder-8,C-8,1.82,1.82,2.33,1380.2,EKSIK - Ölçüm gerekli
C,Cylinder,9,Cylinder-9,C-9,3.79,3.79,2.28,1431.9,EKSIK - Ölçüm gerekli
C,Cylinder,10,Cylinder-10,C-10,2.79,2.79,2.31,1458.1,EKSIK - Ölçüm gerekli
C,Cylinder,12,Cylinder-12,C-12,2.86,2.86,2.32,1367.6,EKSIK - Ölçüm gerekli
C,Cylinder,17,Cylinder-17,C-17,4.75,4.75,1.0,1583.6,EKSIK - Ölçüm gerekli
C,Cylinder,20,Cylinder-20,C-20,2.81,2.81,1.02,1537.7,EKSIK - Ölçüm gerekli
C,Cylinder,21,Cylinder-21,C-21,3.47,3.47,2.89,1718.0,EKSIK - Ölçüm gerekli
C,Cylinder,26,Cylinder-26,C-26,3.82,3.82,2.83,1407.6,EKSIK - Ölçüm gerekli
C,Cylinder,28,Cylinder-28,C-28,3.83,3.83,2.84,1391.2,EKSIK - Ölçüm gerekli
C,Cylinder,31,Cylinder-31,C-31,2.8,2.8,2.92,1400.4,EKSIK - Ölçüm gerekli
C,Cylinder,32,Cylinder-32,C-32,4.82,4.82,2.31,1415.3,EKSIK - Ölçüm gerekli
C,Cylinder,33,Cylinder-33,C-33,2.8,2.8,1.0,1603.1,EKSIK - Ölçüm gerekli
C,Cylinder,34,Cylinder-34,C-34,1.84,1.84,2.89,1313.1,EKSIK - Ölçüm gerekli
C,Cylinder,35,Cylinder-35,C-35,2.83,2.83,2.31,1416.7,EKSIK - Ölçüm gerekli
C,Cylinder,36,Cylinder-36,C-36,2.84,2.84,2.32,1365.1,EKSIK - Ölçüm gerekli
C,Cylinder,37,Cylinder-37,C-37,2.81,2.81,2.93,1390.0,EKSIK - Ölçüm gerekli
C,Cylinder,38,Cylinder-38,C-38,3.81,3.81,0.99,1571.0,EKSIK - Ölçüm gerekli
C,Cylinder,39,Cylinder-39,C-39,2.82,2.82,2.89,1400.9,EKSIK - Ölçüm gerekli
C,Cylinder,40,Cylinder-40,C-40,4.79,4.79,1.0,1594.8,EKSIK - Ölçüm gerekli
C,Cylinder,41,Cylinder-41,C-41,1.82,1.82,2.89,1398.1,EKSIK - Ölçüm gerekli
C,Cylinder,42,Cylinder-42,C-42,3.82,3.82,0.99,1572.7,EKSIK - Ölçüm gerekli
C,Cylinder,43,Cylinder-43,C-43,1.77,1.77,1.0,1483.4,EKSIK - Ölçüm gerekli
C,Cylinder,44,Cylinder-44,C-44,1.77,1.77,0.98,1564.0,EKSIK - Ölçüm gerekli
C,Cylinder,45,Cylinder-45,C-45,4.78,4.78,1.01,1568.8,EKSIK - Ölçüm gerekli
C,Cylinder,46,Cylinder-46,C-46,1.78,1.78,2.88,1518.7,EKSIK - Ölçüm gerekli
C,Cylinder,47,Cylinder-47,C-47,0.76,0.76,2.89,1306.6,EKSIK - Ölçüm gerekli
C,Cylinder,48,Cylinder-48,C-48,4.8,4.8,2.3,1446.2,EKSIK - Ölçüm gerekli
C,Cylinder,50,Cylinder-50,C-50,2.8,2.8,2.31,1431.8,EKSIK - Ölçüm gerekli
