category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
ABS C,C-1,Cylinder,4.62,6.977728333333333,-2.357728333333333,2.357728333333333,51.0330808080808
ABS C,C-10,Cylinder,2.8825000000000003,5.8756999999999975,-2.993199999999997,2.993199999999997,103.84041630529043
ABS C,C-11,Cylinder,3.61,5.592649999999999,-1.9826499999999991,1.9826499999999991,54.921052631578924
ABS C,C-12,Cylinder,3.06,5.9328233333333324,-2.8728233333333324,2.8728233333333324,93.88311546840956
ABS C,C-13,Cylinder,2.96,5.592256666666666,-2.632256666666666,2.632256666666666,88.92759009009006
ABS C,C-14,Cylinder,3.8,5.773493333333332,-1.973493333333332,1.973493333333332,51.934035087719266
ABS C,C-15,Cylinder,3.235,5.880256666666668,-2.645256666666668,2.645256666666668,81.7699124162803
ABS C,C-16,Cylinder,3.9033333333333338,5.676906666666665,-1.773573333333331,1.773573333333331,45.43740392826637
ABS C,C-17,Cylinder,3.856666666666667,6.892469999999999,-3.0358033333333325,3.0358033333333325,78.71573033707863
ABS C,C-2,Cylinder,4.613333333333333,6.893659999999999,-2.2803266666666655,2.2803266666666655,49.42904624277455
ABS C,C-3,Cylinder,4.516,6.90712,-2.39112,2.39112,52.94774136403897
ABS C,C-4,Cylinder,3.66,6.903778333333333,-3.243778333333333,3.243778333333333,88.62782331511839
ABS C,C-5,Cylinder,4.425,6.92432,-2.49932,2.49932,56.48180790960452
ABS C,C-6,Cylinder,4.098000000000001,6.89406,-2.796059999999999,2.796059999999999,68.22986822840406
ABS C,C-7,Cylinder,3.4799999999999995,6.998894166666665,-3.5188941666666658,3.5188941666666658,101.11764846743294
ABS C,C-8,Cylinder,4.45,7.061134583333336,-2.611134583333336,2.611134583333336,58.67718164794014
ABS C,C-9,Cylinder,3.256,5.894926666666668,-2.6389266666666686,2.6389266666666686,81.04811629811637
ABS CUBE,CUBE-1,Cube,3.778,5.857530833333333,-2.0795308333333327,2.0795308333333327,55.04316657843654
ABS CUBE,CUBE-10,Cube,3.942,6.011423333333336,-2.0694233333333356,2.0694233333333356,52.496786741079035
ABS CUBE,CUBE-11,Cube,3.245,5.945703333333334,-2.700703333333334,2.700703333333334,83.22660503338471
ABS CUBE,CUBE-2,Cube,3.2350000000000003,6.156945833333323,-2.9219458333333224,2.9219458333333224,90.32290056671783
ABS CUBE,CUBE-3,Cube,4.072,5.953751666666661,-1.881751666666661,1.881751666666661,46.21197609692193
ABS CUBE,CUBE-4,Cube,3.5316666666666667,6.191954583333342,-2.660287916666675,2.660287916666675,75.32669891458258
ABS CUBE,CUBE-5,Cube,3.975000000000001,6.344529999999993,-2.3695299999999917,2.3695299999999917,59.610817610062675
ABS CUBE,CUBE-6,Cube,3.855,6.5485312500000035,-2.6935312500000035,2.6935312500000035,69.87110894941644
ABS CUBE,CUBE-7,Cube,3.24,5.954370000000003,-2.7143700000000024,2.7143700000000024,83.77685185185192
ABS CUBE,CUBE-8,Cube,3.9683333333333337,7.00696444444444,-3.0386311111111066,3.0386311111111066,76.57197256054867
ABS CUBE,CUBE-9,Cube,3.414,6.272379999999997,-2.8583799999999973,2.8583799999999973,83.72524897480952
ABS HC,HC-1,Half Cylinder,2.7920000000000003,5.789166666666668,-2.997166666666668,2.997166666666668,107.34837631327608
ABS HC,HC-2,Half Cylinder,2.5383333333333336,4.086018333333335,-1.5476850000000018,1.5476850000000018,60.97248850952075
ABS HC,HC-3,Half Cylinder,3.083333333333333,5.6618150000000025,-2.5784816666666694,2.5784816666666694,83.62643243243252
ABS HC,HC-4,Half Cylinder,3.2099999999999995,5.805875000000002,-2.5958750000000026,2.5958750000000026,80.86838006230539
ABS HC,HC-5,Half Cylinder,2.856666666666667,5.781340000000001,-2.924673333333334,2.924673333333334,102.38063010501752
