Klasor,experiment,category,particle_code,Video Suresi (sn),Boyut Tipi,a_v,b_v,c_v,material_v,Kaynak,velocity_ms,view,particle_code_clean,a_mm,b_mm,c_mm,volume_mm3,surface_area_mm2,density_kg_m3,weight_g,matched,L,I,S,d_eq,sphericity,aspect_ratio,CSF,flatness,elongation,density_ratio,density_diff,category_encoded,view_encoded
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-1,8.92,"a, b, c (mm)",4.85,4.85,2.35,Plexiglass,Part 1 (2023-2024),0.032,MAK,BSP-1,4.85,4.85,2.35,55.277874999999995,92.63499999999999,1200.0,,False,4.85,4.85,2.35,3.809346222810445,0.7575475738081365,2.0638297872340425,0.48453608247422686,0.48453608247422686,1.0,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),FIRST,BSP,BSP-5,4.88,"a, b, c (mm)",3.86,2.81,2.32,Plexiglass,Part 1 (2023-2024),0.0584,MAK,BSP-5,3.86,2.81,2.32,25.164112,52.641999999999996,1200.0,,False,3.86,2.81,2.32,2.930402007376663,0.7888712885861735,1.663793103448276,0.7044354002488402,0.8256227758007116,0.727979274611399,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),FIRST,C,C-2,6.72,"a, b, c (mm)",4.87,1.0,4.85,Plexiglass,Part 1 (2023-2024),0.0424,MAK,C-2,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1158.7090355351022,0.7162,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1587090355351022,158.7090355351022,5,1
IC CAPTURE 01.11.23(MAK),FIRST,C,C-8,8.22,"a, b, c (mm)",1.8,2.34,1.83,Plexiglass,Part 1 (2023-2024),0.0347,MAK,C-8,1.8,2.34,1.83,7.70796,23.5764,1200.0,,False,2.34,1.83,1.8,1.9753610406560558,0.8003862173052022,1.2999999999999998,0.869839312029283,0.9836065573770492,0.7820512820512822,1.2,200.0,5,1
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-2,1.98,"a, b, c (mm)",4.75,2.32,2.88,Plexiglass,Part 1 (2023-2024),0.1439,MAK,HC-2,4.75,2.32,2.88,31.737599999999997,62.7632,1200.0,,False,4.75,2.88,2.32,3.1661004835708395,0.7723754025330235,2.0474137931034484,0.6272561617056152,0.8055555555555556,0.6063157894736841,1.2,200.0,6,1
IC CAPTURE 01.11.23(MAK),FIRST,HC,HC-23,7.32,"a, b, c (mm)",2.74,1.29,2.29,Plexiglass,Part 1 (2023-2024),0.0389,MAK,HC-23,2.74,1.29,2.29,8.094234,25.526600000000002,1200.0,,False,2.74,2.29,1.29,2.0078222000419603,0.7637331735724675,2.124031007751938,0.5149874999217962,0.5633187772925764,0.8357664233576642,1.2,200.0,6,1
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-2,6.42,"a, b, c (mm)",3.48,3.53,2.35,Plexiglass,Part 1 (2023-2024),0.0444,MAK,WSP-2,3.48,3.53,2.35,28.86834,57.515800000000006,1200.0,,False,3.53,3.48,2.35,3.0676603322706244,0.791245951092734,1.502127659574468,0.6704878117957578,0.6752873563218391,0.9858356940509916,1.2,200.0,14,1
IC CAPTURE 01.11.23(MAK),FIRST,WSP,WSP-11,8.24,"a, b, c (mm)",4.03,1.62,2.85,Plexiglass,Part 1 (2023-2024),0.0346,MAK,WSP-11,4.03,1.62,2.85,18.606510000000004,45.26220000000001,1200.0,,False,4.03,2.85,1.62,2.6498521336741834,0.7502253687109969,2.4876543209876543,0.4780133892616803,0.5684210526315789,0.707196029776675,1.2,200.0,14,1
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-1,4.9,"a, b, c (mm)",4.83,4.82,2.33,Plexiglass,Part 1 (2023-2024),0.0582,MAK,BSP-1,4.83,4.82,2.33,54.24379800000001,91.53020000000001,1200.0,,False,4.83,4.82,2.33,3.7854428742340436,0.7570997564971561,2.072961373390558,0.4829018136873169,0.483402489626556,0.9979296066252589,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),SECOND,BSP,BSP-5,4.5,"a, b, c (mm)",3.83,2.79,2.32,Plexiglass,Part 1 (2023-2024),0.0633,MAK,BSP-5,3.83,2.79,2.32,24.790824,52.0882,1200.0,,False,3.83,2.79,2.32,2.915839762684165,0.7893544882508976,1.6508620689655173,0.7097191051089827,0.8315412186379928,0.7284595300261096,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),SECOND,C,C-2,6.04,"a, b, c (mm)",1.01,4.79,1.01,Plexiglass,Part 1 (2023-2024),0.0472,MAK,C-2,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1158.7090355351022,0.7162,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1587090355351022,158.7090355351022,5,1
IC CAPTURE 01.11.23(MAK),SECOND,HC,HC-2,7.78,"a, b, c (mm)",4.77,2.3,2.87,Plexiglass,Part 1 (2023-2024),0.0366,MAK,HC-2,4.77,2.3,2.87,31.486769999999996,62.523799999999994,1200.0,,False,4.77,2.87,2.3,3.1577375917415815,0.7712422870340631,2.0739130434782607,0.6216238919832986,0.8013937282229964,0.6016771488469602,1.2,200.0,6,1
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-2,5.88,"a, b, c (mm)",3.5,3.5,2.34,Plexiglass,Part 1 (2023-2024),0.0485,MAK,WSP-2,3.5,3.5,2.34,28.665,57.25999999999999,1200.0,,False,3.5,3.5,2.34,3.060440792581834,0.7910441895685751,1.4957264957264957,0.6685714285714285,0.6685714285714285,1.0,1.2,200.0,14,1
IC CAPTURE 01.11.23(MAK),SECOND,WSP,WSP-11,10.8,"a, b, c (mm)",4.02,1.6,2.85,Plexiglass,Part 1 (2023-2024),0.0264,MAK,WSP-11,4.02,1.6,2.85,18.3312,44.897999999999996,1200.0,,False,4.02,2.85,1.6,2.6367176838678814,0.7488319961830875,2.5124999999999997,0.47269882863805895,0.5614035087719298,0.7089552238805971,1.2,200.0,14,1
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-1,5.26,"a, b, c (mm)",4.86,4.84,2.34,Plexiglass,Part 1 (2023-2024),0.0542,MAK,BSP-1,4.86,4.84,2.34,55.042415999999996,92.4408,1200.0,,False,4.86,4.84,2.34,3.8039298218700504,0.7569817711719261,2.076923076923077,0.4824752523663835,0.4834710743801653,0.9958847736625513,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),THIRD,BSP,BSP-5,4.54,"a, b, c (mm)",3.84,2.8,2.32,Plexiglass,Part 1 (2023-2024),0.0628,MAK,BSP-5,3.84,2.8,2.32,24.944639999999996,52.313599999999994,1200.0,,False,3.84,2.8,2.32,2.921857828166022,0.7892010920434782,1.6551724137931034,0.7075275528876865,0.8285714285714285,0.7291666666666666,1.2,200.0,4,1
IC CAPTURE 01.11.23(MAK),THIRD,C,C-2,6.44,"a, b, c (mm)",4.836666666666666,1.006666666666667,,Plexiglass,Part 1 (2023-2024),0.0443,MAK,C-2,3.813333333333333,2.85,2.86,618.101678709403,401.71937960534393,1158.7090355351022,0.7162,True,,,,3.050114839356,0.8735101516303213,1.5865921787709496,0.7102024347069995,0.8771084337349397,0.898103976878059,1.1587090355351022,158.7090355351022,5,1
