category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,dim_a,dim_b,dim_c,corey_sf,sphericity,flatness,elongation,powers_roundness
ABS C,C-1,0,Cylinder,5.44,5.293333333333333,0.0,1175.7719647634667,4.62,1.3010764773832468,2,123.0316714408338,136.9499824713682,1.0275136938865457,0.8983628245715984,5.44,5.293333333333333,5.293333333333333,0.9864275014851697,0.8735077440815741,1.0,0.9730392156862744,0.9819443956439807
ABS C,C-10,0,Cylinder,3.3433333333333333,3.16,0.0,1193.9853891589855,2.8825000000000003,0.6323698812140462,4,27.7419075804191,50.74888630036156,1.0576821680902668,0.5466397976978612,3.3433333333333333,3.16,3.16,0.9721957140825906,0.8732698956236626,1.0,0.9451645064805584,0.9631004879168976
ABS C,C-11,0,Cylinder,5.489999999999999,3.27,0.0,1100.001055228801,3.61,0.0,1,77.40737193369245,103.74277216427087,1.6783858147355548,0.7461399399582597,5.489999999999999,3.27,3.27,0.7717696646672156,0.8466706223559587,1.0,0.5956284153005466,0.7079190600821605
ABS C,C-12,0,Cylinder,3.3866666666666667,3.293333333333333,0.0,1093.4213870778954,3.06,0.5028584956691758,4,29.666784553974978,53.05577523918507,1.028027926742892,0.5591516713979364,3.3866666666666667,3.293333333333333,3.293333333333333,0.9861242035777692,0.8735044293757906,1.0,0.9724409448818897,0.9815418569651401
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,2.96,0.0,1,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474264420166331,5.493333333333333,3.28,3.28,0.772714293022186,0.8469248605773446,1.0,0.5970873786407767,0.7090745979360394
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,3.8,0.0,1,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374817233666595,5.396666666666667,3.2533333333333334,3.2533333333333334,0.7764285286084354,0.8479101086203806,1.0,0.6028412600370598,0.7136226829975612
ABS C,C-15,0,Cylinder,5.426666666666667,3.313333333333334,0.0,1123.476821663564,3.235,0.2973774257292125,4,76.63396613120723,102.74488016444316,1.6373327969425724,0.745859259841424,5.426666666666667,3.313333333333334,3.313333333333334,0.7813866588092676,0.8491898664704434,1.0,0.6105651105651106,0.7197052254232054
ABS C,C-16,0,Cylinder,5.460000000000001,3.266666666666666,0.0,1119.9705245307755,3.9033333333333338,1.1412741417672911,6,76.48565456726861,102.8613983453063,1.670917066204224,0.7435725376585944,5.460000000000001,3.266666666666666,3.266666666666666,0.7734924681537617,0.8471331800717964,1.0,0.598290598290598,0.7100268719598126
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,3.856666666666667,0.3955165398985651,3,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989733887371464,5.433333333333334,5.316666666666667,5.316666666666667,0.9892055435358029,0.8735346230888423,1.0,0.9785276073619633,0.9856333471721652
ABS C,C-2,0,Cylinder,5.489999999999999,5.286666666666666,0.0,1118.5102892141804,4.613333333333333,0.3008875759039133,3,125.14586328933356,138.52491522849027,1.0382651453066885,0.9034111998676412,5.489999999999999,5.286666666666666,5.286666666666666,0.9813067629253163,0.8734416494605234,1.0,0.962962962962963,0.9751536617032364
ABS C,C-3,0,Cylinder,5.446666666666666,5.233333333333334,0.0,1140.522851236535,4.516,0.3385705244110894,5,121.93541873483838,136.14817821300198,1.040565497038782,0.8956015771470428,5.446666666666666,5.233333333333334,5.233333333333334,0.9802205432153998,0.8734248407507476,1.0,0.9608323133414935,0.9737147155864228
ABS C,C-4,0,Cylinder,5.396666666666666,5.239999999999999,0.0,1165.029569507883,3.66,0.1555634918610404,2,119.8594709481517,134.58752224916114,1.0297017108694269,0.8905623521614879,5.396666666666666,5.239999999999999,5.239999999999999,0.985377965251889,0.8734959537749843,1.0,0.9709697344039532,0.9805516209776017
ABS C,C-5,0,Cylinder,5.406666666666666,5.276666666666666,0.0,1146.3828340883151,4.425,0.7284000732198391,4,121.14590310702488,135.54464335766232,1.024442619844628,0.8937646397631456,5.406666666666666,5.276666666666666,5.276666666666666,0.9879046565117422,0.8735228162705619,1.0,0.9759556103575833,0.9839054736944605
ABS C,C-6,0,Cylinder,5.539999999999999,5.37,0.0,1122.6643940626736,4.098000000000001,0.5895506763629397,5,129.44452807918535,141.67200566922386,1.0314652764848258,0.9136851968921348,5.539999999999999,5.37,5.37,0.9845374951835927,0.8734858617010129,1.0,0.9693140794223828,0.9794366415623461
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,3.4799999999999995,0.0,1,124.73390851359645,138.20244819589186,1.0153578312503886,0.9025383240568392,5.443333333333334,5.36,5.36,0.9923158535541704,0.8735573230624968,1.0,0.9846907532149417,0.9897676152404887
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,4.45,0.4649014232429637,4,117.58860644866522,132.87015317178378,0.992318741022919,0.8849822075122628,5.336666666666666,5.296666666666667,5.296666666666667,0.996245293375152,0.8735749751404508,1.0,0.9925046845721426,0.9949968599675821
ABS C,C-9,0,Cylinder,5.333333333333333,3.266666666666667,0.0,1182.952505698218,3.256,0.3214498405661447,5,72.97803379005624,99.413954193597,1.6321534224217074,0.7340750129798532,5.333333333333333,3.266666666666667,3.266666666666667,0.7826237921249264,0.8495029312120264,1.0,0.6125000000000002,0.7212249274664975
ABS CUBE,CUBE-1,2,Cube,5.2,5.113333333333333,5.13,1035.8988434882212,3.778,0.571987762106848,5,136.40328,158.99346666666668,1.016750309587434,0.8579121202121498,5.2,5.13,5.113333333333333,0.9900195039241975,0.8059746608669373,0.9967511371020144,0.9865384615384615,0.9899310069411817
ABS CUBE,CUBE-10,2,Cube,3.016666666666667,2.986666666666667,3.1966666666666668,1006.9005220348412,3.942,0.6856894340734728,5,28.8012562962963,56.40086666666668,1.0097065714604487,0.5106436718931814,3.1966666666666668,3.016666666666667,2.986666666666667,0.9617770650192863,0.8056368107913839,0.9900552486187845,0.9436913451511992,0.9588995721310796
ABS CUBE,CUBE-11,2,Cube,3.056666666666666,3.0766666666666667,3.1833333333333336,1018.8006074278508,3.245,0.388908729652601,2,29.937163148148144,57.85757777777778,0.9931766489764972,0.5174196168998534,3.1833333333333336,3.0766666666666667,3.056666666666666,0.9767126203087787,0.8058687333773662,0.9934994582881905,0.9664921465968586,0.9754120081961384
ABS CUBE,CUBE-2,2,Cube,5.063333333333333,5.043333333333333,5.180000000000001,1028.9023828473678,3.2350000000000003,0.3850973902793942,4,132.27688288888888,155.7772222222222,1.0037666027886076,0.8491359125936873,5.180000000000001,5.063333333333333,5.043333333333333,0.9847693743174745,0.8059401724815546,0.9960500329163925,0.9774774774774773,0.9836295282625105
ABS CUBE,CUBE-3,2,Cube,3.11,3.083333333333333,3.783333333333333,1047.4375107433168,4.072,0.3810118108405566,5,36.27901388888888,66.04122222222222,1.0083216254187832,0.5493306050001682,3.783333333333333,3.11,3.083333333333333,0.8988826132252715,0.8024894622557268,0.9914255091103965,0.8220264317180617,0.875005033131822
ABS CUBE,CUBE-4,2,Cube,5.05,5.04,5.193333333333334,1028.894380360464,3.5316666666666667,0.3178941123497991,6,132.18072,155.70546666666667,1.0017853600476094,0.8489096363799064,5.193333333333334,5.05,5.04,0.9841510226067215,0.8059207532977732,0.998019801980198,0.9724005134788188,0.9808663576874248
ABS CUBE,CUBE-5,2,Cube,3.0700000000000003,3.053333333333333,3.796666666666667,1039.6488087554087,3.975000000000001,0.3348133808556638,4,35.588940888888885,65.24397777777779,1.0051293244570558,0.5454663653975579,3.796666666666667,3.0700000000000003,3.053333333333333,0.8943423500899418,0.8019618996009354,0.9945711183496198,0.8086040386303776,0.866368297248463
