category,code,shape_enc,shape_name,a,b,c,density,velocity_ms,velocity_cms,date,view,repeat
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,0.0296,2.96,06.11.2024,MAK,FIRST
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,0.038,3.8,06.11.2024,ANG,FIRST
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0388,3.88,06.11.2024,ANG,FIRST
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0345,3.45,06.11.2024,MAK,FIRST
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0424,4.24,06.11.2024,MAK,SECOND
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,0.0348,3.4799999999999995,06.11.2024,MAK,FIRST
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.9343500495427,0.0482,4.82,06.11.2024,ANG,FIRST
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.9343500495427,0.048600000000000004,4.86,06.11.2024,ANG,SECOND
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.9343500495427,0.0392,3.92,06.11.2024,MAK,FIRST
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.9343500495427,0.042,4.2,06.11.2024,MAK,SECOND
ABS CUBE,CUBE-6,2,Cube,5.06,5.05,5.186666666666667,1075.1885516035675,0.0401,4.01,06.11.2024,ANG,FIRST
ABS CUBE,CUBE-6,2,Cube,5.06,5.05,5.186666666666667,1075.1885516035675,0.037000000000000005,3.7000000000000006,06.11.2024,MAK,FIRST
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.10339999999999999,10.34,09.01.2025,ANG,FIRST
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.10339999999999999,10.34,09.01.2025,ANG,SECOND
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.1061,10.61,09.01.2025,ANG,THIRD
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.094,9.4,09.01.2025,MAK,FIRST
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.09050000000000001,9.05,09.01.2025,MAK,SECOND
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416893,0.0851,8.51,09.01.2025,MAK,THIRD
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.9439578742079,0.0968,9.68,09.01.2025,ANG,FIRST
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.9439578742079,0.1003,10.03,09.01.2025,ANG,SECOND
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.9439578742079,0.0824,8.24,09.01.2025,MAK,FIRST
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.9439578742079,0.0828,8.28,09.01.2025,MAK,SECOND
RESIN (a=6 r=3),CUBE-2,2,Cube,6.24,6.24,6.24,1154.8331204495055,0.0931,9.31,09.01.2025,ANG,FIRST
