category,code,shape_enc,shape_name,a,b,c,density,velocity_ms,velocity_cms,date,view,repeat,volume,surface_area,aspect_ratio,vol_surf_ratio
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,0.0296,2.96,06.11.2024,MAK,FIRST,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474336283185841
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,0.038,3.8,06.11.2024,ANG,FIRST,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374890320171755
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0388,3.88,06.11.2024,ANG,FIRST,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989799446749654
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0345,3.45,06.11.2024,MAK,FIRST,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989799446749654
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,0.0424,4.24,06.11.2024,MAK,SECOND,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989799446749654
ABS C,C-7,0,Cylinder,5.443333333333334,5.36,0.0,1164.0331017352394,0.0348,3.4799999999999995,06.11.2024,MAK,FIRST,124.73390851359645,138.20244819589186,1.0153578312503886,0.9025448546091981
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,0.0482,4.82,06.11.2024,ANG,FIRST,117.58860644866522,132.87015317178378,0.992318741022919,0.8849888680164196
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,0.0486,4.86,06.11.2024,ANG,SECOND,117.58860644866522,132.87015317178378,0.992318741022919,0.8849888680164196
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,0.0392,3.92,06.11.2024,MAK,FIRST,117.58860644866522,132.87015317178378,0.992318741022919,0.8849888680164196
ABS C,C-8,0,Cylinder,5.296666666666667,5.336666666666666,0.0,1184.934350049543,0.042,4.2,06.11.2024,MAK,SECOND,117.58860644866522,132.87015317178378,0.992318741022919,0.8849888680164196
ABS CUBE,CUBE-6,2,Cube,5.06,5.05,5.186666666666667,1075.1885516035677,0.0401,4.01,06.11.2024,ANG,FIRST,132.53489333333334,155.9804,1.0017818253811126,0.8496839580445703
ABS CUBE,CUBE-6,2,Cube,5.06,5.05,5.186666666666667,1075.1885516035677,0.037,3.7000000000000006,06.11.2024,MAK,FIRST,132.53489333333334,155.9804,1.0017818253811126,0.8496839580445703
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.1033999999999999,10.34,09.01.2025,ANG,FIRST,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.1033999999999999,10.34,09.01.2025,ANG,SECOND,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.1061,10.61,09.01.2025,ANG,THIRD,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.094,9.4,09.01.2025,MAK,FIRST,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.0905,9.05,09.01.2025,MAK,SECOND,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-2,0,Cylinder,6.1,6.3,0.0,1172.0910224416891,0.0851,8.51,09.01.2025,MAK,THIRD,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.943957874208,0.0968,9.68,09.01.2025,ANG,FIRST,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.943957874208,0.1003,10.03,09.01.2025,ANG,SECOND,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
RESIN (a=6 r=3),C-3,0,Cylinder,6.1,6.3,0.0,1163.943957874208,0.0824,8.24,09.01.2025,MAK,FIRST,184.11539365811998,179.18073699749382,0.9681003015394382,1.0275401069518717
