category,code,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
RESIN (a=9 r=4.5),SP-6,12.6775,12.6775,4.22875,33.35633997239203,3.2045467499999996
RESIN (a=9 r=4.5),CUBE-1,7.883333333333333,7.883333333333333,3.462222222222223,43.91825229034532,2.6236720000000004
WSP,WSP-2,2.87,6.086,3.2159999999999997,112.05574912891984,2.4370847999999996
RESIN (a=6 r=3),SP-6,8.57,8.57,3.16,36.87281213535589,2.394648
BSP,BSP-5,3.75,6.805,3.0549999999999997,81.46666666666667,2.315079
HC,HC-46,3.62,6.403333333333333,3.0100000000000002,83.14917127071824,2.2809780000000006
RESIN (a=9 r=4.5),SP-1,10.8825,10.8825,2.95125,27.119228118538935,2.23645725
RESIN (a=6 r=3),C-6,7.796666666666667,7.796666666666667,2.9244444444444446,37.50890694028787,2.216144
RESIN (a=6 r=3),SP-7,10.07,10.07,2.9240000000000004,29.036742800397217,2.2158072000000004
RESIN (a=9 r=4.5),SP-8,10.862,10.862,2.6856,24.724728410974034,2.03514768
WSP,WSP-42,4.516666666666667,6.132,2.6286666666666667,58.199261992619924,1.9920035999999999
RESIN (a=6 r=3),SP-5,11.275,11.275,2.5124999999999997,22.28381374722838,1.9039725
HC,HC-44,4.359999999999999,6.5760000000000005,2.3520000000000008,53.944954128440386,1.7823456000000006
HC,HC-41,3.2533333333333334,5.11,2.322,71.37295081967213,1.7596116
WSP,WSP-4,4.51,6.672499999999999,2.1625,47.949002217294904,1.6387425000000002
BSP,BSP-46,4.140000000000001,6.182,2.1419999999999995,51.73913043478259,1.6232075999999993
RESIN (a=9 r=4.5),C-6,8.5375,8.5375,2.1275,24.9194729136164,1.6122195000000004
C,C-49,5.416666666666667,7.195,2.0061111111111107,37.03589743589743,1.520231
RESIN (a=6 r=3),C-5,7.3066666666666675,7.3066666666666675,1.956666666666667,26.77919708029197,1.4827620000000004
BSP,BSP-49,3.8533333333333335,5.65,1.9139999999999997,49.6712802768166,1.4504291999999996
RESIN (a=6 r=3),CUBE-6,8.455,8.455,1.9124999999999999,22.61975162625665,1.4492924999999999
WSP,WSP-41,3.12,4.66,1.8399999999999999,58.97435897435897,1.3943519999999998
BSP,BSP-50,5.390000000000001,7.03,1.703333333333333,31.601731601731586,1.2907859999999993
RESIN (a=6 r=3),SP-2,10.900000000000002,10.9,1.6600000000000001,15.229357798165136,1.2579480000000003
HC,HC-4,4.54,6.1933333333333325,1.6533333333333333,36.41703377386197,1.252896
