category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,d_eq,d_eq_m,V_ms,rho_p,Re,CD
ABS C,C-1,0,Cylinder,5.44,5.293333333333333,0.0,1175.7719647634667,4.62,1.3010764773832468,2,123.0316714408338,136.9499824713682,1.0275136938865457,0.898369384359401,5.390665048667901,0.005390665048667901,0.0462,1175.7719647634667,248.5506277979601,5.884355080098645
ABS C,C-10,0,Cylinder,3.3433333333333333,3.16,0.0,1193.9853891589855,2.8825000000000003,0.6323698812140462,4,27.7419075804191,50.74888630036156,1.0576821680902668,0.5466505691617798,3.281069877593774,0.0032810698775937743,0.028825000000000003,1193.9853891589855,94.38768554319728,10.143264398427613
ABS C,C-11,0,Cylinder,5.489999999999999,3.27,0.0,1100.001055228801,3.61,0.0,1,77.40737193369245,103.74277216427087,1.6783858147355548,0.7461471321695762,4.619172140414592,0.004619172140414592,0.0361,1100.001055228801,166.41861004042883,4.7383988120988
ABS C,C-12,0,Cylinder,3.3866666666666667,3.293333333333333,0.0,1093.4213870778954,3.06,0.5028584956691758,4,29.666784553974978,53.05577523918507,1.028027926742892,0.5591622103386809,3.355265300163656,0.0033552653001636557,0.030600000000000002,1093.4213870778954,102.46577594863786,4.481330149238399
ABS C,C-13,0,Cylinder,5.493333333333333,3.28,0.0,1113.5798390396526,2.96,0.0,1,77.73840582765787,104.00710227948544,1.6742862948288124,0.7474336283185841,4.625747431296171,0.004625747431296171,0.0296,1113.5798390396526,136.64827971843394,7.997565068960346
ABS C,C-14,0,Cylinder,5.396666666666667,3.2533333333333334,0.0,1131.052140242979,3.8,0.0,1,74.41656720445049,100.90532058613366,1.6583017515108065,0.7374890320171755,4.5588984358901765,0.004558898435890177,0.038,1131.052140242979,172.89166428269905,5.5054369251771496
ABS C,C-15,0,Cylinder,5.426666666666667,3.313333333333334,0.0,1123.476821663564,3.235,0.2973774257292125,4,76.63396613120723,102.74488016444316,1.6373327969425724,0.7458665191740413,4.603736663694511,0.0046037366636945114,0.03235,1123.476821663564,148.63301930837642,7.234401634067477
ABS C,C-16,0,Cylinder,5.460000000000001,3.266666666666666,0.0,1119.9705245307755,3.9033333333333338,1.1412741417672911,6,76.48565456726861,102.8613983453063,1.670917066204224,0.743579766536965,4.600764838167362,0.004600764838167362,0.03903333333333334,1119.9705245307755,179.2240211414331,4.827150606327468
ABS C,C-17,0,Cylinder,5.433333333333334,5.316666666666667,0.0,1131.5340601175835,3.856666666666667,0.3955165398985651,3,123.27131061583096,137.12353801218651,1.0217513947219956,0.8989799446749654,5.3941627299040436,0.0053941627299040435,0.038566666666666666,1131.5340601175835,207.618806198066,6.347008679716301
ABS C,C-2,0,Cylinder,5.489999999999999,5.286666666666666,0.0,1118.5102892141804,4.613333333333333,0.3008875759039133,3,125.14586328933356,138.52491522849027,1.0382651453066885,0.9034177215189872,5.421367805185487,0.005421367805185488,0.04613333333333333,1118.5102892141804,249.60555654306538,4.023282544607628
