Start_X,Start_Y,Vector_X,Vector_Y
485.0,144.0,0.5133667,1.5773468
496.0,141.0,-0.13793945,0.73991394
490.0,132.0,0.24072266,0.19351196
480.0,131.0,0.08380127,0.07778931
481.0,138.0,0.5392761,0.4520111
485.51337,145.57735,0.6128845,1.2618103
495.86206,141.73991,0.12426758,0.9909973
490.24072,132.19351,-0.49969482,0.010772705
480.0838,131.07779,-0.08364868,-0.0028381348
481.53928,138.45201,0.024749756,0.23085022
486.12625,146.83916,0.13595581,0.71188354
495.98633,142.73091,-0.35699463,0.36235046
489.74103,132.20428,0.28897095,-0.13969421
480.00015,131.07495,0.1116333,-0.032699585
481.56403,138.68286,0.1578064,0.07714844
486.2622,147.55104,0.034423828,0.7875824
495.62933,143.09326,-0.56677246,0.1768341
490.03,132.06459,-0.82388306,-0.021560669
480.1118,131.04225,-0.56521606,-0.012313843
481.72183,138.76001,-0.3835144,0.0017089844
486.29663,148.33862,0.3928833,0.23564148
495.06256,143.2701,0.5470581,0.08596802
489.20612,132.04303,0.5595093,0.04257202
479.54657,131.02994,0.42486572,-0.11743164
481.33832,138.76172,0.21780396,-0.05609131
486.6895,148.57426,0.19116211,0.31578064
495.60962,143.35606,-0.25720215,-0.008132935
489.76562,132.0856,-0.012268066,0.17887878
479.97144,130.9125,0.17837524,0.22991943
481.55612,138.70563,0.16134644,0.24099731
486.88068,148.89005,-0.044189453,-0.09288025
495.35242,143.34793,-0.12487793,-0.0947876
489.75336,132.26448,-0.1642456,-0.0634613
480.1498,131.14243,0.124694824,0.017944336
481.71747,138.94662,0.17907715,-0.09428406
486.8365,148.79716,0.36520386,0.048614502
495.22754,143.25314,0.42617798,0.020523071
489.5891,132.20102,0.54055786,0.0052337646
480.2745,131.16037,0.3074646,-0.057434082
481.89655,138.85234,0.04534912,-0.081848145
487.2017,148.84578,0.66186523,-0.12458801
495.65372,143.27367,0.18222046,-0.03614807
490.12967,132.20625,0.20462036,-0.089141846
480.58197,131.10294,0.3258667,-0.12246704
481.9419,138.7705,0.6706238,-0.06278992
487.86356,148.72119,-0.31399536,0.069992065
495.83594,143.23752,-0.5372925,0.02104187
490.3343,132.11711,-0.26391602,0.0708313
480.90784,130.98047,-0.18011475,0.03955078
482.61252,138.7077,-0.49127197,0.01222229
487.54956,148.79118,0.12234497,-0.08163452
495.29865,143.25856,0.33468628,-0.056365967
490.07037,132.18794,-0.32806396,-0.04421997
480.72772,131.02002,-0.4975891,0.10946655
482.12125,138.71992,-0.08364868,0.037841797
487.6719,148.70955,-0.5555115,0.0549469
495.63333,143.2022,0.41360474,0.30711365
489.7423,132.14372,-0.47354126,-0.0007171631
480.23013,131.12949,-0.1921997,-0.04815674
482.0376,138.75777,0.600647,0.034851074
487.1164,148.7645,0.8562317,-0.09422302
496.04694,143.50931,0.119659424,-0.19544983
489.26877,132.143,0.3952942,-0.043060303
480.03793,131.08133,0.3371277,0.01864624
482.63824,138.79262,0.3083191,0.043655396
487.97263,148.67027,-0.3756714,0.081451416
496.1666,143.31386,-0.41897583,0.15965271
489.66406,132.09995,-0.27035522,0.08520508
480.37506,131.09998,-0.27416992,-0.0047302246
482.94656,138.83627,-0.6940918,0.045211792
487.59695,148.75172,0.23703003,-0.29075623
495.74762,143.47351,0.05657959,-0.2021637
489.3937,132.18515,0.19885254,-0.09005737
480.1009,131.09525,0.18804932,-0.13169861
482.25247,138.88148,0.41864014,-0.12872314
487.83398,148.46097,-0.3253479,0.2497406
495.8042,143.27135,0.19342041,0.13328552
489.59256,132.0951,-0.09262085,0.08717346
480.28894,130.96355,0.11148071,0.121780396
482.6711,138.75276,-0.22155762,0.08404541
487.50864,148.71071,0.25567627,0.014099121
495.99762,143.40463,-0.21322632,0.05822754
489.49994,132.18227,0.09249878,-0.0929718
480.40042,131.08533,0.35461426,-0.017669678
482.44955,138.8368,0.28851318,-0.022827148
487.7643,148.72481,-0.059051514,0.18579102
495.7844,143.46286,0.4715271,0.10595703
489.59244,132.0893,-0.026275635,0.10772705
480.75504,131.06766,-0.2543335,0.11779785
482.73807,138.81398,-0.037719727,0.12562561
487.70526,148.9106,0.2642212,-0.23332214
496.25592,143.56882,0.08370972,-0.3283081
489.56616,132.19702,0.24963379,-0.11160278
480.5007,131.18546,0.35913086,-0.1539917
482.70035,138.9396,-0.035858154,-0.15905762
487.96948,148.67728,-0.5222473,0.012176514
496.33963,143.24051,-0.079956055,0.09953308
489.8158,132.08542,-0.26834106,-0.005645752
480.85983,131.03146,0.16973877,0.0050964355
482.6645,138.78055,0.056030273,-0.026062012
487.44724,148.68945,0.50006104,0.020812988
496.25967,143.34004,0.03378296,0.0061035156
489.54745,132.07977,0.13461304,0.11578369
481.02957,131.03656,0.4675598,0.10847473
482.72052,138.75449,0.66064453,0.110183716
487.9473,148.71027,0.23171997,0.0033721924
496.29346,143.34615,0.099853516,-0.12586975
489.68207,132.19556,0.2300415,-0.114868164
481.49713,131.14503,0.5386658,-0.095077515
483.38116,138.86467,0.22406006,-0.06477356
488.17902,148.71364,-0.2520752,-0.07078552
496.3933,143.22028,-0.571167,-0.032104492
489.9121,132.08069,-0.7836304,0.036224365
482.0358,131.04996,-0.64871216,0.0069122314
483.60522,138.7999,-0.140625,0.020980835
487.92694,148.64285,-0.006011963,0.20295715
495.82214,143.18817,-0.11001587,0.060180664
489.12848,132.11691,-0.10397339,-0.0697937
481.3871,131.05687,0.037719727,-0.045150757
483.4646,138.82088,0.5191345,-0.02645874
487.92093,148.84581,0.08703613,-0.08628845
495.71213,143.24835,0.0063476562,-0.032791138
489.0245,132.04712,-0.082336426,0.03453064
481.4248,131.01172,0.04663086,-0.04548645
483.98373,138.79442,-0.119506836,-0.021881104
488.00797,148.75952,-0.3571167,0.030044556
495.71848,143.21556,0.15240479,0.16064453
488.94217,132.08165,0.5185852,0.13334656
481.47144,130.96623,0.75094604,0.16801453
483.86423,138.77254,0.2659607,0.13574219
487.65085,148.78957,-0.24398804,-0.29638672
495.87088,143.3762,-0.15576172,-0.13496399
489.46075,132.215,-0.15667725,-0.1906128
482.22238,131.13425,-0.26449585,-0.2043457
484.1302,138.90828,-0.18032837,-0.23303223
487.40686,148.49318,0.81448364,0.08924866
495.71512,143.24124,0.77001953,-0.042312622
489.30408,132.02438,0.27792358,0.081970215
481.9579,130.9299,0.6090088,0.053222656
483.94986,138.67525,0.7518616,0.05596924
488.22134,148.58243,0.048065186,0.102890015
496.48514,143.19893,-0.3434143,0.3302765
489.582,132.10635,-0.7454529,0.026733398
482.5669,130.98312,-0.5285034,0.09777832
484.70172,138.73122,-0.70751953,0.11338806
488.2694,148.68532,-0.21014404,-0.025802612
496.14172,143.5292,-0.4262085,-0.064712524
488.83655,132.13309,0.28793335,-0.081329346
482.0384,131.0809,0.2190857,-0.11199951
483.9942,138.8446,0.14242554,-0.04901123
488.05927,148.65952,-0.80059814,-0.044509888
495.7155,143.4645,-0.34606934,-0.08250427
489.12448,132.05176,-0.70092773,-0.008621216
482.25748,130.9689,-0.6848755,0.036621094
484.13663,138.7956,-0.9195862,-0.020889282
487.25867,148.615,0.04034424,-0.060073853
495.36945,143.38199,0.2131958,0.027908325
488.42355,132.04314,0.099090576,0.012802124
481.5726,131.00552,0.093688965,0.042816162
483.21704,138.7747,0.2565918,0.02468872
487.299,148.55493,0.43548584,0.086639404
495.58264,143.4099,0.011444092,0.032608032
488.52264,132.05594,0.2284851,-0.08494568
481.6663,131.04834,0.5101929,-0.15345764
483.47363,138.7994,0.23199463,-0.09350586
487.7345,148.64157,-0.052581787,-0.05834961
495.5941,143.4425,0.49771118,-0.05253601
488.75113,131.971,0.04537964,0.031417847
482.17648,130.89488,-0.39318848,0.073898315
483.70563,138.70589,0.107177734,0.06188965
487.68192,148.58322,-0.46658325,-0.09677124
496.0918,143.38997,-0.29037476,0.04626465
488.7965,132.00241,-0.4013672,0.055618286
481.7833,130.96878,-0.19760132,0.030059814
483.8128,138.76778,-0.85357666,-0.039535522
487.21533,148.48645,-0.112579346,0.019073486
495.80142,143.43623,-0.2767334,0.037384033
488.39514,132.05803,-0.11218262,-0.08528137
481.5857,130.99884,-0.01586914,-0.039916992
482.95923,138.72824,0.37997437,-0.031570435
487.10275,148.50552,-0.04623413,-0.10960388
495.5247,143.47362,-0.37426758,-0.02619934
488.28296,131.97275,0.050872803,-0.003479004
481.56982,130.95892,0.25878906,-0.004562378
483.3392,138.69667,0.027282715,-0.035110474
487.05652,148.39592,-0.08782959,0.11143494
495.15042,143.44742,0.051971436,-0.008255005
488.33383,131.96927,-0.08117676,-0.0014801025
481.8286,130.95436,-0.23580933,0.041305542
483.3665,138.66156,-0.35913086,0.030715942
486.9687,148.50735,0.012145996,0.08409119
495.2024,143.43916,-0.35543823,-0.00044250488
488.25266,131.96779,-0.50375366,0.011810303
481.5928,130.99567,0.079833984,0.060272217
