Frame,X,Y,dX,dY,Magnitude
0,573,78,0,0,0.0
1,574,90,1,12,12.041594578792296
2,574,95,0,5,5.0
3,574,96,0,1,1.0
4,572,99,-2,3,3.605551275463989
5,571,109,-1,10,10.04987562112089
6,571,111,0,2,2.0
7,570,118,-1,7,7.0710678118654755
8,571,128,1,10,10.04987562112089
9,571,130,0,2,2.0
10,570,140,-1,10,10.04987562112089
11,569,142,-1,2,2.23606797749979
12,568,144,-1,2,2.23606797749979
13,568,146,0,2,2.0
14,568,149,0,3,3.0
15,568,151,0,2,2.0
16,568,153,0,2,2.0
17,568,156,0,3,3.0
18,567,158,-1,2,2.23606797749979
19,567,161,0,3,3.0
20,566,163,-1,2,2.23606797749979
21,566,165,0,2,2.0
22,567,167,1,2,2.23606797749979
23,566,169,-1,2,2.23606797749979
24,565,172,-1,3,3.1622776601683795
25,565,174,0,2,2.0
26,564,176,-1,2,2.23606797749979
27,565,178,1,2,2.23606797749979
28,564,181,-1,3,3.1622776601683795
29,564,183,0,2,2.0
30,564,185,0,2,2.0
31,565,188,1,3,3.1622776601683795
32,563,190,-2,2,2.8284271247461903
33,563,192,0,2,2.0
34,563,195,0,3,3.0
35,563,197,0,2,2.0
36,560,199,-3,2,3.605551275463989
37,563,202,3,3,4.242640687119285
38,563,204,0,2,2.0
39,562,206,-1,2,2.23606797749979
40,562,209,0,3,3.0
41,561,210,-1,1,1.4142135623730951
42,561,213,0,3,3.0
43,559,215,-2,2,2.8284271247461903
44,558,217,-1,2,2.23606797749979
45,558,220,0,3,3.0
46,558,222,0,2,2.0
47,558,224,0,2,2.0
48,560,227,2,3,3.605551275463989
49,557,229,-3,2,3.605551275463989
50,557,231,0,2,2.0
51,556,233,-1,2,2.23606797749979
52,556,235,0,2,2.0
53,556,238,0,3,3.0
54,558,241,2,3,3.605551275463989
55,555,242,-3,1,3.1622776601683795
56,555,244,0,2,2.0
57,554,247,-1,3,3.1622776601683795
58,554,249,0,2,2.0
59,554,251,0,2,2.0
60,554,253,0,2,2.0
61,553,255,-1,2,2.23606797749979
62,556,260,3,5,5.830951894845301
63,556,262,0,2,2.0
64,556,264,0,2,2.0
65,555,266,-1,2,2.23606797749979
66,555,269,0,3,3.0
67,555,272,0,3,3.0
68,554,274,-1,2,2.23606797749979
69,553,276,-1,2,2.23606797749979
70,553,279,0,3,3.0
71,553,281,0,2,2.0
72,553,283,0,2,2.0
73,552,286,-1,3,3.1622776601683795
74,552,287,0,1,1.0
75,551,290,-1,3,3.1622776601683795
76,552,292,1,2,2.23606797749979
77,552,295,0,3,3.0
78,552,297,0,2,2.0
79,551,299,-1,2,2.23606797749979
80,552,301,1,2,2.23606797749979
81,551,304,-1,3,3.1622776601683795
82,551,306,0,2,2.0
83,550,308,-1,2,2.23606797749979
84,550,311,0,3,3.0
85,550,313,0,2,2.0
86,551,315,1,2,2.23606797749979
87,550,318,-1,3,3.1622776601683795
88,550,319,0,1,1.0
89,544,320,-6,1,6.082762530298219
90,544,322,0,2,2.0
91,544,325,0,3,3.0
92,544,327,0,2,2.0
93,549,332,5,5,7.0710678118654755
94,553,335,4,3,5.0
95,549,335,-4,0,4.0
96,543,337,-6,2,6.324555320336759
97,543,339,0,2,2.0
98,548,343,5,4,6.4031242374328485
99,548,345,0,2,2.0
100,542,346,-6,1,6.082762530298219
101,543,348,1,2,2.23606797749979
102,542,350,-1,2,2.23606797749979
103,542,352,0,2,2.0
104,547,357,5,5,7.0710678118654755
105,542,357,-5,0,5.0
106,542,359,0,2,2.0
107,546,363,4,4,5.656854249492381
108,542,364,-4,1,4.123105625617661
109,545,368,3,4,5.0
