Frame,X,Y,dX,dY,Magnitude
0,526,68,0,0,0.0
1,522,69,-4,1,4.123105625617661
2,530,73,8,4,8.94427190999916
3,527,79,-3,6,6.708203932499369
4,526,83,-1,4,4.123105625617661
5,526,86,0.0,3.0,3.0
6,526,89,0.0,3.6,3.6
7,526,93,0.16000000000000003,4.12,4.123105625617661
8,525,97,-0.15360000000000001,4.144,4.146845663875133
9,524,100,-0.039744,3.7727999999999993,3.773009332818565
10,523,103,-0.0013337599999999996,3.7273599999999996,3.727360238629443
11,522,106,-0.0013871103999999993,3.8728320000000003,3.8728322484067474
12,521,109,-0.0014425948159999995,3.9273984,3.9273986649438024
13,520,112,-0.007900298608640001,3.88887808,3.888886104763495
14,519,115,-0.0020723105529856004,3.837853696,3.837854255488591
15,518,118,-0.000565442975105024,3.8508644351999997,3.8508644767135043
16,517,121,-0.000534710294109225,3.87556532224,3.875565359126889
17,516,124,-0.0005006142898735941,3.8761119866879996,3.876112019016099
18,515,127,-0.00046293506882853785,3.8658547040255997,3.865854731743775
19,514,130,-0.00016544052723607927,3.86125002883072,3.8612500323749828
20,513,133,-8.916572620609841e-05,3.865929295396864,3.8659292964251453
21,512,136,-7.01146362501414e-05,3.868942267436237,3.8689422680715606
22,511,139,-5.153080993577804e-05,3.867617656475484,3.8676176568187732
23,510,142,-3.35674707382654e-05,3.865918790432981,3.865918790578713
24,509,145,-1.63927668146545e-05,3.865931607714457,3.8659316077492125
25,508,148,-1.0430856397797509e-05,3.866867923491205,3.8668679235052736
26,507,151,-7.2814616054654734e-06,3.8670556491100734,3.8670556491169283
27,506,154,-4.7681346196784374e-06,3.86667832544484,3.8666783254477797
28,505,157,-2.897627607034452e-06,3.866490459238711,3.8664904592397966
29,504,160,-1.670833881785215e-06,3.866604792999857,3.866604793000218
30,503,163,-1.0819565644704438e-06,3.8667394300569375,3.866739430057089
31,502,166,-7.08000571137361e-07,3.8667137313700835,3.8667137313701483
32,501,169,-4.4506212976423636e-07,3.866645347822086,3.8666453478221117
33,500,172,-2.7213923016766833e-07,3.866638752297535,3.8666387522975447
34,499,175,-1.67119695092997e-07,3.8666684109092997,3.8666684109093032
35,498,178,-1.0697112762530827e-07,3.8666811344911887,3.86668113449119
36,497,181,-6.797171015150284e-08,3.866669475378038,3.8666694753780386
37,496,184,-4.2370555712068514e-08,3.8666606241796293,3.8666606241796297
38,495,187,-2.62628927499818e-08,3.8666636794511384,3.8666636794511384
39,494,190,-1.6427839253274337e-08,3.866668664881859,3.866668664881859
40,493,193,-1.0400165019685431e-08,3.866668715676371,3.866668715676371
41,492,196,-6.537326515460516e-09,3.866666231913407,3.866666231913407
42,491,199,-4.079951170018824e-09,3.866665583220481,3.866665583220481
43,490,202,-2.548326988336837e-09,3.8666665750286513,3.8666665750286513
44,489,205,-1.599744357871038e-09,3.866667154144154,3.866667154144154
45,488,208,-1.006620562054906e-09,3.866666851996613,3.866666851996613
46,487,211,-6.308787837496849e-10,3.866666479260661,3.866666479260661
47,486,214,-3.946208744812516e-10,3.866666528730112,3.866666528730112
48,485,217,-2.472076626597487e-10,3.866666717832038,3.866666717832038
49,484,220,-1.5516288963266515e-10,3.8666667463927156,3.8666667463927156
50,483,223,-9.737963090313027e-11,3.866666664842428,3.866666664842428
51,482,226,-6.100999365705923e-11,3.8666666274115906,3.8666666274115906
52,481,229,-3.82152420533542e-11,3.866666657041777,3.866666657041777
53,480,232,-2.39590167562383e-11,3.8666666827041096,3.8666666827041096
54,479,235,-1.502907092009789e-11,3.866666675678524,3.866666675678524
55,478,238,-9.423718171595197e-12,3.866666661535686,3.866666661535686
