Frame,X,Y,dX,dY,Magnitude
0,557,122,-1,-2,2.23606797749979
1,557,125,0,3,3.0
2,556,128,-1,3,3.1622776601683795
3,551,129,-5,1,5.0990195135927845
4,551,131,0,2,2.0
5,551,135,0,4,4.0
6,550,137,-1,2,2.23606797749979
7,553,138,3,1,3.1622776601683795
8,548,144,-5,6,7.810249675906654
9,552,148,4,4,5.656854249492381
10,552,151,0,3,3.0
11,552,154,0,3,3.0
12,551,156,-1,2,2.23606797749979
13,551,159,0,3,3.0
14,550,162,-1,3,3.1622776601683795
15,549,166,-1,4,4.123105625617661
16,548,168,-1,2,2.23606797749979
17,548,171,0,3,3.0
18,548,175,0,4,4.0
19,547,177,-1,2,2.23606797749979
20,547,180,0,3,3.0
21,548,182,1,2,2.23606797749979
22,548,185,0,3,3.0
23,549,188,1,3,3.1622776601683795
24,548,191,-1,3,3.1622776601683795
25,549,193,1,2,2.23606797749979
26,549,196,0,3,3.0
27,550,199,1,3,3.1622776601683795
28,550,202,0,3,3.0
29,550,204,0,2,2.0
30,550,207,0,3,3.0
31,551,209,1,2,2.23606797749979
32,551,212,0,3,3.0
33,551,215,0,3,3.0
34,551,218,0,3,3.0
35,552,221,1,3,3.1622776601683795
36,552,224,0,3,3.0
37,552,227,0,3,3.0
38,553,230,1,3,3.1622776601683795
39,553,233,0,3,3.0
40,553,235,0,2,2.0
41,554,239,1,4,4.123105625617661
42,554,241,0,2,2.0
43,554,244,0,3,3.0
44,550,244,-4,0,4.0
45,550,247,0,3,3.0
46,556,252,6,5,7.810249675906654
47,556,254,0,2,2.0
48,557,257,1,3,3.1622776601683795
49,557,260,0,3,3.0
50,557,264,0,4,4.0
51,557,266,0,2,2.0
52,557,270,0,4,4.0
53,557,273,0,3,3.0
54,556,276,-1,3,3.1622776601683795
55,556,278,0,2,2.0
56,556,281,0,3,3.0
57,555,284,-1,3,3.1622776601683795
58,555,286,0,2,2.0
59,555,289,0,3,3.0
60,554,292,-1,3,3.1622776601683795
61,554,295,0,3,3.0
62,553,297,-1,2,2.23606797749979
63,552,300,-1,3,3.1622776601683795
64,552,302,0,2,2.0
65,552,304,0,2,2.0
66,551,306,-1,2,2.23606797749979
67,550,308,-1,2,2.23606797749979
68,549,310,-1,2,2.23606797749979
69,549,313,0,3,3.0
70,548,315,-1,2,2.23606797749979
71,547,317,-1,2,2.23606797749979
72,547,320,0,3,3.0
73,546,322,-1,2,2.23606797749979
74,546,324,0,2,2.0
75,546,326,0,2,2.0
76,545,328,-1,2,2.23606797749979
77,544,331,-1,3,3.1622776601683795
78,544,333,0,2,2.0
79,543,335,-1,2,2.23606797749979
80,543,337,0,2,2.0
81,543,339,0,2,2.0
82,543,342,0,3,3.0
83,541,344,-2,2,2.8284271247461903
84,542,347,1,3,3.1622776601683795
85,541,349,-1,2,2.23606797749979
86,541,351,0,2,2.0
87,540,354,-1,3,3.1622776601683795
88,540,356,0,2,2.0
89,540,358,0,2,2.0
90,540,361,0,3,3.0
91,539,363,-1,2,2.23606797749979
92,539,366,0,3,3.0
93,539,368,0,2,2.0
94,538,371,-1,3,3.1622776601683795
95,539,373,1,2,2.23606797749979
96,538,376,-1,3,3.1622776601683795
97,538,379,0,3,3.0
98,538,381,0,2,2.0
99,537,383,-1,2,2.23606797749979
100,538,386,1,3,3.1622776601683795
101,538,389,0,3,3.0
102,538,392,0,3,3.0
103,538,394,0,2,2.0
104,538,397,0,3,3.0
105,537,400,-1,3,3.1622776601683795
106,537,402,0,2,2.0
107,537,406,0,4,4.0
108,537,409,0,3,3.0
109,537,411,0,2,2.0
110,537,414,0,3,3.0
111,537,416,0,2,2.0
112,538,419,1,3,3.1622776601683795
113,537,422,-1,3,3.1622776601683795
114,537,425,0,3,3.0
115,537,428,0,3,3.0
116,537,430,0,2,2.0
117,538,434,1,4,4.123105625617661
118,537,437,-1,3,3.1622776601683795
119,534,438,-3,1,3.1622776601683795
120,537,442,3,4,5.0
121,538,446,1,4,4.123105625617661
122,538,448,0,2,2.0
123,538,451,0,3,3.0
124,537,454,-1,3,3.1622776601683795
125,538,457,1,3,3.1622776601683795
126,537,460,-1,3,3.1622776601683795
127,537,463,0,3,3.0
128,538,466,1,3,3.1622776601683795
129,537,469,-1,3,3.1622776601683795
130,538,472,1,3,3.1622776601683795
131,536,473,-2,1,2.23606797749979
132,535,476,-1,3,3.1622776601683795
133,536,480,1,4,4.123105625617661
134,537,484,1,4,4.123105625617661
135,537,486,0,2,2.0
136,537,489,0,3,3.0
137,537,492,0,3,3.0
138,538,494,1,2,2.23606797749979
139,538,498,0,4,4.0
140,538,501,0,3,3.0
141,539,504,1,3,3.1622776601683795
142,538,508,-1,4,4.123105625617661
143,538,511,0,3,3.0
144,540,514,2,3,3.605551275463989
145,540,517,0,3,3.0
146,541,519,1,2,2.23606797749979
147,543,523,2,4,4.47213595499958
148,542,526,-1,3,3.1622776601683795
149,545,529,3,3,4.242640687119285
150,544,532,-1,3,3.1622776601683795
151,546,536,2,4,4.47213595499958
152,547,539,1,3,3.1622776601683795
153,547,542,0,3,3.0
154,547,545,0,3,3.0
155,549,549,2,4,4.47213595499958
156,549,551,0,2,2.0
157,550,554,1,3,3.1622776601683795
158,551,558,1,4,4.123105625617661
159,551,560,0,2,2.0
160,551,564,0,4,4.0
161,552,567,1,3,3.1622776601683795
162,553,570,1,3,3.1622776601683795
163,553,573,0,3,3.0
164,554,576,1,3,3.1622776601683795
165,554,578,0,2,2.0
166,554,581,0,3,3.0
167,555,584,1,3,3.1622776601683795
168,555,587,0,3,3.0
169,556,590,1,3,3.1622776601683795
170,556,594,0,4,4.0
171,556,596,0,2,2.0
172,556,600,0,4,4.0
173,556,602,0,2,2.0
174,557,605,1,3,3.1622776601683795
175,557,609,0,4,4.0
176,558,612,1,3,3.1622776601683795
177,558,615,0,3,3.0
178,558,617,0,2,2.0
179,558,621,0,4,4.0
180,558,623,0,2,2.0
181,556,625,-2,2,2.8284271247461903
182,556,628,0,3,3.0
183,556,631,0,3,3.0
184,558,635,2,4,4.47213595499958
185,556,638,-2,3,3.605551275463989
186,556,640,0,2,2.0
187,560,644,4,4,5.656854249492381
188,560,647,0,3,3.0
189,559,650,-1,3,3.1622776601683795
190,560,654,1,4,4.123105625617661
191,560,657,0,3,3.0
192,559,660,-1,3,3.1622776601683795
193,556,661,-3,1,3.1622776601683795
194,559,666,3,5,5.830951894845301
195,559,669,0,3,3.0
196,559,672,0,3,3.0
197,558,675,-1,3,3.1622776601683795
198,559,678,1,3,3.1622776601683795
199,558,681,-1,3,3.1622776601683795
200,558,684,0,3,3.0
201,558,687,0,3,3.0
202,558,690,0,3,3.0
203,557,693,-1,3,3.1622776601683795
204,556,696,-1,3,3.1622776601683795
205,556,698,0,2,2.0
206,555,702,-1,4,4.123105625617661
207,555,705,0,3,3.0
208,555,708,0,3,3.0
209,556,711,1,3,3.1622776601683795
210,556,714,0,3,3.0
211,555,716,-1,2,2.23606797749979
212,555,719,0,3,3.0
213,555,722,0,3,3.0
214,555,726,0,4,4.0
215,555,730,0,4,4.0
216,555,733,0,3,3.0
217,556,736,1,3,3.1622776601683795
218,556,739,0,3,3.0
219,556,742,0,3,3.0
220,556,745,0,3,3.0
221,556,748,0,3,3.0
222,556,750,0,2,2.0
223,556,753,0,3,3.0
224,555,756,-1,3,3.1622776601683795
225,555,759,0,3,3.0
226,554,762,-1,3,3.1622776601683795
227,555,766,1,4,4.123105625617661
228,555,768,0,2,2.0
229,556,772,1,4,4.123105625617661
230,555,775,-1,3,3.1622776601683795
231,557,779,2,4,4.47213595499958
232,557,782,0,3,3.0
233,558,785,1,3,3.1622776601683795
234,559,788,1,3,3.1622776601683795
235,558,789,-1,1,1.4142135623730951
236,558,791,0,2,2.0
237,558,793,0,2,2.0
238,559,795,1,2,2.23606797749979
239,559,797,0,2,2.0
