Frame,X,Y,dX,dY,Magnitude
0,567,151,0,0,0.0
1,566,154,-1,3,3.1622776601683795
2,567,157,1,3,3.1622776601683795
3,567,160,0,3,3.0
4,567,163,0,3,3.0
5,567,166,0,3,3.0
6,568,168,1,2,2.23606797749979
7,568,170,0,2,2.0
8,568,172,0.04000000000000001,2.6,2.600307674103201
9,569,178,1,6,6.082762530298219
10,570,181,1,3,3.1622776601683795
11,570,183,0,2,2.0
12,571,185,1,2,2.23606797749979
13,572,188,1,3,3.1622776601683795
14,572,191,0,3,3.0
15,572,193,0,2,2.0
16,573,196,1,3,3.1622776601683795
17,573,199,0,3,3.0
18,573,202,0,3,3.0
19,573,205,0,3,3.0
20,573,208,0,3,3.0
21,573,211,0,3,3.0
22,573,214,0,3,3.0
23,573,217,0,3,3.0
24,573,220,0,3,3.0
25,573,222,0,2,2.0
26,572,225,-1,3,3.1622776601683795
27,572,228,0,3,3.0
28,571,231,-1,3,3.1622776601683795
29,571,234,0,3,3.0
30,570,237,-1,3,3.1622776601683795
31,571,240,1,3,3.1622776601683795
32,570,243,-1,3,3.1622776601683795
33,570,245,0,2,2.0
34,570,248,0,3,3.0
35,570,251,0,3,3.0
36,570,254,0,3,3.0
37,569,257,-1,3,3.1622776601683795
38,570,260,1,3,3.1622776601683795
39,570,263,0,3,3.0
40,571,266,1,3,3.1622776601683795
41,571,269,0,3,3.0
42,571,271,0,2,2.0
43,572,274,1,3,3.1622776601683795
44,573,277,1,3,3.1622776601683795
45,573,280,0,3,3.0
46,573,282,0,2,2.0
47,574,285,1,3,3.1622776601683795
48,575,287,1,2,2.23606797749979
49,575,290,0,3,3.0
50,575,293,0,3,3.0
51,576,296,1,3,3.1622776601683795
52,576,299,0,3,3.0
53,576,301,0,2,2.0
54,576,305,0,4,4.0
55,576,308,0,3,3.0
56,577,311,1,3,3.1622776601683795
57,576,314,-1,3,3.1622776601683795
58,576,317,0,3,3.0
59,576,319,0,2,2.0
60,576,322,0,3,3.0
61,575,325,-1,3,3.1622776601683795
62,575,328,0,3,3.0
63,575,331,0,3,3.0
64,575,333,0,2,2.0
65,574,336,-1,3,3.1622776601683795
66,574,339,0,3,3.0
67,574,342,0,3,3.0
68,573,345,-1,3,3.1622776601683795
69,573,347,0,2,2.0
70,573,350,0,3,3.0
71,574,353,1,3,3.1622776601683795
72,574,356,0,3,3.0
73,574,360,0,4,4.0
74,574,362,0,2,2.0
75,574,365,0,3,3.0
76,575,368,1,3,3.1622776601683795
77,575,372,0,4,4.0
78,576,374,1,2,2.23606797749979
79,576,377,0,3,3.0
80,578,379,2,2,2.8284271247461903
81,577,382,-1,3,3.1622776601683795
82,578,385,1,3,3.1622776601683795
83,578,387,0,2,2.0
84,579,390,1,3,3.1622776601683795
85,579,392,0,2,2.0
86,579,396,0,4,4.0
87,579,398,0,2,2.0
88,580,401,1,3,3.1622776601683795
89,580,404,0,3,3.0
90,579,407,-1,3,3.1622776601683795
91,580,410,1,3,3.1622776601683795
92,580,413,0,3,3.0
93,579,416,-1,3,3.1622776601683795
94,579,419,0,3,3.0
95,579,422,0,3,3.0
96,579,424,0,2,2.0
97,578,428,-1,4,4.123105625617661
98,578,430,0,2,2.0
99,577,433,-1,3,3.1622776601683795
100,578,436,1,3,3.1622776601683795
101,577,439,-1,3,3.1622776601683795
102,577,441,0,2,2.0
103,577,444,0,3,3.0
104,577,447,0,3,3.0
105,577,449,0,2,2.0
106,578,452,1,3,3.1622776601683795
107,577,455,-1,3,3.1622776601683795
108,577,459,0,4,4.0
109,577,462,0,3,3.0
110,578,464,1,2,2.23606797749979
111,578,467,0,3,3.0
112,578,470,0,3,3.0
113,579,473,1,3,3.1622776601683795
114,579,476,0,3,3.0
115,580,478,1,2,2.23606797749979
116,580,481,0,3,3.0
117,580,484,0,3,3.0
118,581,487,1,3,3.1622776601683795
119,582,489,1,2,2.23606797749979
120,582,492,0,3,3.0
121,582,495,0,3,3.0
122,582,497,0,2,2.0
123,582,500,0,3,3.0
124,582,503,0,3,3.0
125,583,506,1,3,3.1622776601683795
126,582,509,-1,3,3.1622776601683795
127,582,512,0,3,3.0
128,582,515,0,3,3.0
129,582,518,0,3,3.0
130,582,521,0,3,3.0
131,581,523,-1,2,2.23606797749979
132,581,526,0,3,3.0
133,581,529,0,3,3.0
134,581,531,0,2,2.0
135,580,534,-1,3,3.1622776601683795
136,581,537,1,3,3.1622776601683795
137,580,540,-1,3,3.1622776601683795
138,580,543,0,3,3.0
139,580,545,0,2,2.0
140,580,548,0,3,3.0
141,580,551,0,3,3.0
142,580,554,0,3,3.0
143,581,557,1,3,3.1622776601683795
144,581,560,0,3,3.0
145,581,563,0,3,3.0
146,581,565,0,2,2.0
147,582,568,1,3,3.1622776601683795
148,582,571,0,3,3.0
149,582,574,0,3,3.0
150,583,577,1,3,3.1622776601683795
151,583,580,0,3,3.0
152,583,582,0,2,2.0
153,584,585,1,3,3.1622776601683795
154,584,587,0,2,2.0
155,585,590,1,3,3.1622776601683795
156,585,593,0,3,3.0
157,585,596,0,3,3.0
158,585,599,0,3,3.0
159,585,602,0,3,3.0
160,585,605,0,3,3.0
161,585,608,0,3,3.0
162,585,610,0,2,2.0
163,585,613,0,3,3.0
164,585,616,0,3,3.0
165,584,619,-1,3,3.1622776601683795
166,584,621,0,2,2.0
167,584,624,0,3,3.0
168,584,627,0,3,3.0
169,584,630,0,3,3.0
170,584,632,0,2,2.0
171,583,635,-1,3,3.1622776601683795
172,583,638,0,3,3.0
173,584,640,1,2,2.23606797749979
174,584,643,0,3,3.0
175,583,646,-1,3,3.1622776601683795
176,584,649,1,3,3.1622776601683795
177,584,652,0,3,3.0
178,583,655,-1,3,3.1622776601683795
179,583,658,0,3,3.0
180,584,661,1,3,3.1622776601683795
181,585,664,1,3,3.1622776601683795
182,585,667,0,3,3.0
183,585,669,0,2,2.0
184,585,672,0,3,3.0
185,585,675,0,3,3.0
186,586,678,1,3,3.1622776601683795
187,586,680,0,2,2.0
188,587,683,1,3,3.1622776601683795
189,587,686,0,3,3.0
190,587,688,0,2,2.0
191,587,691,0,3,3.0
192,588,694,1,3,3.1622776601683795
193,588,697,0,3,3.0
194,587,700,-1,3,3.1622776601683795
195,588,703,1,3,3.1622776601683795
196,588,706,0,3,3.0
197,588,709,0,3,3.0
198,588,712,0,3,3.0
199,587,714,-1,2,2.23606797749979
200,588,717,1,3,3.1622776601683795
201,588,720,0,3,3.0
202,587,722,-1,2,2.23606797749979
203,587,725,0,3,3.0
204,587,728,0,3,3.0
205,587,730,0,2,2.0
206,586,733,-1,3,3.1622776601683795
207,586,736,0,3,3.0
208,586,738,0,2,2.0
209,586,742,0,4,4.0
210,586,744,0,2,2.0
211,587,747,1,3,3.1622776601683795
212,587,750,0,3,3.0
213,587,753,0,3,3.0
214,587,756,0,3,3.0
215,587,759,0,3,3.0
216,587,761,0,2,2.0
217,587,764,0,3,3.0
218,587,767,0,3,3.0
219,588,770,1,3,3.1622776601683795
220,588,772,0,2,2.0
221,589,776,1,4,4.123105625617661
222,589,778,0,2,2.0
223,589,781,0,3,3.0
224,589,786,0,5,5.0
225,590,789,1,3,3.1622776601683795
226,590,792,0,3,3.0
227,590,795,0,3,3.0
228,590,797,0,2,2.0
229,590,800,0,3,3.0
230,590,803,0,3,3.0
231,590,806,0,3,3.0
232,590,809,0,3,3.0
233,591,812,1,3,3.1622776601683795
234,590,814,-1,2,2.23606797749979
235,590,817,0,3,3.0
236,590,820,0,3,3.0
237,590,822,0,2,2.0
238,590,825,0,3,3.0
239,590,827,0,2,2.0
240,590,830,0,3,3.0
241,590,833,0,3,3.0
242,590,835,0,2,2.0
243,590,838,0,3,3.0
