Frame,X,Y,dX,dY,Magnitude
0,300,261,-6,1,6.082762530298219
1,301,269,1,8,8.06225774829855
2,302,277,1,8,8.06225774829855
3,304,286,2,9,9.219544457292887
4,304,294,0,8,8.0
5,305,303,1,9,9.055385138137417
6,306,312,1,9,9.055385138137417
7,306,321,0,9,9.0
8,307,330,1,9,9.055385138137417
9,307,338,0,8,8.0
10,308,347,1,9,9.055385138137417
11,309,356,1,9,9.055385138137417
12,309,365,0,9,9.0
13,310,374,1,9,9.055385138137417
14,310,383,0,9,9.0
15,311,392,1,9,9.055385138137417
16,311,401,0,9,9.0
17,311,409,0,8,8.0
18,311,418,0,9,9.0
19,311,427,0,9,9.0
20,311,436,0,9,9.0
21,310,445,-1,9,9.055385138137417
22,311,454,1,9,9.055385138137417
23,311,463,0,9,9.0
24,311,472,0,9,9.0
25,311,482,0,10,10.0
26,311,490,0,8,8.0
27,311,499,0,9,9.0
28,311,507,0,8,8.0
29,311,516,0,9,9.0
30,310,525,-1,9,9.055385138137417
31,309,533,-1,8,8.06225774829855
32,309,542,0,9,9.0
33,308,550,-1,8,8.06225774829855
34,307,558,-1,8,8.06225774829855
35,306,567,-1,9,9.055385138137417
36,305,575,-1,8,8.06225774829855
37,303,583,-2,8,8.246211251235321
38,302,591,-1,8,8.06225774829855
39,300,598,-2,7,7.280109889280518
40,298,606,-2,8,8.246211251235321
41,296,614,-2,8,8.246211251235321
42,295,623,-1,9,9.055385138137417
43,293,630,-2,7,7.280109889280518
44,291,638,-2,8,8.246211251235321
45,289,647,-2,9,9.219544457292887
46,288,655,-1,8,8.06225774829855
47,287,663,-1,8,8.06225774829855
48,287,672,0,9,9.0
49,286,680,-1,8,8.06225774829855
50,285,689,-1,9,9.055385138137417
51,285,697,0,8,8.0
52,286,705,1,8,8.06225774829855
53,290,712,4,7,8.06225774829855
54,285,719,-5,7,8.602325267042627
55,285,727,0,8,8.0
56,288,736,3,9,9.486832980505138
57,289,744,1,8,8.06225774829855
58,289,746,0,2,2.0
59,292,760,3,14,14.317821063276353
60,294,771,2,11,11.180339887498949
61,296,779,2,8,8.246211251235321
62,296,786,0,7,7.0
63,298,792,2,6,6.324555320336759
