Frame,X,Y,dX,dY,Magnitude
0,658,168,0,0,0.0
1,658,174,0,6,6.0
2,660,176,2,2,2.8284271247461903
3,660,178,0.13333333333333333,2.6666666666666665,2.6699979192667715
4,660,180,0.10666666666666667,2.6666666666666665,2.6687991473486514
5,660,182,0.0896,2.6666666666666665,2.66817152205609
6,660,185,0.09318399999999999,3.1999999999999997,3.201356471537651
7,660,187,0.09691135999999999,2.6399999999999997,2.6417781533840135
8,660,189,0.0207878144,2.768,2.7680780576471338
9,660,191,0.016285993642666665,2.7882666666666664,2.7883142287112066
10,661,209,1,18,18.027756377319946
11,661,214,0.04908676672170667,5.879253333333334,5.879458246146349
12,661,220,0.04732287739057494,6.4151039999999995,6.415278543098539
13,661,227,0.04533933808619794,7.170124799999999,7.170268147228047
14,668,225,7,-2,7.280109889280518
15,665,227,-3,2,3.605551275463989
16,664,232,-1,5,5.0990195135927845
17,663,234,-1,2,2.23606797749979
18,665,237,2,3,3.605551275463989
19,665,239,0.16000000000000003,2.0,2.0063897926375125
20,664,241,-0.11359999999999999,2.8,2.8023035096149025
21,664,243,0.0018560000000000015,2.96,2.9600005818810238
22,664,245,0.041930240000000014,2.5520000000000005,2.552344440906529
23,664,247,0.08360744960000002,2.6624000000000003,2.663712440491394
24,657,258,-7,11,13.038404810405298
25,654,260,-3,2,3.605551275463989
26,654,262,0,2,2.0
27,653,267,-1,5,5.0990195135927845
28,653,269,0,2,2.0
29,652,273,-0.44000000000000006,4.4,4.421945273293192
30,651,276,-0.17760000000000004,3.08,3.0851161663704008
31,650,279,-0.064704,3.2960000000000003,3.296635043133529
32,649,282,-0.06729216,3.5552,3.5558367896737706
33,648,285,-0.02998384640000001,3.26624,3.266377621868748
34,647,288,-0.031183200256000007,3.519488,3.5196261412431586
35,658,290,11,2,11.180339887498949
36,659,296,1,6,6.082762530298219
37,660,297,1,1,1.4142135623730951
38,661,298,1,1,1.4142135623730951
39,662,301,1,3,3.1622776601683795
40,662,303,0.6000000000000001,2.6,2.668332812825267
41,662,305,0.184,2.7199999999999998,2.7262164257446617
42,662,307,0.15136000000000002,2.064,2.0695424251751886
43,654,318,-8,11,13.601470508735444
44,659,323,5,5,7.0710678118654755
45,658,328,-1,5,5.0990195135927845
46,657,331,-1,3,3.1622776601683795
47,657,334,0,3,3.0
48,661,341,4,7,8.06225774829855
49,661,345,0.27999999999999997,4.6,4.608513860237375
50,661,349,0.0912,4.5200000000000005,4.520919977172788
51,651,350,-10,1,10.04987562112089
52,648,352,-3,2,3.605551275463989
53,650,356,2,4,4.47213595499958
54,649,361,-1,5,5.0990195135927845
55,654,367,5,6,7.810249675906654
56,653,370,-0.27999999999999997,3.6,3.6108724707472017
57,653,374,0.10880000000000001,4.12,4.121436332154119
58,655,376,2,2,2.8284271247461903
59,654,378,-1,2,2.23606797749979
60,653,382,-1,4,4.123105625617661
61,653,386,0,4,4.0
62,655,389,2,3,3.605551275463989
63,655,391,0,2,2.0
64,658,396,3,5,5.830951894845301
65,654,398,-4,2,4.47213595499958
66,651,400,-3,2,3.605551275463989
67,650,402,-0.08000000000000002,2.8,2.801142624001855
68,649,404,-0.1632,2.7600000000000002,2.7648208332548423
69,648,406,-0.169728,2.912,2.9169421650049903
70,649,412,1,6,6.082762530298219
71,654,417,5,5,7.0710678118654755
72,654,419,0,2,2.0
73,654,422,0,3,3.0
74,654,424,0,2,2.0
75,654,427,0,3,3.0
76,654,430,0.2,3.0,3.0066592756745814
77,649,433,-5,3,5.830951894845301
78,648,435,-0.192,2.8,2.8065751370665275
79,646,440,-2,5,5.385164807134504
80,650,443,4,3,5.0
81,650,446,0,3,3.0
