Frame,X,Y,dX,dY,Magnitude
0,524,202,1,1,1.4142135623730951
1,523,204,-1,2,2.23606797749979
2,522,205,-1,1,1.4142135623730951
3,521,208,-0.06666666666666667,3,3.00074064931384
4,520,211,-0.05333333333333334,3,3.0004740366222875
5,519,213,-0.0448,2.0,2.0005016970750114
6,527,220,8,7,10.63014581273465
7,528,222,1,2,2.23606797749979
8,528,224,0,2,2.0
9,527,226,-1,2,2.23606797749979
10,527,227,0,1,1.0
11,529,227,2,0,2.0
12,529,229,0,2,2.0
13,529,232,0,3,3.0
14,529,233,0,1,1.0
15,529,235,0,2,2.0
16,530,238,1,3,3.1622776601683795
17,531,240,1,2,2.23606797749979
18,531,243,0,3,3.0
19,535,246,4,3,5.0
20,535,249,0,3,3.0
21,536,251,1,2,2.23606797749979
22,536,254,0,3,3.0
23,536,257,0,3,3.0
24,537,259,1,2,2.23606797749979
25,537,261,0,2,2.0
26,536,263,-1,2,2.23606797749979
27,532,264,-4,1,4.123105625617661
28,533,266,1,2,2.23606797749979
29,532,268,-1,2,2.23606797749979
30,532,270,0,2,2.0
31,531,271,-1,1,1.4142135623730951
32,531,274,0,3,3.0
33,529,276,-2,2,2.8284271247461903
34,529,278,0,2,2.0
35,528,280,-1,2,2.23606797749979
36,526,283,-2,3,3.605551275463989
37,526,285,0,2,2.0
38,526,287,0,2,2.0
39,526,289,0,2,2.0
40,526,291,0,2,2.0
41,526,293,0,2,2.0
42,526,295,0.0,2.0,2.0
43,531,301,5,6,7.810249675906654
44,531,304,0,3,3.0
45,532,306,1,2,2.23606797749979
46,532,309,0,3,3.0
47,531,311,-1,2,2.23606797749979
48,533,312,2,1,2.23606797749979
49,534,315,1,3,3.1622776601683795
50,534,317,0.12,2.2,2.203270296627266
51,533,316,-1,-1,1.4142135623730951
52,532,318,-1,2,2.23606797749979
53,534,320,2,2,2.8284271247461903
54,534,323,0,3,3.0
55,535,324,1,1,1.4142135623730951
56,538,327,3,3,4.242640687119285
57,539,330,1,3,3.1622776601683795
58,542,334,3,4,5.0
59,542,336,0,2,2.0
60,543,339,1,3,3.1622776601683795
61,542,341,-1,2,2.23606797749979
62,544,343,2,2,2.8284271247461903
63,542,346,-2,3,3.605551275463989
64,544,348,2,2,2.8284271247461903
65,538,347,-6,-1,6.082762530298219
66,537,350,-1,3,3.1622776601683795
67,536,352,-1,2,2.23606797749979
68,536,354,0,2,2.0
69,535,355,-1,1,1.4142135623730951
70,534,358,-1,3,3.1622776601683795
71,533,360,-0.16000000000000003,2.2,2.205810508633958
72,532,363,-1,3,3.1622776601683795
73,531,365,-0.1264,2.2399999999999998,2.2435634512979568
74,530,367,-0.131456,2.288,2.291773261022128
75,529,369,-0.09671424,2.5456,2.5474365554845084
