Frame,X,Y,dX,dY,Magnitude
0,574,198,-1,-1,1.4142135623730951
1,575,202,1,4,4.123105625617661
2,575,206,0,4,4.0
3,574,209,-1,3,3.1622776601683795
4,575,211,1,2,2.23606797749979
5,575,213,0,2,2.0
6,576,217,1,4,4.123105625617661
7,576,219,0,2,2.0
8,576,221,0,2,2.0
9,576,224,0,3,3.0
10,576,226,0,2,2.0
11,576,228,0,2,2.0
12,577,230,1,2,2.23606797749979
13,576,232,-1,2,2.23606797749979
14,577,234,1,2,2.23606797749979
15,577,236,0,2,2.0
16,577,239,0,3,3.0
17,577,241,0,2,2.0
18,577,243,0,2,2.0
19,577,245,0,2,2.0
20,577,247,0,2,2.0
21,577,249,0,2,2.0
22,577,252,0,3,3.0
23,577,254,0,2,2.0
24,578,256,1,2,2.23606797749979
25,579,258,1,2,2.23606797749979
26,578,260,-1,2,2.23606797749979
27,578,262,0,2,2.0
28,578,265,0,3,3.0
29,578,267,0,2,2.0
30,578,269,0,2,2.0
31,578,271,0,2,2.0
32,578,273,0,2,2.0
33,578,275,0,2,2.0
34,579,278,1,3,3.1622776601683795
35,579,280,0,2,2.0
36,579,282,0,2,2.0
37,578,284,-1,2,2.23606797749979
38,579,286,1,2,2.23606797749979
39,579,289,0,3,3.0
40,578,291,-1,2,2.23606797749979
41,578,293,0,2,2.0
42,579,295,1,2,2.23606797749979
43,579,297,0,2,2.0
44,578,299,-1,2,2.23606797749979
45,578,301,0,2,2.0
46,578,304,0,3,3.0
47,578,306,0,2,2.0
48,578,308,0,2,2.0
49,578,310,0,2,2.0
50,579,312,1,2,2.23606797749979
51,579,314,0,2,2.0
52,578,317,-1,3,3.1622776601683795
53,578,319,0,2,2.0
54,579,321,1,2,2.23606797749979
55,579,323,0,2,2.0
56,579,325,0,2,2.0
57,578,328,-1,3,3.1622776601683795
58,579,330,1,2,2.23606797749979
59,578,331,-1,1,1.4142135623730951
60,579,334,1,3,3.1622776601683795
61,578,336,-1,2,2.23606797749979
62,578,338,0,2,2.0
63,579,341,1,3,3.1622776601683795
64,579,343,0,2,2.0
65,579,345,0,2,2.0
66,579,347,0,2,2.0
67,579,350,0,3,3.0
68,579,352,0,2,2.0
69,579,354,0,2,2.0
70,579,356,0,2,2.0
71,579,358,0,2,2.0
72,579,360,0,2,2.0
73,579,362,0,2,2.0
74,579,364,0,2,2.0
75,578,367,-1,3,3.1622776601683795
76,578,369,0,2,2.0
77,578,371,0,2,2.0
78,579,374,1,3,3.1622776601683795
79,579,376,0.0,2.4,2.4
80,579,377,0,1,1.0
81,578,380,-1,3,3.1622776601683795
82,578,382,0,2,2.0
83,578,385,0,3,3.0
84,577,387,-0.04000000000000001,2.2800000000000002,2.280350850198276
85,576,389,-0.041600000000000005,2.2560000000000002,2.256383513501196
86,575,391,-0.043264000000000004,2.5072,2.507573251910301
87,574,393,-0.00499456,2.4086400000000006,2.408645178358489
88,578,396,4,3,5.0
89,578,398,0.1548056576,2.490368,2.495174857008817
90,578,401,0,3,3.0
91,578,402,0,1,1.0
92,578,404,0,2,2.0
93,578,406,0,2,2.0
94,578,409,0,3,3.0
95,578,410,0,1,1.0
96,578,413,0,3,3.0
97,577,417,-1,4,4.123105625617661
98,578,420,1,3,3.1622776601683795
99,577,422,-1,2,2.23606797749979
100,577,425,0,3,3.0
101,578,426,1,1,1.4142135623730951
102,577,428,-1,2,2.23606797749979
103,577,431,0,3,3.0
104,576,433,-1,2,2.23606797749979
105,576,435,0,2,2.0
106,576,438,0,3,3.0
107,575,440,-0.08000000000000002,2.4,2.4013329631685814
108,577,441,2,1,2.23606797749979
109,576,444,-1,3,3.1622776601683795
110,576,446,0,2,2.0
111,576,448,0,2,2.0
112,576,451,0,3,3.0
113,575,453,-1,2,2.23606797749979
114,575,455,0,2,2.0
115,576,457,1,2,2.23606797749979
116,576,459,0,2,2.0
117,576,461,0.0,2.2,2.2
118,576,463,0,2,2.0
119,575,465,-1,2,2.23606797749979
120,576,467,1,2,2.23606797749979
121,575,469,-1,2,2.23606797749979
122,575,472,0,3,3.0
123,575,474,0,2,2.0
124,576,477,1,3,3.1622776601683795
125,576,479,0,2,2.0
126,576,481,0,2,2.0
