Frame,X,Y,dX,dY,Magnitude
0,753,164,-1,-1,1.4142135623730951
1,752,167,-1,3,3.1622776601683795
2,751,169,-1,2,2.23606797749979
3,750,172,-1,3,3.1622776601683795
4,750,175,0,3,3.0
5,750,178,0,3,3.0
6,750,181,0,3,3.0
7,751,184,1,3,3.1622776601683795
8,752,187,1,3,3.1622776601683795
9,752,191,0,4,4.0
10,753,194,1,3,3.1622776601683795
11,754,197,1,3,3.1622776601683795
12,754,200,0,3,3.0
13,755,203,1,3,3.1622776601683795
14,755,206,0.12,3.2,3.20224920954007
15,755,209,0,3,3.0
16,753,212,-2,3,3.605551275463989
17,752,215,-1,3,3.1622776601683795
18,751,217,-1,2,2.23606797749979
19,750,220,-1,3,3.1622776601683795
20,749,223,-1,3,3.1622776601683795
21,748,226,-1,3,3.1622776601683795
22,748,229,0,3,3.0
23,748,232,0,3,3.0
24,748,235,0,3,3.0
25,748,238,0,3,3.0
26,749,242,1,4,4.123105625617661
27,750,244,1,2,2.23606797749979
28,751,247,1,3,3.1622776601683795
29,752,251,1,4,4.123105625617661
30,752,254,0.16000000000000003,3.2,3.203997503120126
31,752,257,0.16640000000000002,3.2399999999999998,3.2442701737062527
32,752,260,0.133056,3.088,3.0908652347095305
33,752,263,0.09837824,3.3055999999999996,3.307063597529611
34,752,266,0.062313369600000015,3.3667199999999995,3.367296618124234
35,751,268,-1,2,2.23606797749979
36,749,271,-2,3,3.605551275463989
37,748,274,-1,3,3.1622776601683795
38,747,277,-1,3,3.1622776601683795
39,746,280,-1,3,3.1622776601683795
40,745,283,-1,3,3.1622776601683795
41,744,286,-0.24,3.0,3.0095846889562687
42,743,289,-0.16960000000000003,3.0,3.0047902023269444
43,747,293,4,4,5.656854249492381
44,747,295,0,2,2.0
45,747,298,0,3,3.0
46,748,302,1,4,4.123105625617661
47,749,304,1,2,2.23606797749979
48,750,307,1,3,3.1622776601683795
49,751,311,1,4,4.123105625617661
50,750,314,-1,3,3.1622776601683795
51,750,317,0,3,3.0
52,750,320,0.08000000000000002,3.0,3.001066477104431
53,748,322,-2,2,2.8284271247461903
54,747,325,-1,3,3.1622776601683795
55,745,328,-2,3,3.605551275463989
56,744,331,-1,3,3.1622776601683795
57,743,334,-1,3,3.1622776601683795
58,743,337,0,3,3.0
59,743,340,0,3,3.0
60,743,343,0,3,3.0
61,742,346,-0.08000000000000002,3.0,3.001066477104431
62,744,349,2,3,3.605551275463989
63,744,352,0,3,3.0
64,745,355,1,3,3.1622776601683795
65,746,358,1,3,3.1622776601683795
66,747,361,1,3,3.1622776601683795
67,747,364,0,3,3.0
68,747,367,0,3,3.0
69,748,370,1,3,3.1622776601683795
70,746,373,-2,3,3.605551275463989
71,746,377,0,4,4.0
72,744,379,-2,2,2.8284271247461903
73,743,382,-1,3,3.1622776601683795
74,742,385,-1,3,3.1622776601683795
75,741,388,-1,3,3.1622776601683795
76,740,391,-1,3,3.1622776601683795
77,741,394,1,3,3.1622776601683795
78,741,397,0,3,3.0
79,740,400,-0.08000000000000002,3.0,3.001066477104431
80,741,403,1,3,3.1622776601683795
81,741,406,0,3,3.0
82,742,409,1,3,3.1622776601683795
83,743,412,1,3,3.1622776601683795
84,743,415,0,3,3.0
85,744,418,1,3,3.1622776601683795
86,743,421,-1,3,3.1622776601683795
87,743,424,0,3,3.0
88,743,427,0,3,3.0
89,742,430,-1,3,3.1622776601683795
90,741,433,-1,3,3.1622776601683795
91,740,435,-1,2,2.23606797749979
92,739,438,-1,3,3.1622776601683795
93,739,442,0,4,4.0
94,738,445,-1,3,3.1622776601683795
95,738,447,0,2,2.0
96,737,450,-1,3,3.1622776601683795
97,737,453,0,3,3.0
98,737,456,0,3,3.0
99,738,459,1,3,3.1622776601683795
100,738,462,0,3,3.0
101,739,465,1,3,3.1622776601683795
102,739,468,0,3,3.0
103,739,472,0,4,4.0
104,739,475,0,3,3.0
105,739,478,0,3,3.0
106,739,481,0,3,3.0
107,738,484,-1,3,3.1622776601683795
108,739,486,1,2,2.23606797749979
109,738,489,-1,3,3.1622776601683795
110,737,492,-1,3,3.1622776601683795
111,737,494,0,2,2.0
112,736,498,-1,4,4.123105625617661
113,736,501,0,3,3.0
114,736,504,0,3,3.0
115,734,507,-2,3,3.605551275463989
116,733,510,-1,3,3.1622776601683795
117,735,512,2,2,2.8284271247461903
118,735,516,0,4,4.0
119,735,519,0,3,3.0
120,735,522,0,3,3.0
121,736,525,1,3,3.1622776601683795
122,735,528,-1,3,3.1622776601683795
123,736,531,1,3,3.1622776601683795
124,736,534,0.04000000000000001,3.0,3.000266654815868
125,736,537,0,3,3.0
126,735,540,-1,3,3.1622776601683795
127,735,542,0,2,2.0
128,735,545,0,3,3.0
129,735,548,0,3,3.0
130,735,551,0,3,3.0
131,734,554,-1,3,3.1622776601683795
132,733,557,-1,3,3.1622776601683795
133,731,559,-2,2,2.8284271247461903
134,730,561,-0.16000000000000003,2.8,2.8045677028732965
135,734,566,4,5,6.4031242374328485
136,732,569,-2,3,3.605551275463989
137,732,572,0,3,3.0
138,733,575,1,3,3.1622776601683795
139,732,579,-1,4,4.123105625617661
140,733,582,1,3,3.1622776601683795
141,734,584,1,2,2.23606797749979
142,734,587,0.08000000000000002,3.0,3.001066477104431
143,734,590,0.08320000000000001,3.0,3.001153484912093
144,733,593,-1,3,3.1622776601683795
145,733,596,0,3,3.0
146,733,599,0,3,3.0
147,733,601,0,2,2.0
148,733,604,0,3,3.0
149,733,607,0,3,3.0
150,732,610,-1,3,3.1622776601683795
151,733,613,1,3,3.1622776601683795
152,733,615,0.0,2.8,2.8
153,732,619,-1,4,4.123105625617661
154,731,622,-1,3,3.1622776601683795
155,730,626,-1,4,4.123105625617661
156,730,628,0,2,2.0
157,730,631,0,3,3.0
158,730,634,0,3,3.0
159,731,638,1,4,4.123105625617661
160,733,641,2,3,3.605551275463989
161,732,643,-1,2,2.23606797749979
162,731,646,-1,3,3.1622776601683795
163,732,649,1,3,3.1622776601683795
164,732,652,0,3,3.0
165,732,655,0,3,3.0
166,732,658,0,3,3.0
167,732,661,0,3,3.0
168,732,664,0,3,3.0
169,732,666,0,2,2.0
170,733,670,1,4,4.123105625617661
171,731,672,-2,2,2.8284271247461903
172,729,675,-2,3,3.605551275463989
173,729,678,0,3,3.0
174,728,681,-1,3,3.1622776601683795
175,728,684,0,3,3.0
176,728,688,0,4,4.0
177,729,690,1,2,2.23606797749979
178,729,693,0.0,3.0,3.0
179,732,696,3,3,4.242640687119285
180,731,700,-1,4,4.123105625617661
181,731,702,0,2,2.0
182,731,705,0,3,3.0
183,732,708,1,3,3.1622776601683795
184,733,710,1,2,2.23606797749979
185,733,712,0.04000000000000001,2.8,2.8002856997099417
186,732,717,-1,5,5.0990195135927845
187,732,719,0,2,2.0
188,732,722,0,3,3.0
189,729,725,-3,3,4.242640687119285
190,728,728,-1,3,3.1622776601683795
191,728,731,0,3,3.0
192,728,735,0,4,4.0
193,727,737,-1,2,2.23606797749979
194,727,741,0,4,4.0
195,727,744,0,3,3.0
196,728,747,1,3,3.1622776601683795
197,728,750,0.0,3.2,3.2
198,728,753,0.0,3.04,3.04
199,728,756,0.04000000000000001,3.2479999999999998,3.248246296080394
200,730,759,2,3,3.605551275463989
201,732,760,2,1,2.23606797749979
202,733,764,1,4,4.123105625617661
203,732,766,-1,2,2.23606797749979
204,732,769,0,3,3.0
205,731,772,-1,3,3.1622776601683795
206,731,775,0,3,3.0
207,730,778,-1,3,3.1622776601683795
208,729,780,-1,2,2.23606797749979
209,728,784,-1,4,4.123105625617661
210,728,787,0,3,3.0
211,728,790,0,3,3.0
212,727,793,-1,3,3.1622776601683795
213,728,796,1,3,3.1622776601683795
214,728,798,0,2,2.0
215,728,800,0.0,2.8,2.8
216,728,802,0.0,2.7600000000000002,2.7600000000000002
217,732,807,4,5,6.4031242374328485
218,733,809,1,2,2.23606797749979
219,734,812,1,3,3.1622776601683795
220,734,814,0,2,2.0
221,735,817,1,3,3.1622776601683795
222,734,820,-1,3,3.1622776601683795
223,734,822,0,2,2.0
