Frame,X,Y,dX,dY,Magnitude
0,564,137,3,4,5.0
1,561,137,-3,0,3.0
2,563,139,2,2,2.8284271247461903
3,564,142,1,3,3.1622776601683795
4,565,144,1,2,2.23606797749979
5,565,146,0,2,2.0
6,567,148,2,2,2.8284271247461903
7,568,151,1,3,3.1622776601683795
8,568,153,0,2,2.0
9,570,156,2,3,3.605551275463989
10,571,159,1,3,3.1622776601683795
11,571,161,0,2,2.0
12,572,163,1,2,2.23606797749979
13,573,166,1,3,3.1622776601683795
14,574,169,1,3,3.1622776601683795
15,575,171,1,2,2.23606797749979
16,576,174,1,3,3.1622776601683795
17,576,176,0,2,2.0
18,577,179,1,3,3.1622776601683795
19,577,181,0,2,2.0
20,578,183,1,2,2.23606797749979
21,578,186,0,3,3.0
22,578,189,0,3,3.0
23,578,191,0,2,2.0
24,578,194,0,3,3.0
25,579,197,1,3,3.1622776601683795
26,579,199,0,2,2.0
27,579,202,0,3,3.0
28,578,205,-1,3,3.1622776601683795
29,579,208,1,3,3.1622776601683795
30,578,210,-1,2,2.23606797749979
31,578,213,0,3,3.0
32,578,216,0,3,3.0
33,577,219,-1,3,3.1622776601683795
34,577,221,0,2,2.0
35,577,224,0,3,3.0
36,576,226,-1,2,2.23606797749979
37,575,230,-1,4,4.123105625617661
38,575,232,0,2,2.0
39,575,235,0,3,3.0
40,574,237,-1,2,2.23606797749979
41,573,240,-1,3,3.1622776601683795
42,573,243,0,3,3.0
43,572,246,-1,3,3.1622776601683795
44,571,248,-1,2,2.23606797749979
45,571,250,0,2,2.0
46,569,253,-2,3,3.605551275463989
47,569,256,0,3,3.0
48,568,259,-1,3,3.1622776601683795
49,566,261,-2,2,2.8284271247461903
50,566,264,0,3,3.0
51,564,267,-2,3,3.605551275463989
52,563,269,-1,2,2.23606797749979
53,562,272,-1,3,3.1622776601683795
54,561,275,-1,3,3.1622776601683795
55,560,277,-1,2,2.23606797749979
56,559,280,-1,3,3.1622776601683795
57,559,282,0,2,2.0
58,558,285,-1,3,3.1622776601683795
59,557,287,-1,2,2.23606797749979
60,555,289,-2,2,2.8284271247461903
61,555,292,0,3,3.0
62,553,294,-2,2,2.8284271247461903
63,553,296,0,2,2.0
64,552,299,-1,3,3.1622776601683795
65,550,301,-2,2,2.8284271247461903
66,550,304,0,3,3.0
67,548,306,-2,2,2.8284271247461903
