Frame,X,Y,dX,dY,Magnitude
0,741,147,1,1,1.4142135623730951
1,740,151,-1,4,4.123105625617661
2,741,155,1,4,4.123105625617661
3,741,158,0,3,3.0
4,741,161,0,3,3.0
5,741,164,0,3,3.0
6,741,167,0,3,3.0
7,741,171,0,4,4.0
8,741,174,0,3,3.0
9,742,178,1,4,4.123105625617661
10,742,181,0,3,3.0
11,743,184,1,3,3.1622776601683795
12,743,187,0,3,3.0
13,743,191,0,4,4.0
14,745,188,2,-3,3.605551275463989
15,744,199,-1,11,11.045361017187261
16,744,203,0,4,4.0
17,744,205,0,2,2.0
18,744,207,0,2,2.0
19,745,210,1,3,3.1622776601683795
20,746,213,1,3,3.1622776601683795
21,747,217,1,4,4.123105625617661
22,747,219,0,2,2.0
23,748,223,1,4,4.123105625617661
24,748,226,0,3,3.0
25,748,229,0,3,3.0
26,749,232,1,3,3.1622776601683795
27,749,235,0,3,3.0
28,750,238,1,3,3.1622776601683795
29,750,242,0,4,4.0
30,750,245,0,3,3.0
31,751,248,1,3,3.1622776601683795
32,751,251,0,3,3.0
33,751,255,0,4,4.0
34,752,258,1,3,3.1622776601683795
35,751,259,-1,1,1.4142135623730951
36,746,256,-5,-3,5.830951894845301
37,751,266,5,10,11.180339887498949
38,752,269,1,3,3.1622776601683795
39,751,272,-1,3,3.1622776601683795
40,751,275,0,3,3.0
41,747,275,-4,0,4.0
42,751,281,4,6,7.211102550927978
43,753,286,2,5,5.385164807134504
44,755,290,2,4,4.47213595499958
45,752,290,-3,0,3.0
46,755,295,3,5,5.830951894845301
47,754,298,-1,3,3.1622776601683795
48,753,301,-1,3,3.1622776601683795
49,753,304,0,3,3.0
50,754,307,1,3,3.1622776601683795
51,753,309,-1,2,2.23606797749979
52,753,314,0,5,5.0
53,753,316,0,2,2.0
54,752,320,-1,4,4.123105625617661
55,751,324,-1,4,4.123105625617661
56,753,328,2,4,4.47213595499958
57,752,331,-1,3,3.1622776601683795
58,750,334,-2,3,3.605551275463989
59,745,332,-5,-2,5.385164807134504
60,744,337,-1,5,5.0990195135927845
61,745,340,1,3,3.1622776601683795
62,749,348,4,8,8.94427190999916
63,748,351,-1,3,3.1622776601683795
64,744,351,-4,0,4.0
65,745,354,1,3,3.1622776601683795
66,744,358,-1,4,4.123105625617661
67,746,361,2,3,3.605551275463989
68,748,366,2,5,5.385164807134504
69,748,370,0,4,4.0
70,748,373,0,3,3.0
71,749,376,1,3,3.1622776601683795
72,749,381,0,5,5.0
73,749,384,0,3,3.0
74,749,387,0,3,3.0
75,749,391,0,4,4.0
76,750,394,1,3,3.1622776601683795
77,750,397,0,3,3.0
78,750,401,0,4,4.0
79,751,404,1,3,3.1622776601683795
80,751,408,0,4,4.0
81,751,411,0,3,3.0
82,751,413,0,2,2.0
83,752,418,1,5,5.0990195135927845
84,752,420,0,2,2.0
85,753,424,1,4,4.123105625617661
86,754,427,1,3,3.1622776601683795
87,754,429,0,2,2.0
88,754,432,0,3,3.0
89,754,435,0,3,3.0
90,755,439,1,4,4.123105625617661
91,755,441,0,2,2.0
92,755,445,0,4,4.0
93,756,448,1,3,3.1622776601683795
94,756,451,0,3,3.0
95,756,454,0,3,3.0
96,756,458,0,4,4.0
97,757,460,1,2,2.23606797749979
98,757,464,0,4,4.0
99,755,461,-2,-3,3.605551275463989
100,753,466,-2,5,5.385164807134504
101,758,475,5,9,10.295630140987
102,761,479,3,4,5.0
103,761,483,0,4,4.0
104,760,486,-1,3,3.1622776601683795
105,761,489,1,3,3.1622776601683795
106,764,493,3,4,5.0
107,762,495,-2,2,2.8284271247461903
108,762,498,0,3,3.0
109,762,501,0,3,3.0
110,762,503,0,2,2.0
111,762,507,0,4,4.0
112,761,509,-1,2,2.23606797749979
113,761,513,0,4,4.0
114,761,516,0,3,3.0
115,760,519,-1,3,3.1622776601683795
116,760,522,0,3,3.0
117,760,525,0,3,3.0
118,760,529,0,4,4.0
119,760,532,0,3,3.0
120,759,536,-1,4,4.123105625617661
121,759,539,0,3,3.0
122,759,542,0,3,3.0
123,759,545,0,3,3.0
124,759,548,0,3,3.0
125,758,552,-1,4,4.123105625617661
126,758,555,0,3,3.0
127,758,558,0,3,3.0
128,758,562,0,4,4.0
129,759,566,1,4,4.123105625617661
130,759,568,0,2,2.0
131,760,572,1,4,4.123105625617661
132,760,575,0.08000000000000002,3.4,3.400941046239996
133,749,575,-11,0,11.0
134,756,584,7,9,11.40175425099138
135,754,585,-2,1,2.23606797749979
136,749,584,-5,-1,5.0990195135927845
137,750,587,1,3,3.1622776601683795
138,751,590,1,3,3.1622776601683795
139,751,595,0,5,5.0
140,751,597,0,2,2.0
141,755,604,4,7,8.06225774829855
142,757,611,2,7,7.280109889280518
143,757,612,0,1,1.0
144,757,615,0,3,3.0
145,753,613,-4,-2,4.47213595499958
146,752,617,-1,4,4.123105625617661
147,754,619,2,2,2.8284271247461903
148,758,628,4,9,9.848857801796104
149,754,626,-4,-2,4.47213595499958
150,758,635,4,9,9.848857801796104
151,754,632,-4,-3,5.0
152,759,641,5,9,10.295630140987
153,759,645,0,4,4.0
154,760,648,1,3,3.1622776601683795
155,761,652,1,4,4.123105625617661
156,761,655,0,3,3.0
157,762,658,1,3,3.1622776601683795
158,762,661,0,3,3.0
159,763,664,1,3,3.1622776601683795
160,763,667,0,3,3.0
161,763,670,0,3,3.0
162,763,673,0,3,3.0
163,764,676,1,3,3.1622776601683795
164,764,679,0,3,3.0
165,764,682,0,3,3.0
166,765,685,1,3,3.1622776601683795
167,764,688,-1,3,3.1622776601683795
168,764,691,0,3,3.0
169,764,693,0,2,2.0
170,765,696,1,3,3.1622776601683795
171,765,699,0,3,3.0
172,765,702,0,3,3.0
173,765,703,0,1,1.0
174,769,703,4,0,4.0
175,763,711,-6,8,10.0
176,763,712,0,1,1.0
177,763,715,0,3,3.0
178,764,719,1,4,4.123105625617661
179,764,722,0,3,3.0
