Frame,X,Y,dX,dY,Magnitude
0,909,71,-1,-1,1.4142135623730951
1,911,79,2,8,8.246211251235321
2,913,88,2,9,9.219544457292887
3,917,96,4,8,8.94427190999916
4,918,106,1,10,10.04987562112089
5,920,116,2,10,10.198039027185569
6,922,125,2,9,9.219544457292887
7,923,135,1,10,10.04987562112089
8,924,145,1,10,10.04987562112089
9,924,155,0,10,10.0
10,925,165,1,10,10.04987562112089
11,924,175,-1,10,10.04987562112089
12,923,184,-1,9,9.055385138137417
13,922,194,-1,10,10.04987562112089
14,921,203,-1,9,9.055385138137417
15,919,213,-2,10,10.198039027185569
16,917,222,-2,9,9.219544457292887
17,916,232,-1,10,10.04987562112089
18,914,241,-2,9,9.219544457292887
19,913,251,-1,10,10.04987562112089
20,911,261,-2,10,10.198039027185569
21,910,271,-1,10,10.04987562112089
22,909,280,-1,9,9.055385138137417
23,909,291,0,11,11.0
24,908,300,-1,9,9.055385138137417
25,908,310,0,10,10.0
26,907,321,-1,11,11.045361017187261
27,907,331,0,10,10.0
28,907,341,0,10,10.0
29,907,351,0,10,10.0
30,907,361,0,10,10.0
31,908,372,1,11,11.045361017187261
32,908,382,0,10,10.0
33,909,392,1,10,10.04987562112089
34,910,402,1,10,10.04987562112089
35,910,412,0,10,10.0
36,911,423,1,11,11.045361017187261
37,912,432,1,9,9.055385138137417
38,913,443,1,11,11.045361017187261
39,914,453,1,10,10.04987562112089
40,915,463,1,10,10.04987562112089
41,917,474,2,11,11.180339887498949
42,918,484,1,10,10.04987562112089
43,919,495,1,11,11.045361017187261
44,921,505,2,10,10.198039027185569
45,922,514,1,9,9.055385138137417
46,924,524,2,10,10.198039027185569
47,926,535,2,11,11.180339887498949
48,928,544,2,9,9.219544457292887
49,930,554,2,10,10.198039027185569
50,932,563,2,9,9.219544457292887
51,934,573,2,10,10.198039027185569
52,936,582,2,9,9.219544457292887
53,939,591,3,9,9.486832980505138
54,941,600,2,9,9.219544457292887
55,943,609,2,9,9.219544457292887
56,945,618,2,9,9.219544457292887
57,947,627,2,9,9.219544457292887
58,949,636,2,9,9.219544457292887
59,951,645,2,9,9.219544457292887
60,953,654,2,9,9.219544457292887
61,955,663,2,9,9.219544457292887
62,956,673,1,10,10.04987562112089
63,957,682,1,9,9.055385138137417
64,958,692,1,10,10.04987562112089
65,959,701,1,9,9.055385138137417
66,959,711,0,10,10.0
67,959,721,0,10,10.0
68,958,730,-1,9,9.055385138137417
69,958,740,0,10,10.0
70,954,747,-4,7,8.06225774829855
71,960,755,6,8,10.0
72,958,765,-2,10,10.198039027185569
73,956,775,-2,10,10.198039027185569
74,955,783,-1,8,8.06225774829855
75,955,788,0,5,5.0
76,954,800,-1,12,12.041594578792296
77,952,813,-2,13,13.152946437965905
78,949,824,-3,11,11.40175425099138
