Frame,X,Y,dX,dY,Magnitude
0,815,75,0,0,0.0
1,821,70,6,-5,7.810249675906654
2,832,87,11,17,20.248456731316587
3,838,92,6,5,7.810249675906654
4,846,104,8,12,14.422205101855956
5,847,109,1.2400000000000002,5.8,5.931070729640644
6,848,115,1.2896,6.959999999999999,7.07846509915815
7,849,124,1.1011840000000002,9.352,9.416608211126553
8,849,131,0.7052313600000001,7.822399999999999,7.854125860407856
9,856,150,7,19,20.248456731316587
10,856,159,0.45344061440000005,9.78688,9.797378655803167
11,868,179,12,20,23.323807579381203
12,873,188,5,9,10.295630140987
13,877,197,4,9,9.848857801796104
14,882,206,5,9,10.295630140987
15,885,216,3,10,10.44030650891055
16,889,227,4,11,11.704699910719626
17,891,238,2,11,11.180339887498949
18,893,250,2,12,12.165525060596439
19,893,261,0,11,11.0
20,893,271,0,10,10.0
21,891,282,-2,11,11.180339887498949
22,889,291,-2,9,9.219544457292887
23,885,302,-4,11,11.704699910719626
24,882,310,-3,8,8.54400374531753
25,876,319,-6,9,10.816653826391969
26,872,327,-4,8,8.94427190999916
27,869,335,-3,8,8.54400374531753
28,866,344,-3,9,9.486832980505138
29,864,353,-2,9,9.219544457292887
30,860,361,-4,8,8.94427190999916
31,856,372,-4,11,11.704699910719626
32,853,382,-3,10,10.44030650891055
33,849,392,-4,10,10.770329614269007
34,844,401,-5,9,10.295630140987
35,840,409,-4,8,8.94427190999916
36,836,417,-4,8,8.94427190999916
37,832,425,-4,8,8.94427190999916
38,827,434,-5,9,10.295630140987
39,824,443,-3,9,9.486832980505138
40,819,452,-5,9,10.295630140987
41,828,453,9,1,9.055385138137417
42,827,460,-0.32000000000000006,7.2,7.207107602915333
43,817,470,-10,10,14.142135623730951
44,813,480,-4,10,10.770329614269007
45,806,485,-7,5,8.602325267042627
46,803,497,-3,12,12.36931687685298
47,797,503,-6,6,8.48528137423857
48,791,511,-6,8,10.0
49,787,519,-4,8,8.94427190999916
50,782,526,-5,7,8.602325267042627
51,769,542,-13,16,20.615528128088304
52,766,550,-3,8,8.54400374531753
53,762,558,-4,8,8.94427190999916
54,758,566,-4,8,8.94427190999916
55,754,574,-4,8,8.94427190999916
56,752,583,-2,9,9.219544457292887
57,756,581,4,-2,4.47213595499958
58,745,600,-11,19,21.95449840010015
59,751,599,6,-1,6.082762530298219
60,750,607,-1,8,8.06225774829855
61,748,617,-2,10,10.198039027185569
62,746,623,-2,6,6.324555320336759
63,744,636,-2,13,13.152946437965905
64,743,645,-1,9,9.055385138137417
65,742,654,-1,9,9.055385138137417
66,742,664,0,10,10.0
67,741,673,-1,9,9.055385138137417
68,741,681,0,8,8.0
69,741,691,0,10,10.0
70,739,703,-2,12,12.165525060596439
71,741,712,2,9,9.219544457292887
72,741,723,0,11,11.0
73,740,733,-1,10,10.04987562112089
74,742,750,2,17,17.11724276862369
75,738,762,-4,12,12.649110640673518
76,734,773,-4,11,11.704699910719626
77,732,784,-2,11,11.180339887498949
78,732,793,0,9,9.0
79,730,806,-2,13,13.152946437965905
80,729,805,-1,-1,1.4142135623730951
81,728,813,-0.36000000000000004,8.6,8.60753158576836
82,727,821,-0.21440000000000003,8.120000000000001,8.122830009300946
83,726,828,-0.142976,7.544,7.545354738948726
