Frame,X,Y,dX,dY,Magnitude
0,511,59,0,2,2.0
1,512,63,1,4,4.123105625617661
2,515,65,3,2,3.605551275463989
3,514,72,-1,7,7.0710678118654755
4,517,80,3,8,8.54400374531753
5,508,100,-9,20,21.93171219946131
6,508,105,0,5,5.0
7,507,112,-1,7,7.0710678118654755
8,511,108,4,-4,5.656854249492381
9,511,116,0,8,8.0
10,510,123,-1,7,7.0710678118654755
11,510,130,0,7,7.0
12,498,146,-12,16,20.0
13,495,152,-3,6,6.708203932499369
14,495,159,0,7,7.0
15,495,167,0,8,8.0
16,495,175,0,8,8.0
17,493,184,-2,9,9.219544457292887
18,492,193,-1,9,9.055385138137417
19,491,201,-1,8,8.06225774829855
20,490,210,-1,9,9.055385138137417
21,488,217,-2,7,7.280109889280518
22,487,225,-1,8,8.06225774829855
23,485,230,-2,5,5.385164807134504
24,481,237,-4,7,8.06225774829855
25,481,243,0,6,6.0
26,481,250,0,7,7.0
27,480,257,-1,7,7.0710678118654755
28,480,265,0,8,8.0
29,482,273,2,8,8.246211251235321
30,483,281,1,8,8.06225774829855
31,484,289,1,8,8.06225774829855
32,484,298,0,9,9.0
33,485,307,1,9,9.055385138137417
34,487,316,2,9,9.219544457292887
35,490,325,3,9,9.486832980505138
36,492,333,2,8,8.246211251235321
37,496,340,4,7,8.06225774829855
38,499,347,3,7,7.615773105863909
39,502,353,3,6,6.708203932499369
40,504,360,2,7,7.280109889280518
41,506,366,2,6,6.324555320336759
42,508,373,2,7,7.280109889280518
43,510,380,2,7,7.280109889280518
44,511,388,1,8,8.06225774829855
45,513,395,2,7,7.280109889280518
46,516,403,3,8,8.54400374531753
47,520,411,4,8,8.94427190999916
48,523,418,3,7,7.615773105863909
49,527,425,4,7,8.06225774829855
50,531,433,4,8,8.94427190999916
51,536,440,5,7,8.602325267042627
52,539,446,3,6,6.708203932499369
53,543,453,4,7,8.06225774829855
54,546,459,3,6,6.708203932499369
55,549,466,3,7,7.615773105863909
56,552,473,3,7,7.615773105863909
57,555,479,3,6,6.708203932499369
58,558,485,3,6,6.708203932499369
59,564,482,6,-3,6.708203932499369
60,565,488,1,6,6.082762530298219
61,564,507,-1,19,19.026297590440446
62,565,514,1,7,7.0710678118654755
63,568,522,3,8,8.54400374531753
64,574,520,6,-2,6.324555320336759
65,577,528,3,8,8.54400374531753
66,579,536,2,8,8.246211251235321
67,580,544,1,8,8.06225774829855
68,571,561,-9,17,19.235384061671343
69,572,568,1,7,7.0710678118654755
70,572,577,0,9,9.0
71,573,586,1,9,9.055385138137417
72,578,585,5,-1,5.0990195135927845
73,572,602,-6,17,18.027756377319946
74,570,609,-2,7,7.280109889280518
75,576,612,6,3,6.708203932499369
76,576,618,0,6,6.0
77,576,624,0.12,6.4,6.401124901140425
78,561,637,-15,13,19.849433241279208
79,564,644,3,7,7.615773105863909
80,563,650,-1,6,6.082762530298219
81,564,657,1,7,7.0710678118654755
82,564,664,0,7,7.0
83,562,671,-2,7,7.280109889280518
84,559,677,-3,6,6.708203932499369
85,558,683,-1,6,6.082762530298219
86,556,691,-2,8,8.246211251235321
87,553,696,-3,5,5.830951894845301
88,552,702,-1,6,6.082762530298219
89,551,710,-1,8,8.06225774829855
90,546,714,-5,4,6.4031242374328485
91,557,723,11,9,14.212670403551895
92,555,731,-2,8,8.246211251235321
93,552,741,-3,10,10.44030650891055
94,547,749,-5,8,9.433981132056603
95,544,755,-3,6,6.708203932499369
96,540,762,-4,7,8.06225774829855
97,538,769,-2,7,7.280109889280518
98,535,777,-3,8,8.54400374531753
99,535,777,0,0,0.0
100,528,793,-7,16,17.46424919657298
101,524,800,-4,7,8.06225774829855
