Frame,X,Y,dX,dY,Magnitude
0,585,61,0,0,0.0
1,591,60,6,-1,6.082762530298219
2,590,68,-1,8,8.06225774829855
3,589,86,-1,18,18.027756377319946
4,594,85,5,-1,5.0990195135927845
5,592,104,-2,19,19.1049731745428
6,594,112,2,8,8.246211251235321
7,595,120,1,8,8.06225774829855
8,596,127,1,7,7.0710678118654755
9,598,135,2,8,8.246211251235321
10,599,143,1,8,8.06225774829855
11,601,150,2,7,7.280109889280518
12,602,158,1,8,8.06225774829855
13,604,166,2,8,8.246211251235321
14,605,175,1,9,9.055385138137417
15,607,184,2,9,9.219544457292887
16,608,193,1,9,9.055385138137417
17,610,202,2,9,9.219544457292887
18,612,210,2,8,8.246211251235321
19,614,219,2,9,9.219544457292887
20,615,227,1,8,8.06225774829855
21,616,233,1,6,6.082762530298219
22,617,241,1,8,8.06225774829855
23,617,248,0,7,7.0
24,618,255,1,7,7.0710678118654755
25,619,263,1,8,8.06225774829855
26,621,270,2,7,7.280109889280518
27,623,277,2,7,7.280109889280518
28,624,284,1,7,7.0710678118654755
29,625,292,1,8,8.06225774829855
30,625,299,0,7,7.0
31,625,306,0,7,7.0
32,625,313,0,7,7.0
33,624,321,-1,8,8.06225774829855
34,624,329,0,8,8.0
35,624,337,0,8,8.0
36,623,345,-1,8,8.06225774829855
37,623,353,0,8,8.0
38,622,362,-1,9,9.055385138137417
39,622,372,0,10,10.0
40,622,380,0,8,8.0
41,621,388,-1,8,8.06225774829855
42,620,397,-1,9,9.055385138137417
43,620,406,0,9,9.0
44,620,414,0,8,8.0
45,620,423,0,9,9.0
46,619,432,-1,9,9.055385138137417
47,619,441,0,9,9.0
48,619,450,0,9,9.0
49,619,460,0,10,10.0
50,625,461,6,1,6.082762530298219
51,620,480,-5,19,19.6468827043885
52,621,489,1,9,9.055385138137417
53,622,496,1,7,7.0710678118654755
54,623,504,1,8,8.06225774829855
55,629,506,6,2,6.324555320336759
56,623,520,-6,14,15.231546211727817
57,624,527,1,7,7.0710678118654755
58,625,533,1,6,6.082762530298219
59,627,541,2,8,8.246211251235321
60,629,548,2,7,7.280109889280518
61,631,556,2,8,8.246211251235321
62,632,563,1,7,7.0710678118654755
63,633,570,1,7,7.0710678118654755
64,635,578,2,8,8.246211251235321
65,636,585,1,7,7.0710678118654755
66,637,592,1,7,7.0710678118654755
67,637,598,0,6,6.0
68,637,606,0,8,8.0
69,636,613,-1,7,7.0710678118654755
70,636,621,0,8,8.0
71,635,629,-1,8,8.06225774829855
72,633,637,-2,8,8.246211251235321
73,631,646,-2,9,9.219544457292887
74,629,654,-2,8,8.246211251235321
75,627,662,-2,8,8.246211251235321
76,625,671,-2,9,9.219544457292887
77,627,670,2,-1,2.23606797749979
78,620,688,-7,18,19.313207915827967
79,617,697,-3,9,9.486832980505138
80,614,704,-3,7,7.615773105863909
81,608,706,-6,2,6.324555320336759
82,613,721,5,15,15.811388300841896
83,611,730,-2,9,9.219544457292887
84,609,739,-2,9,9.219544457292887
85,608,748,-1,9,9.055385138137417
86,607,757,-1,9,9.055385138137417
87,606,766,-1,9,9.055385138137417
88,605,775,-1,9,9.055385138137417
89,605,784,0,9,9.0
90,605,792,0,8,8.0
91,605,800,0,8,8.0
92,607,809,2,9,9.219544457292887
