Frame,X,Y,dX,dY,Magnitude
0,804,90,-1,-1,1.4142135623730951
1,801,95,-3,5,5.830951894845301
2,793,105,-8,10,12.806248474865697
3,797,123,4,18,18.439088914585774
4,796,131,-0.4,8.0,8.009993757800315
5,795,139,-0.3360000000000001,8.0,8.007052891045495
6,794,148,-0.30944000000000005,9.8,9.804884145853025
7,793,158,-0.20181760000000004,10.76,10.761892507531831
8,793,168,0.110109696,10.911999999999999,10.912555527700796
9,792,177,-0.04548591616000001,9.4944,9.494508956684856
10,791,186,-0.031305352806400004,9.79328,9.793330035463642
11,790,196,-0.019117566918656008,10.151936000000001,10.151954000558755
12,789,206,-0.007504669595402243,10.222323199999998,10.222325954758238
13,789,216,0.00026784762078167003,10.11478784,10.11478784354641
14,788,225,-0.004125826314387064,9.955345408,9.9553462629398
15,787,235,-0.0024714227205625463,10.0475344896,10.047534793551689
16,786,245,-0.0013180655171290477,10.09838538752,10.098385473538539
17,785,255,-0.0006060854610679693,10.087675265023998,10.087675283231343
18,784,265,-0.0003301420956945983,10.060745678028798,10.060745683445584
19,783,275,-0.0003540616843536491,10.049937245634558,10.049937251871397
20,782,285,-0.00020319109915231247,10.068855613161471,10.068855615211685
21,781,295,-0.00011246183429590305,10.073119837873765,10.073119838501558
22,780,305,-6.423768698257729e-05,10.068066727944517,10.068066728149446
23,779,315,-4.256377601916161e-05,10.064145020528622,10.064145020618628
24,778,325,-3.106064323214414e-05,10.064824889028586,10.064824889076514
25,777,335,-1.8140601587283944e-05,10.067802417707393,10.067802417723737
26,776,345,-1.0738581684682802e-05,10.067591778616576,10.067591778622303
27,775,355,-6.669651580233992e-06,10.066486166765138,10.066486166767348
28,774,365,-4.36693016414026e-06,10.066170054529263,10.06617005453021
29,773,375,-2.839056329939405e-06,10.066575061329392,10.066575061329791
30,772,385,-1.7101928538512164e-06,10.066925095789552,10.066925095789697
31,771,395,-1.0529765045139072e-06,10.066749631405983,10.066749631406038
32,770,405,-6.655522973071513e-07,10.066581201963865,10.066581201963887
33,769,415,-4.2538832599007763e-07,10.06660020900361,10.066600209003619
34,768,425,-2.677266524640703e-07,10.06668623989848,10.066686239898484
35,767,435,-1.6487346536505692e-07,10.066708475612298,10.0667084756123
36,766,445,-1.0306068982561055e-07,10.066665151576847,10.066665151576847
37,765,455,-6.506405723807869e-08,10.066648255611021,10.066648255611021
38,764,465,-4.1044527635315764e-08,10.066661666340451,10.066661666340451
39,763,475,-2.5670775701125288e-08,10.066673957807819,10.066673957807819
40,762,485,-1.5988540630607487e-08,10.066671501389687,10.066671501389687
41,761,495,-1.0033143641229515e-08,10.066664106545165,10.066664106545165
42,760,505,-6.31204179385427e-09,10.066663897538827,10.066663897538827
43,759,515,-3.961961176085293e-09,10.066667025924392,10.066667025924392
44,758,525,-2.4786585177160743e-09,10.066668097841179,10.066668097841179
45,757,535,-1.5509738303797057e-09,10.066666925847851,10.066666925847851
46,756,545,-9.734711583705943e-10,10.066666010739482,10.066666010739482
47,755,555,-6.110842590562376e-10,10.066666391578346,10.066666391578346
48,754,565,-3.830459576643162e-10,10.066666890386248,10.066666890386248
49,753,575,-2.3988934892747714e-10,10.066666863278622,10.066666863278622
50,752,585,-1.5033858217593327e-10,10.06666661636611,10.06666661636611
51,751,595,-9.431317224778233e-11,10.066666554469762,10.066666554469762
52,750,605,-5.914685280286987e-11,10.066666663215818,10.066666663215818
53,749,615,-3.706935655273515e-11,10.066666717543312,10.066666717543312
54,748,625,-2.3230292508271914e-11,10.066666682974725,10.066666682974725
