Frame,X,Y,dX,dY,Magnitude
0,432,188,1,0,1.0
1,433,194,1,6,6.082762530298219
2,427,193,-6,-1,6.082762530298219
3,429,199,2,6,6.324555320336759
4,438,213,9,14,16.64331697709324
5,439,221,1,8,8.06225774829855
6,439,226,0,5,5.0
7,439,232,0,6,6.0
8,442,238,3,6,6.708203932499369
9,438,237,-4,-1,4.123105625617661
10,445,250,7,13,14.7648230602334
11,439,250,-6,0,6.0
12,450,262,11,12,16.278820596099706
13,450,267,0,5,5.0
14,447,272,-3,5,5.830951894845301
15,444,277,-3,5,5.830951894845301
16,442,282,-2,5,5.385164807134504
17,441,288,-1,6,6.082762530298219
18,440,294,-1,6,6.082762530298219
19,439,299,-1,5,5.0990195135927845
20,439,305,0,6,6.0
21,438,310,-1,5,5.0990195135927845
22,438,316,0,6,6.0
23,437,321,-1,5,5.0990195135927845
24,436,326,-1,5,5.0990195135927845
25,435,331,-1,5,5.0990195135927845
26,434,336,-1,5,5.0990195135927845
27,433,342,-1,6,6.082762530298219
28,432,348,-1,6,6.082762530298219
29,432,354,0,6,6.0
30,431,360,-1,6,6.082762530298219
31,431,367,0,7,7.0
32,430,374,-1,7,7.0710678118654755
33,430,382,0,8,8.0
34,431,389,1,7,7.0710678118654755
35,433,396,2,7,7.280109889280518
36,434,402,1,6,6.082762530298219
37,437,408,3,6,6.708203932499369
38,438,413,1,5,5.0990195135927845
39,442,419,4,6,7.211102550927978
40,444,425,2,6,6.324555320336759
41,446,430,2,5,5.385164807134504
42,448,435,2,5,5.385164807134504
43,451,440,3,5,5.830951894845301
44,453,446,2,6,6.324555320336759
45,455,452,2,6,6.324555320336759
46,457,458,2,6,6.324555320336759
47,459,464,2,6,6.324555320336759
48,461,472,2,8,8.246211251235321
49,463,479,2,7,7.280109889280518
50,466,487,3,8,8.54400374531753
51,469,493,3,6,6.708203932499369
52,471,498,2,5,5.385164807134504
53,474,504,3,6,6.708203932499369
54,476,509,2,5,5.385164807134504
55,478,514,2,5,5.385164807134504
56,480,520,2,6,6.324555320336759
57,482,525,2,5,5.385164807134504
58,483,530,1,5,5.0990195135927845
59,484,537,1,7,7.0710678118654755
60,485,542,1,5,5.0990195135927845
61,486,548,1,6,6.082762530298219
62,486,554,0,6,6.0
63,486,560,0,6,6.0
64,486,567,0,7,7.0
65,485,573,-1,6,6.082762530298219
66,482,579,-3,6,6.708203932499369
67,480,586,-2,7,7.280109889280518
68,477,593,-3,7,7.615773105863909
69,474,600,-3,7,7.615773105863909
70,470,607,-4,7,8.06225774829855
71,468,613,-2,6,6.324555320336759
72,465,619,-3,6,6.708203932499369
73,462,625,-3,6,6.708203932499369
74,460,632,-2,7,7.280109889280518
75,456,638,-4,6,7.211102550927978
76,454,645,-2,7,7.280109889280518
77,459,649,5,4,6.4031242374328485
78,453,657,-6,8,10.0
79,450,663,-3,6,6.708203932499369
80,450,668,0,5,5.0
81,454,673,4,5,6.4031242374328485
82,448,682,-6,9,10.816653826391969
83,449,688,1,6,6.082762530298219
84,450,695,1,7,7.0710678118654755
85,450,703,0,8,8.0
86,448,709,-2,6,6.324555320336759
87,445,714,-3,5,5.830951894845301
88,445,717,0,3,3.0
89,443,723,-2,6,6.324555320336759
90,440,733,-3,10,10.44030650891055
91,439,737,-1,4,4.123105625617661
92,436,742,-3,5,5.830951894845301
93,432,746,-4,4,5.656854249492381
94,430,754,-2,8,8.246211251235321
95,429,760,-1,6,6.082762530298219
96,425,759,-4,-1,4.123105625617661
97,427,774,2,15,15.132745950421556
98,423,780,-4,6,7.211102550927978
99,422,785,-1,5,5.0990195135927845
100,419,791,-3,6,6.708203932499369
101,419,795,0,4,4.0
