Frame,X,Y,dX,dY,Magnitude
0,172,174,0,0,0.0
1,173,185,1,11,11.045361017187261
2,171,194,-2,9,9.219544457292887
3,171,204,0,10,10.0
4,169,213,-2,9,9.219544457292887
5,168,223,-1,10,10.04987562112089
6,167,232,-1,9,9.055385138137417
7,166,241,-1,9,9.055385138137417
8,164,249,-2,8,8.246211251235321
9,163,256,-1,7,7.0710678118654755
10,161,263,-2,7,7.280109889280518
11,159,270,-2,7,7.280109889280518
12,158,278,-1,8,8.06225774829855
13,157,287,-1,9,9.055385138137417
14,156,295,-1,8,8.06225774829855
15,155,303,-1,8,8.06225774829855
16,153,314,-2,11,11.180339887498949
17,153,320,0,6,6.0
18,156,321,3,1,3.1622776601683795
19,155,326,-1,5,5.0990195135927845
20,154,332,-0.04000000000000001,6.2,6.200129030915406
21,153,337,-0.0016000000000000005,5.84,5.840000219178077
22,151,355,-2,18,18.110770276274835
23,150,362,-0.0016640000000000034,7.208,7.2080001920710295
24,149,370,-0.12173056,8.4496,8.450476820229609
25,148,379,-0.08659978239999999,9.13952,9.139930270670106
26,147,388,-0.088463773696,9.727424000000001,9.727826248192994
27,146,398,-0.09193832464384,10.504908799999999,10.505311111616626
28,145,407,-0.0156158576295936,9.005890560000001,9.005904098629223
29,144,416,-0.016173931934777345,9.365468672,9.365482637979085
30,143,425,-0.011951666812168438,9.548642406399999,9.548649886116882
31,142,434,-0.008965742188655177,9.63046688768,9.630471061128521
32,141,443,-0.005785820928361381,9.611075465216,9.611077206733945
33,140,452,-0.0023397207797422374,9.4323087982592,9.432309088447603
34,139,461,-0.0018086753057481833,9.51759244591104,9.517592617766809
35,138,470,-0.0012340650405870167,9.548017200693248,9.548017280443656
36,137,479,-0.0008053609697237598,9.547892159551898,9.54789219351784
37,136,488,-0.0004789457209665032,9.531377213926278,9.53137722595964
38,135,497,-0.0002666707126707081,9.515437563668332,9.515437567405064
39,134,506,-0.00018374870998784685,9.53206331675016,9.532063318521214
40,133,515,-0.00011875164615743339,9.534957490917982,9.534957491657469
41,132,524,-7.413911038025005e-05,9.53234554896293,9.532345549251243
42,131,533,-4.489023600650967e-05,9.529236226845137,9.529236226950871
43,130,542,-2.7528016608109922e-05,9.528808029428907,9.52880802946867
44,129,551,-1.7962308765605994e-05,9.531482122581023,9.531482122597948
45,128,560,-1.133085271671636e-05,9.531365883747196,9.531365883753931
46,127,569,-7.034020979087682e-06,9.530647562313039,9.530647562315634
47,126,578,-4.349817403041185e-06,9.530307964983061,9.530307964984054
48,125,587,-2.728200658902446e-06,9.530522312610644,9.530522312611035
49,124,596,-1.736208020934147e-06,9.530865169246992,9.53086516924715
50,123,605,-1.0871639911472726e-06,9.530741778580186,9.530741778580248
51,122,614,-6.774164421245093e-07,9.530616957546785,9.53061695754681
52,121,623,-4.231522606459824e-07,9.530610836593533,9.530610836593542
53,120,632,-2.6608565495017433e-07,9.530671410915627,9.53067141091563
54,119,641,-1.6760105479208346e-07,9.530701230576625,9.530701230576627
55,118,650,-1.048567761464009e-07,9.53066844284255,9.53066844284255
56,117,659,-6.556448754636603e-08,9.530653775695024,9.530653775695024
57,116,668,-4.1090409363240286e-08,9.530661139324671,9.530661139324671
58,115,677,-2.58079353119306e-08,9.530671199870898,9.530671199870898
59,114,686,-1.619682652640085e-08,9.530671157661953,9.530671157661953
60,113,695,-1.0140657395773548e-08,9.53066514307902,9.53066514307902
61,112,704,-6.352012645748453e-09,9.530664483126312,9.530664483126312
62,111,713,-3.98351364972375e-09,9.53066662461257,9.53066662461257
63,110,722,-2.4992378211830883e-09,9.530667721670152,9.530667721670152
64,109,731,-1.566889921553188e-09,9.530667026030002,9.530667026030002
65,108,740,-9.81692457359281e-10,9.530666199703612,9.530666199703612
66,107,749,-6.153338598227104e-10,9.53066641102853,9.53066641102853
67,106,758,-3.858667083856808e-10,9.530666796608973,9.530666796608973
68,105,767,-2.419608307321579e-10,9.530666831008253,9.530666831008253
69,104,776,-1.5166975111412075e-10,9.530666652875874,9.530666652875874
70,103,785,-9.506094429655806e-11,9.530666578245048,9.530666578245048
71,102,794,-5.959568377404911e-11,9.530666653953336,9.530666653953336
72,101,803,-3.7366156732102664e-11,9.530666702538294,9.530666702538294
73,100,812,-2.342613466595954e-11,9.53066668372416,9.53066668372416
