Frame,X,Y,dX,dY,Magnitude
0,419,173,1,1,1.4142135623730951
1,418,173,-1,0,1.0
2,419,173,1,0,1.0
3,419,169,0,-4,4.0
4,419,169,0,0,0.0
5,420,171,1,2,2.23606797749979
6,419,173,-1,2,2.23606797749979
7,419,174,0,1,1.0
8,419,176,0,2,2.0
9,419,176,0,0,0.0
10,419,179,0,3,3.0
11,419,180,0,1,1.0
12,419,189,0,9,9.0
13,419,192,0,3,3.0
14,419,195,0,3,3.0
15,420,198,1,3,3.1622776601683795
16,420,201,0,3,3.0
17,421,204,1,3,3.1622776601683795
18,420,206,-1,2,2.23606797749979
19,421,208,1,2,2.23606797749979
20,428,212,7,4,8.06225774829855
21,419,217,-9,5,10.295630140987
22,418,221,-1,4,4.123105625617661
23,415,224,-3,3,4.242640687119285
24,414,227,-0.2,3.6,3.605551275463989
25,413,230,-1,3,3.1622776601683795
26,414,232,1,2,2.23606797749979
27,417,234,3,2,3.605551275463989
28,420,236,3,2,3.605551275463989
29,420,238,0,2,2.0
30,423,242,3,4,5.0
31,420,244,-3,2,3.605551275463989
32,419,247,-1,3,3.1622776601683795
33,418,249,-1,2,2.23606797749979
34,418,251,0,2,2.0
35,418,254,0,3,3.0
36,418,256,0,2,2.0
37,418,259,0,3,3.0
38,418,263,0,4,4.0
39,418,266,0,3,3.0
40,418,269,0,3,3.0
41,418,272,0,3,3.0
42,418,275,0,3,3.0
43,418,278,0,3,3.0
44,419,281,1,3,3.1622776601683795
45,418,284,-1,3,3.1622776601683795
46,418,286,0,2,2.0
47,418,288,0,2,2.0
48,418,291,0,3,3.0
49,418,293,0,2,2.0
50,418,296,0,3,3.0
51,418,299,0,3,3.0
52,418,302,0,3,3.0
53,417,305,-1,3,3.1622776601683795
54,417,308,0,3,3.0
55,417,311,0,3,3.0
56,417,314,0,3,3.0
57,417,317,0,3,3.0
58,417,319,0,2,2.0
59,416,322,-1,3,3.1622776601683795
60,416,324,0,2,2.0
61,416,327,0,3,3.0
62,416,329,0,2,2.0
63,416,332,0,3,3.0
64,416,335,0,3,3.0
65,416,338,0,3,3.0
66,416,341,0,3,3.0
67,416,344,0,3,3.0
68,416,347,0,3,3.0
69,416,350,0,3,3.0
70,416,353,0,3,3.0
71,416,356,0,3,3.0
72,417,359,1,3,3.1622776601683795
73,416,361,-1,2,2.23606797749979
74,416,363,0,2,2.0
75,416,366,0,3,3.0
76,417,368,1,2,2.23606797749979
77,417,371,0,3,3.0
78,416,374,-1,3,3.1622776601683795
79,416,377,0,3,3.0
80,416,380,0,3,3.0
81,416,383,0,3,3.0
82,416,387,0,4,4.0
83,416,389,0,2,2.0
84,416,392,0,3,3.0
85,416,396,0,4,4.0
86,417,398,1,2,2.23606797749979
87,415,401,-2,3,3.605551275463989
88,416,403,1,2,2.23606797749979
89,415,406,-1,3,3.1622776601683795
90,415,408,0,2,2.0
91,415,411,0,3,3.0
92,416,414,1,3,3.1622776601683795
93,416,417,0,3,3.0
94,416,420,0,3,3.0
95,416,423,0,3,3.0
96,416,426,0,3,3.0
97,416,429,0,3,3.0
98,415,432,-1,3,3.1622776601683795
99,416,435,1,3,3.1622776601683795
100,416,438,0,3,3.0
101,416,441,0,3,3.0
102,415,443,-1,2,2.23606797749979
103,416,445,1,2,2.23606797749979
104,415,448,-1,3,3.1622776601683795
105,416,451,1,3,3.1622776601683795
106,415,454,-1,3,3.1622776601683795
107,415,456,0,2,2.0
108,415,459,0,3,3.0
109,415,463,0,4,4.0
110,415,466,0,3,3.0
111,415,469,0,3,3.0
112,415,472,0,3,3.0
113,416,474,1,2,2.23606797749979
114,415,478,-1,4,4.123105625617661
115,416,480,1,2,2.23606797749979
116,415,482,-1,2,2.23606797749979
117,416,485,1,3,3.1622776601683795
118,416,487,0,2,2.0
119,416,490,0,3,3.0
120,416,493,0,3,3.0
121,416,496,0,3,3.0
122,416,499,0,3,3.0
123,416,502,0,3,3.0
124,416,505,0,3,3.0
125,416,508,0,3,3.0
126,416,510,0,2,2.0
127,416,513,0,3,3.0
128,416,516,0,3,3.0
129,414,519,-2,3,3.605551275463989
130,415,520,1,1,1.4142135623730951
131,414,523,-1,3,3.1622776601683795
132,413,522,-1,-1,1.4142135623730951
133,414,530,1,8,8.06225774829855
134,414,533,0,3,3.0
135,413,531,-1,-2,2.23606797749979
136,413,538,0,7,7.0
137,416,542,3,4,5.0
138,415,544,-1,2,2.23606797749979
139,414,546,-1,2,2.23606797749979
140,413,549,-1,3,3.1622776601683795
141,416,552,3,3,4.242640687119285
142,416,554,0,2,2.0
143,415,556,-1,2,2.23606797749979
144,415,559,0,3,3.0
145,415,561,0,2,2.0
