Frame,X,Y,dX,dY,Magnitude
0,562,164,0,0,0.0
1,563,172,1,8,8.06225774829855
2,564,182,1,10,10.04987562112089
3,566,192,2,10,10.198039027185569
4,567,203,1,11,11.045361017187261
5,564,207,-3,4,5.0
6,569,223,5,16,16.76305461424021
7,570,233,1,10,10.04987562112089
8,570,244,0,11,11.0
9,566,247,-4,3,5.0
10,564,258,-2,11,11.180339887498949
11,564,267,0,9,9.0
12,561,278,-3,11,11.40175425099138
13,567,297,6,19,19.924858845171276
14,565,307,-2,10,10.198039027185569
15,562,317,-3,10,10.44030650891055
16,560,327,-2,10,10.198039027185569
17,557,337,-3,10,10.44030650891055
18,554,347,-3,10,10.44030650891055
19,550,357,-4,10,10.770329614269007
20,547,366,-3,9,9.486832980505138
21,544,376,-3,10,10.44030650891055
22,541,386,-3,10,10.44030650891055
23,538,396,-3,10,10.44030650891055
24,534,406,-4,10,10.770329614269007
25,531,416,-3,10,10.44030650891055
26,528,425,-3,9,9.486832980505138
27,525,435,-3,10,10.44030650891055
28,523,444,-2,9,9.219544457292887
29,520,454,-3,10,10.44030650891055
30,517,463,-3,9,9.486832980505138
31,515,474,-2,11,11.180339887498949
32,513,484,-2,10,10.198039027185569
33,511,493,-2,9,9.219544457292887
34,509,502,-2,9,9.219544457292887
35,507,511,-2,9,9.219544457292887
36,506,522,-1,11,11.045361017187261
37,505,533,-1,11,11.045361017187261
38,504,543,-1,10,10.04987562112089
39,503,553,-1,10,10.04987562112089
40,503,563,0,10,10.0
41,502,574,-1,11,11.045361017187261
42,497,577,-5,3,5.830951894845301
43,504,592,7,15,16.55294535724685
44,501,604,-3,12,12.36931687685298
45,502,614,1,10,10.04987562112089
46,502,624,0,10,10.0
47,504,634,2,10,10.198039027185569
48,505,644,1,10,10.04987562112089
49,501,648,-4,4,5.656854249492381
50,508,665,7,17,18.384776310850235
51,509,676,1,11,11.045361017187261
52,503,680,-6,4,7.211102550927978
53,505,691,2,11,11.180339887498949
54,512,705,7,14,15.652475842498529
55,516,714,4,9,9.848857801796104
56,518,724,2,10,10.198039027185569
57,521,734,3,10,10.44030650891055
58,523,743,2,9,9.219544457292887
59,525,751,2,8,8.246211251235321
60,527,761,2,10,10.198039027185569
61,530,770,3,9,9.486832980505138
