Frame,X,Y,dX,dY,Magnitude
0,301,166,-6,1,6.082762530298219
1,299,174,-2,8,8.246211251235321
2,296,181,-3,7,7.615773105863909
3,294,187,-2,6,6.324555320336759
4,294,194,0,7,7.0
5,292,199,-2,5,5.385164807134504
6,286,206,-6,7,9.219544457292887
7,282,211,-4,5,6.4031242374328485
8,278,217,-4,6,7.211102550927978
9,274,223,-4,6,7.211102550927978
10,271,228,-3,5,5.830951894845301
11,269,234,-2,6,6.324555320336759
12,265,240,-4,6,7.211102550927978
13,262,246,-3,6,6.708203932499369
14,259,252,-3,6,6.708203932499369
15,256,258,-3,6,6.708203932499369
16,253,263,-3,5,5.830951894845301
17,250,269,-3,6,6.708203932499369
18,247,275,-3,6,6.708203932499369
19,244,281,-3,6,6.708203932499369
20,240,287,-4,6,7.211102550927978
21,237,293,-3,6,6.708203932499369
22,233,300,-4,7,8.06225774829855
23,230,306,-3,6,6.708203932499369
24,227,312,-3,6,6.708203932499369
25,223,318,-4,6,7.211102550927978
26,221,324,-2,6,6.324555320336759
27,218,330,-3,6,6.708203932499369
28,216,336,-2,6,6.324555320336759
29,214,342,-2,6,6.324555320336759
30,213,348,-1,6,6.082762530298219
31,211,354,-2,6,6.324555320336759
32,211,360,0,6,6.0
33,209,367,-2,7,7.280109889280518
34,209,373,0,6,6.0
35,208,379,-1,6,6.082762530298219
36,208,386,0,7,7.0
37,207,392,-1,6,6.082762530298219
38,207,399,0,7,7.0
39,207,406,0,7,7.0
40,207,413,0,7,7.0
41,207,419,0,6,6.0
42,207,426,0,7,7.0
43,207,433,0,7,7.0
44,207,439,0,6,6.0
45,207,446,0,7,7.0
46,208,453,1,7,7.0710678118654755
47,208,461,0,8,8.0
48,208,468,0,7,7.0
49,209,475,1,7,7.0710678118654755
50,209,484,0,9,9.0
51,208,491,-1,7,7.0710678118654755
52,207,499,-1,8,8.06225774829855
53,206,505,-1,6,6.082762530298219
54,205,512,-1,7,7.0710678118654755
55,205,518,0,6,6.0
56,204,524,-1,6,6.082762530298219
57,205,531,1,7,7.0710678118654755
58,205,539,0,8,8.0
59,206,546,1,7,7.0710678118654755
60,205,554,-1,8,8.06225774829855
61,204,560,-1,6,6.082762530298219
62,204,566,0,6,6.0
63,203,572,-1,6,6.082762530298219
64,203,577,0,5,5.0
65,203,584,0,7,7.0
66,203,590,0,6,6.0
67,203,597,0,7,7.0
68,202,603,-1,6,6.082762530298219
69,201,610,-1,7,7.0710678118654755
70,200,616,-1,6,6.082762530298219
71,199,622,-1,6,6.082762530298219
72,198,627,-1,5,5.0990195135927845
73,199,634,1,7,7.0710678118654755
74,200,641,1,7,7.0710678118654755
75,200,648,0,7,7.0
76,200,654,0,6,6.0
77,200,661,0,7,7.0
78,200,667,0,6,6.0
79,200,674,0,7,7.0
80,201,680,1,6,6.082762530298219
81,201,685,0,5,5.0
82,201,692,0,7,7.0
83,202,697,1,5,5.0990195135927845
84,202,703,0,6,6.0
85,202,708,0,5,5.0
86,202,713,0.04000000000000001,5.6,5.600142855320746
87,202,718,0.041600000000000005,5.720000000000001,5.720151270727026
88,202,723,0.043264000000000004,5.464,5.464171279681485
89,199,725,-3,2,3.605551275463989
90,197,734,-2,9,9.219544457292887
91,199,742,2,8,8.246211251235321
