Frame,X,Y,dX,dY,Magnitude
0,266,163,0,0,0.0
1,266,170,0,7,7.0
2,266,177,0,7,7.0
3,266,184,0,7,7.0
4,267,190,1,6,6.082762530298219
5,266,196,-1,6,6.082762530298219
6,264,204,-2,8,8.246211251235321
7,263,212,-1,8,8.06225774829855
8,263,220,0,8,8.0
9,262,226,-1,6,6.082762530298219
10,262,232,0,6,6.0
11,261,238,-1,6,6.082762530298219
12,261,243,0,5,5.0
13,261,249,0,6,6.0
14,261,255,0,6,6.0
15,260,261,-1,6,6.082762530298219
16,259,267,-1,6,6.082762530298219
17,258,274,-1,7,7.0710678118654755
18,258,280,0,6,6.0
19,257,286,-1,6,6.082762530298219
20,257,292,0,6,6.0
21,258,298,1,6,6.082762530298219
22,260,304,2,6,6.324555320336759
23,261,309,1,5,5.0990195135927845
24,263,314,2,5,5.385164807134504
25,265,320,2,6,6.324555320336759
26,268,325,3,5,5.830951894845301
27,271,330,3,5,5.830951894845301
28,273,336,2,6,6.324555320336759
29,275,341,2,5,5.385164807134504
30,278,347,3,6,6.708203932499369
31,280,353,2,6,6.324555320336759
32,282,358,2,5,5.385164807134504
33,283,365,1,7,7.0710678118654755
34,285,371,2,6,6.324555320336759
35,286,377,1,6,6.082762530298219
36,286,383,0,6,6.0
37,286,389,0,6,6.0
38,287,395,1,6,6.082762530298219
39,286,401,-1,6,6.082762530298219
40,286,407,0,6,6.0
41,285,414,-1,7,7.0710678118654755
42,285,420,0,6,6.0
43,285,427,0,7,7.0
44,285,435,0,8,8.0
45,287,434,2,-1,2.23606797749979
46,283,451,-4,17,17.46424919657298
47,283,457,0,6,6.0
48,284,464,1,7,7.0710678118654755
49,285,470,1,6,6.082762530298219
50,286,476,1,6,6.082762530298219
51,287,480,1,4,4.123105625617661
52,289,486,2,6,6.324555320336759
53,291,491,2,5,5.385164807134504
54,293,496,2,5,5.385164807134504
55,295,502,2,6,6.324555320336759
56,297,508,2,6,6.324555320336759
57,299,514,2,6,6.324555320336759
58,301,520,2,6,6.324555320336759
59,303,525,2,5,5.385164807134504
60,305,530,2,5,5.385164807134504
61,307,535,2,5,5.385164807134504
62,309,541,2,6,6.324555320336759
63,311,546,2,5,5.385164807134504
64,313,552,2,6,6.324555320336759
65,315,557,2,5,5.385164807134504
66,317,564,2,7,7.280109889280518
67,320,571,3,7,7.615773105863909
68,321,578,1,7,7.0710678118654755
69,323,586,2,8,8.246211251235321
70,325,593,2,7,7.280109889280518
71,326,600,1,7,7.0710678118654755
72,327,607,1,7,7.0710678118654755
73,329,614,2,7,7.280109889280518
74,330,621,1,7,7.0710678118654755
75,332,627,2,6,6.324555320336759
76,333,633,1,6,6.082762530298219
77,334,639,1,6,6.082762530298219
78,335,645,1,6,6.082762530298219
79,337,652,2,7,7.280109889280518
80,337,658,0,6,6.0
81,339,665,2,7,7.280109889280518
82,340,671,1,6,6.082762530298219
83,341,677,1,6,6.082762530298219
84,341,684,0,7,7.0
85,341,690,0,6,6.0
86,342,696,1,6,6.082762530298219
87,341,702,-1,6,6.082762530298219
88,341,707,0,5,5.0
89,336,716,-5,9,10.295630140987
90,335,719,-1,3,3.1622776601683795
91,333,724,-2,5,5.385164807134504
92,332,731,-1,7,7.0710678118654755
93,331,735,-1,4,4.123105625617661
94,331,740,0,5,5.0
95,331,744,0,4,4.0
96,325,748,-6,4,7.211102550927978
97,326,758,1,10,10.04987562112089
98,329,761,3,3,4.242640687119285
99,328,759,-1,-2,2.23606797749979
100,331,774,3,15,15.297058540778355
101,327,781,-4,7,8.06225774829855
