Frame,X,Y,dX,dY,Magnitude
0,331,164,0,0,0.0
1,331,172,0,8,8.0
2,330,179,-1,7,7.0710678118654755
3,330,187,0,8,8.0
4,329,194,-1,7,7.0710678118654755
5,328,201,-1,7,7.0710678118654755
6,327,208,-1,7,7.0710678118654755
7,325,215,-2,7,7.280109889280518
8,323,221,-2,6,6.324555320336759
9,321,228,-2,7,7.280109889280518
10,318,235,-3,7,7.615773105863909
11,316,241,-2,6,6.324555320336759
12,313,247,-3,6,6.708203932499369
13,312,253,-1,6,6.082762530298219
14,310,261,-2,8,8.246211251235321
15,308,269,-2,8,8.246211251235321
16,307,277,-1,8,8.06225774829855
17,305,285,-2,8,8.246211251235321
18,304,294,-1,9,9.055385138137417
19,304,302,0,8,8.0
20,304,311,0,9,9.0
21,304,319,0,8,8.0
22,304,327,0,8,8.0
23,305,334,1,7,7.0710678118654755
24,306,341,1,7,7.0710678118654755
25,307,348,1,7,7.0710678118654755
26,307,355,0,7,7.0
27,308,361,1,6,6.082762530298219
28,309,368,1,7,7.0710678118654755
29,311,377,2,9,9.219544457292887
30,312,384,1,7,7.0710678118654755
31,312,390,0,6,6.0
32,313,397,1,7,7.0710678118654755
33,314,405,1,8,8.06225774829855
34,315,414,1,9,9.055385138137417
35,316,421,1,7,7.0710678118654755
36,317,430,1,9,9.055385138137417
37,318,436,1,6,6.082762530298219
38,319,444,1,8,8.06225774829855
39,320,450,1,6,6.082762530298219
40,322,455,2,5,5.385164807134504
41,325,462,3,7,7.615773105863909
42,327,467,2,5,5.385164807134504
43,327,475,0,8,8.0
44,327,482,0,7,7.0
45,327,490,0,8,8.0
46,326,497,-1,7,7.0710678118654755
47,326,505,0,8,8.0
48,325,512,-1,7,7.0710678118654755
49,326,519,1,7,7.0710678118654755
50,327,526,1,7,7.0710678118654755
51,330,534,3,8,8.54400374531753
52,332,545,2,11,11.180339887498949
53,332,553,0,8,8.0
54,331,561,-1,8,8.06225774829855
55,331,568,0,7,7.0
56,332,575,1,7,7.0710678118654755
57,332,582,0,7,7.0
58,333,589,1,7,7.0710678118654755
59,337,597,4,8,8.94427190999916
60,338,606,1,9,9.055385138137417
61,337,615,-1,9,9.055385138137417
62,329,612,-8,-3,8.54400374531753
63,336,632,7,20,21.18962010041709
64,336,639,0,7,7.0
65,336,647,0,8,8.0
66,337,655,1,8,8.06225774829855
67,340,663,3,8,8.54400374531753
68,338,672,-2,9,9.219544457292887
69,336,681,-2,9,9.219544457292887
70,333,689,-3,8,8.54400374531753
71,331,697,-2,8,8.246211251235321
72,328,705,-3,8,8.54400374531753
73,325,710,-3,5,5.830951894845301
74,330,711,5,1,5.0990195135927845
75,317,724,-13,13,18.384776310850235
76,315,729,-2,5,5.385164807134504
77,313,734,-2,5,5.385164807134504
78,312,740,-1,6,6.082762530298219
79,311,743,-1,3,3.1622776601683795
80,305,744,-6,1,6.082762530298219
81,307,762,2,18,18.110770276274835
82,303,759,-4,-3,5.0
83,302,764,-0.4,5.0,5.015974481593781
