Frame,X,Y,dX,dY,Magnitude
0,303,160,-6,0,6.0
1,306,167,3,7,7.615773105863909
2,305,174,-1,7,7.0710678118654755
3,306,182,1,8,8.06225774829855
4,307,190,1,8,8.06225774829855
5,309,200,2,10,10.198039027185569
6,311,210,2,10,10.198039027185569
7,313,219,2,9,9.219544457292887
8,317,229,4,10,10.770329614269007
9,320,237,3,8,8.54400374531753
10,323,244,3,7,7.615773105863909
11,325,251,2,7,7.280109889280518
12,328,257,3,6,6.708203932499369
13,330,264,2,7,7.280109889280518
14,332,270,2,6,6.324555320336759
15,334,278,2,8,8.246211251235321
16,336,286,2,8,8.246211251235321
17,338,294,2,8,8.246211251235321
18,341,303,3,9,9.486832980505138
19,343,312,2,9,9.219544457292887
20,346,321,3,9,9.486832980505138
21,349,330,3,9,9.486832980505138
22,352,339,3,9,9.486832980505138
23,356,347,4,8,8.94427190999916
24,360,355,4,8,8.94427190999916
25,363,362,3,7,7.615773105863909
26,366,369,3,7,7.615773105863909
27,369,376,3,7,7.615773105863909
28,372,384,3,8,8.54400374531753
29,375,391,3,7,7.615773105863909
30,378,398,3,7,7.615773105863909
31,381,406,3,8,8.54400374531753
32,384,413,3,7,7.615773105863909
33,387,420,3,7,7.615773105863909
34,389,428,2,8,8.246211251235321
35,392,435,3,7,7.615773105863909
36,395,443,3,8,8.54400374531753
37,398,451,3,8,8.54400374531753
38,402,460,4,9,9.848857801796104
39,406,468,4,8,8.94427190999916
40,409,477,3,9,9.486832980505138
41,411,484,2,7,7.280109889280518
42,413,491,2,7,7.280109889280518
43,415,498,2,7,7.280109889280518
44,415,504,0,6,6.0
45,415,509,0,5,5.0
46,414,515,-1,6,6.082762530298219
47,414,521,0,6,6.0
48,415,529,1,8,8.06225774829855
49,415,536,0,7,7.0
50,415,544,0,8,8.0
51,415,553,0,9,9.0
52,415,561,0,8,8.0
53,414,569,-1,8,8.06225774829855
54,414,575,0,6,6.0
55,416,579,2,4,4.47213595499958
56,415,586,-1,7,7.0710678118654755
57,414,592,-1,6,6.082762530298219
58,412,599,-2,7,7.280109889280518
59,411,605,-1,6,6.082762530298219
60,409,612,-2,7,7.280109889280518
61,406,618,-3,6,6.708203932499369
62,405,626,-1,8,8.06225774829855
63,400,630,-5,4,6.4031242374328485
64,398,637,-2,7,7.280109889280518
65,397,647,-1,10,10.04987562112089
66,395,654,-2,7,7.280109889280518
67,392,661,-3,7,7.615773105863909
68,390,668,-2,7,7.280109889280518
69,388,676,-2,8,8.246211251235321
70,386,683,-2,7,7.280109889280518
71,385,690,-1,7,7.0710678118654755
72,383,696,-2,6,6.324555320336759
73,383,704,0,8,8.0
74,386,708,3,4,5.0
75,376,714,-10,6,11.661903789690601
76,376,718,0,4,4.0
77,378,723,2,5,5.385164807134504
78,377,731,-1,8,8.06225774829855
79,380,739,3,8,8.54400374531753
80,381,745,1,6,6.082762530298219
81,384,754,3,9,9.486832980505138
82,387,762,3,8,8.54400374531753
83,386,759,-1,-3,3.1622776601683795
84,386,764,0.36000000000000004,5.6,5.611559498036174
85,386,769,0.2544,5.12,5.1263163538743886
