Frame,X,Y,dX,dY,Magnitude
0,451,146,0,0,0.0
1,452,149,1,3,3.1622776601683795
2,452,152,0,3,3.0
3,453,154,1,2,2.23606797749979
4,453,156,0.1,2.0,2.0024984394500787
5,453,158,0.08400000000000002,2.0,2.0017632227613738
6,453,160,0.08736000000000001,2.4,2.40158942569291
7,453,162,0.050854400000000015,2.2800000000000002,2.2805670720238336
8,453,164,0.052888576000000014,2.136,2.1366546752976503
9,453,166,0.015004119040000003,2.1632,2.163252034227211
10,453,168,0.011604283801600002,2.19584,2.1958706621753814
11,453,170,0.008708455153664002,2.2350079999999997,2.235024965689458
12,453,172,0.005562393359810562,2.2020096000000002,2.2020166254395197
13,453,174,0.0037507130942029832,2.18641152,2.1864147371067153
14,453,176,0.001785198577971102,2.196493824,2.19649454945923
15,453,178,0.0012564417594899463,2.2031525887999996,2.2031529470697295
16,453,180,0.0008425280778055438,2.20461510656,2.2046152675526227
17,458,186,5,6,7.810249675906654
18,453,188,-5,2,5.385164807134504
19,452,190,-1,2,2.23606797749979
20,451,192,-1,2,2.23606797749979
21,451,194,0,2,2.0
22,451,196,0,2,2.0
23,451,199,0,3,3.0
24,451,201,0,2,2.0
25,451,204,0,3,3.0
26,452,207,1,3,3.1622776601683795
27,453,209,1,2,2.23606797749979
28,454,212,1,3,3.1622776601683795
29,457,214,3,2,3.605551275463989
30,457,216,0.24,2.6,2.611053427258814
31,457,218,0.24960000000000002,2.52,2.5323309736288424
32,457,220,0.219584,2.424,2.4339254575799973
33,457,222,0.18836736000000004,2.5088,2.51586162225059
34,457,224,0.15590205440000005,2.4105599999999994,2.41559619228176
35,457,226,0.042138136576000004,2.492672,2.4930281430698087
36,457,228,0.03422366203904,2.4712064000000002,2.471443369863919
37,457,230,0.0256086085206016,2.46144768,2.461580890852004
38,457,232,0.017849592861425668,2.4689372159999996,2.469001738459321
39,457,234,0.011028882175882696,2.4609646591999996,2.4609893721983886
40,457,236,0.005233955286917998,2.47104559104,2.471051134089736
41,457,238,0.003757788035354719,2.466720309248,2.4667231715430633
42,457,240,0.0025391530752073076,2.4658230910976,2.4658243984291466
43,454,245,-3,5,5.830951894845301
44,453,247,-1,2,2.23606797749979
45,451,249,-2,2,2.8284271247461903
46,451,251,0,2,2.0
47,451,253,0,2,2.0
48,450,256,-1,3,3.1622776601683795
49,451,258,1,2,2.23606797749979
50,451,261,0,3,3.0
51,451,264,0,3,3.0
52,453,266,2,2,2.8284271247461903
53,454,269,1,3,3.1622776601683795
54,454,271,0.16000000000000003,2.6,2.60491842482639
55,454,273,0.1264,2.7199999999999998,2.7229353572936685
56,453,275,-1,2,2.23606797749979
57,452,277,-1,2,2.23606797749979
58,455,279,3,2,3.605551275463989
59,452,283,-3,4,5.0
60,453,285,1,2,2.23606797749979
61,456,287,3,2,3.605551275463989
62,458,288,2,1,2.23606797749979
63,457,291,-1,3,3.1622776601683795
64,456,293,-1,2,2.23606797749979
65,455,295,-1,2,2.23606797749979
66,455,298,0,3,3.0
67,454,299,-1,1,1.4142135623730951
68,453,302,-1,3,3.1622776601683795
69,452,304,-1,2,2.23606797749979
70,451,305,-1,1,1.4142135623730951
71,450,307,-1,2,2.23606797749979
72,450,309,0,2,2.0
73,450,312,0,3,3.0
74,450,314,0,2,2.0
75,451,317,1,3,3.1622776601683795
76,451,320,0,3,3.0
77,452,323,1,3,3.1622776601683795
78,454,325,2,2,2.8284271247461903
79,455,327,1,2,2.23606797749979
80,456,329,1,2,2.23606797749979
81,456,331,0,2,2.0
82,457,332,1,1,1.4142135623730951
83,457,334,0,2,2.0
84,458,336,1,2,2.23606797749979
85,458,339,0,3,3.0
86,458,341,0,2,2.0
87,457,344,-1,3,3.1622776601683795
88,456,346,-1,2,2.23606797749979
89,456,349,0,3,3.0
90,455,352,-1,3,3.1622776601683795
91,454,353,-1,1,1.4142135623730951
92,452,356,-2,3,3.605551275463989
93,452,358,0,2,2.0
94,451,359,-1,1,1.4142135623730951
95,450,361,-1,2,2.23606797749979
96,450,363,0,2,2.0
97,450,365,0,2,2.0
98,450,368,0,3,3.0
99,450,370,0,2,2.0
100,450,373,0,3,3.0
101,451,376,1,3,3.1622776601683795
102,451,378,0,2,2.0
103,453,381,2,3,3.605551275463989
104,454,383,1,2,2.23606797749979
105,456,385,2,2,2.8284271247461903
106,456,386,0,1,1.0
107,457,388,1,2,2.23606797749979
108,457,390,0,2,2.0
109,457,392,0,2,2.0
110,458,394,1,2,2.23606797749979
111,457,397,-1,3,3.1622776601683795
112,457,399,0,2,2.0
113,457,402,0,3,3.0
114,456,405,-1,3,3.1622776601683795
115,455,407,-1,2,2.23606797749979
116,454,409,-1,2,2.23606797749979
117,453,411,-1,2,2.23606797749979
118,452,413,-1,2,2.23606797749979
119,451,415,-1,2,2.23606797749979
120,451,417,0,2,2.0
121,450,419,-1,2,2.23606797749979
122,449,421,-1,2,2.23606797749979
123,449,423,0,2,2.0
124,450,426,1,3,3.1622776601683795
125,450,428,0,2,2.0
126,451,431,1,3,3.1622776601683795
127,452,434,1,3,3.1622776601683795
128,454,436,2,2,2.8284271247461903
129,455,438,1,2,2.23606797749979
130,456,440,1,2,2.23606797749979
131,456,441,0,1,1.0
132,457,443,1,2,2.23606797749979
133,458,445,1,2,2.23606797749979
134,458,447,0,2,2.0
135,457,450,-1,3,3.1622776601683795
136,457,452,0,2,2.0
