Frame,X,Y,dX,dY,Magnitude
0,484,140,1,0,1.0
1,484,146,0,6,6.0
2,485,152,1,6,6.082762530298219
3,484,159,-1,7,7.0710678118654755
4,484,166,0,7,7.0
5,483,174,-1,8,8.06225774829855
6,482,182,-1,8,8.06225774829855
7,481,190,-1,8,8.06225774829855
8,480,198,-1,8,8.06225774829855
9,479,206,-1,8,8.06225774829855
10,479,213,0,7,7.0
11,478,222,-1,9,9.055385138137417
12,478,228,0,6,6.0
13,478,236,0,8,8.0
14,477,244,-1,8,8.06225774829855
15,478,252,1,8,8.06225774829855
16,479,261,1,9,9.055385138137417
17,480,270,1,9,9.055385138137417
18,481,278,1,8,8.06225774829855
19,483,287,2,9,9.219544457292887
20,484,295,1,8,8.06225774829855
21,485,304,1,9,9.055385138137417
22,486,311,1,7,7.0710678118654755
23,486,319,0,8,8.0
24,487,327,1,8,8.06225774829855
25,487,334,0,7,7.0
26,488,342,1,8,8.06225774829855
27,489,349,1,7,7.0710678118654755
28,491,359,2,10,10.198039027185569
29,490,366,-1,7,7.0710678118654755
30,490,373,0,7,7.0
31,491,381,1,8,8.06225774829855
32,491,390,0,9,9.0
33,490,398,-1,8,8.06225774829855
34,489,405,-1,7,7.0710678118654755
35,489,416,0,11,11.0
36,488,424,-1,8,8.06225774829855
37,487,433,-1,9,9.055385138137417
38,486,440,-1,7,7.0710678118654755
39,484,449,-2,9,9.219544457292887
40,483,456,-1,7,7.0710678118654755
41,481,463,-2,7,7.280109889280518
42,479,470,-2,7,7.280109889280518
43,478,477,-1,7,7.0710678118654755
44,476,485,-2,8,8.246211251235321
45,475,492,-1,7,7.0710678118654755
46,475,499,0,7,7.0
47,475,507,0,8,8.0
48,475,514,0,7,7.0
49,476,522,1,8,8.06225774829855
50,477,530,1,8,8.06225774829855
51,478,539,1,9,9.055385138137417
52,479,548,1,9,9.055385138137417
53,480,557,1,9,9.055385138137417
54,481,567,1,10,10.04987562112089
55,483,577,2,10,10.198039027185569
56,484,586,1,9,9.055385138137417
57,485,595,1,9,9.055385138137417
58,486,603,1,8,8.06225774829855
59,487,612,1,9,9.055385138137417
60,487,620,0,8,8.0
61,488,630,1,10,10.04987562112089
62,488,639,0,9,9.0
63,488,651,0,12,12.0
64,488,663,0,12,12.0
65,489,671,1,8,8.06225774829855
66,496,666,7,-5,8.602325267042627
67,496,673,0.32000000000000006,7.2,7.207107602915333
68,496,679,0.33280000000000004,6.840000000000001,6.848091401259187
69,496,684,0.34611200000000003,5.808,5.818303663143064
70,496,688,0.3599564800000001,4.569599999999999,4.583755319330863
71,496,691,0.33435473920000003,3.88352,3.8978866943544546
72,496,696,0.067728928768,5.660224,5.660629199830003
73,496,701,0.05763808591872002,5.352268799999999,5.3525791406014545
74,496,706,0.04663160935546881,5.054722559999999,5.054937651995722
75,496,710,0.03465239372968756,4.904067071999998,4.90418949828265
76,496,714,0.02164023027887506,4.9709604864,4.9710075897062005
77,496,719,0.009131649922030059,5.188448583679999,5.1884566195084725
78,496,724,0.00678775876819126,5.094093500415999,5.094098022677776
