Frame,X,Y,dX,dY,Magnitude
0,332,220,1,2,2.23606797749979
1,337,215,5,-5,7.0710678118654755
2,336,218,-1,3,3.1622776601683795
3,335,219,-1,1,1.4142135623730951
4,335,222,0.2,3,3.0066592756745814
5,335,225,0.16800000000000004,3,3.004700317835374
6,335,228,0.13472000000000003,3,3.003023389585902
7,331,225,-4,-3,5.0
8,333,234,2,9,9.219544457292887
9,335,242,2,8,8.246211251235321
10,337,251,2,9,9.219544457292887
11,339,259,2,8,8.246211251235321
12,342,268,3,9,9.486832980505138
13,346,277,4,9,9.848857801796104
14,349,285,3,8,8.54400374531753
15,352,294,3,9,9.486832980505138
16,355,301,3,7,7.615773105863909
17,357,306,2,5,5.385164807134504
18,359,312,2,6,6.324555320336759
19,361,318,2,6,6.324555320336759
20,363,324,2,6,6.324555320336759
21,365,330,2,6,6.324555320336759
22,367,337,2,7,7.280109889280518
23,368,344,1,7,7.0710678118654755
24,370,351,2,7,7.280109889280518
25,372,358,2,7,7.280109889280518
26,373,365,1,7,7.0710678118654755
27,375,372,2,7,7.280109889280518
28,377,379,2,7,7.280109889280518
29,378,386,1,7,7.0710678118654755
30,380,394,2,8,8.246211251235321
31,381,401,1,7,7.0710678118654755
32,381,409,0,8,8.0
33,382,416,1,7,7.0710678118654755
34,383,424,1,8,8.06225774829855
35,383,432,0,8,8.0
36,383,440,0,8,8.0
37,383,448,0,8,8.0
38,382,457,-1,9,9.055385138137417
39,382,465,0,8,8.0
40,382,474,0,9,9.0
41,382,483,0,9,9.0
42,382,493,0,10,10.0
43,382,502,0,9,9.0
44,383,511,1,9,9.055385138137417
45,385,521,2,10,10.198039027185569
46,387,529,2,8,8.246211251235321
47,390,537,3,8,8.54400374531753
48,393,545,3,8,8.54400374531753
49,396,552,3,7,7.615773105863909
50,399,559,3,7,7.615773105863909
51,402,566,3,7,7.615773105863909
52,405,573,3,7,7.615773105863909
53,408,580,3,7,7.615773105863909
54,411,587,3,7,7.615773105863909
55,413,595,2,8,8.246211251235321
56,416,603,3,8,8.54400374531753
57,419,611,3,8,8.54400374531753
58,422,619,3,8,8.54400374531753
59,425,626,3,7,7.615773105863909
60,427,633,2,7,7.280109889280518
61,429,640,2,7,7.280109889280518
62,431,648,2,8,8.246211251235321
63,432,655,1,7,7.0710678118654755
64,433,663,1,8,8.06225774829855
65,435,671,2,8,8.246211251235321
66,436,677,1,6,6.082762530298219
67,437,687,1,10,10.04987562112089
68,438,693,1,6,6.082762530298219
69,439,699,1,6,6.082762530298219
70,441,703,2,4,4.47213595499958
71,440,714,-1,11,11.045361017187261
72,443,721,3,7,7.615773105863909
73,443,721,0,0,0.0
74,447,734,4,13,13.601470508735444
75,450,741,3,7,7.615773105863909
76,453,749,3,8,8.54400374531753
77,456,755,3,6,6.708203932499369
78,460,763,4,8,8.94427190999916
79,463,771,3,8,8.54400374531753
80,466,776,3,5,5.830951894845301
81,468,782,2,6,6.324555320336759
