Frame,X,Y,dX,dY,Magnitude
0,599,135,0,0,0.0
1,599,138,0,3,3.0
2,599,142,0,4,4.0
3,599,145,0,3,3.0
4,599,149,0,4,4.0
5,599,152,0,3,3.0
6,599,155,0,3,3.0
7,599,159,0,4,4.0
8,599,162,0,3,3.0
9,599,165,0,3,3.0
10,600,168,1,3,3.1622776601683795
11,599,171,-1,3,3.1622776601683795
12,599,174,0,3,3.0
13,599,178,0,4,4.0
14,600,180,1,2,2.23606797749979
15,600,184,0,4,4.0
16,600,188,0,4,4.0
17,600,191,0,3,3.0
18,600,194,0,3,3.0
19,600,197,0,3,3.0
20,600,201,0,4,4.0
21,599,203,-1,2,2.23606797749979
22,599,207,0,4,4.0
23,599,210,0,3,3.0
24,599,214,0,4,4.0
25,599,217,0,3,3.0
26,599,220,0,3,3.0
27,599,224,0,4,4.0
28,599,227,0,3,3.0
29,599,231,0,4,4.0
30,599,234,0,3,3.0
31,600,237,1,3,3.1622776601683795
32,600,240,0,3,3.0
33,600,243,0,3,3.0
34,601,246,1,3,3.1622776601683795
35,601,250,0,4,4.0
36,601,253,0,3,3.0
37,602,256,1,3,3.1622776601683795
38,602,259,0,3,3.0
39,602,263,0,4,4.0
40,602,266,0,3,3.0
41,602,269,0,3,3.0
42,602,273,0,4,4.0
43,602,276,0,3,3.0
44,601,279,-1,3,3.1622776601683795
45,601,283,0,4,4.0
46,601,286,0,3,3.0
47,600,289,-1,3,3.1622776601683795
48,600,293,0,4,4.0
49,600,296,0,3,3.0
50,600,300,0,4,4.0
51,600,303,0,3,3.0
52,600,306,0,3,3.0
53,601,310,1,4,4.123105625617661
54,601,312,0,2,2.0
55,602,316,1,4,4.123105625617661
56,603,319,1,3,3.1622776601683795
57,603,322,0,3,3.0
58,604,325,1,3,3.1622776601683795
59,604,328,0,3,3.0
60,605,331,1,3,3.1622776601683795
61,605,335,0,4,4.0
62,605,338,0,3,3.0
63,606,341,1,3,3.1622776601683795
64,605,344,-1,3,3.1622776601683795
65,605,348,0,4,4.0
66,605,351,0,3,3.0
67,604,354,-1,3,3.1622776601683795
68,604,357,0,3,3.0
69,604,361,0,4,4.0
70,603,364,-1,3,3.1622776601683795
71,603,368,0,4,4.0
72,603,371,0,3,3.0
73,602,374,-1,3,3.1622776601683795
74,603,378,1,4,4.123105625617661
75,604,381,1,3,3.1622776601683795
76,604,384,0,3,3.0
77,605,387,1,3,3.1622776601683795
78,605,390,0,3,3.0
79,606,393,1,3,3.1622776601683795
80,607,397,1,4,4.123105625617661
81,607,399,0,2,2.0
82,608,403,1,4,4.123105625617661
83,609,406,1,3,3.1622776601683795
84,609,409,0,3,3.0
85,609,412,0,3,3.0
86,609,416,0,4,4.0
87,609,419,0,3,3.0
88,609,422,0,3,3.0
89,608,425,-1,3,3.1622776601683795
90,608,429,0,4,4.0
91,607,432,-1,3,3.1622776601683795
92,607,435,0,3,3.0
93,606,439,-1,4,4.123105625617661
94,606,442,0,3,3.0
95,606,446,0,4,4.0
96,606,449,0,3,3.0
97,607,452,1,3,3.1622776601683795
98,607,455,0,3,3.0
99,608,459,1,4,4.123105625617661
100,609,462,1,3,3.1622776601683795
101,609,465,0,3,3.0
102,611,467,2,2,2.8284271247461903
103,612,470,1,3,3.1622776601683795
104,612,474,0,4,4.0
105,613,477,1,3,3.1622776601683795
106,613,480,0,3,3.0
107,614,483,1,3,3.1622776601683795
108,614,487,0,4,4.0
109,614,490,0,3,3.0
110,614,493,0,3,3.0
111,613,496,-1,3,3.1622776601683795
112,614,500,1,4,4.123105625617661
113,613,503,-1,3,3.1622776601683795
114,612,506,-1,3,3.1622776601683795
115,611,509,-1,3,3.1622776601683795
116,610,513,-1,4,4.123105625617661
117,610,516,0,3,3.0
118,610,520,0,4,4.0
119,610,523,0,3,3.0
120,611,526,1,3,3.1622776601683795
121,612,530,1,4,4.123105625617661
122,612,533,0,3,3.0
123,614,536,2,3,3.605551275463989
124,614,539,0,3,3.0
125,616,542,2,3,3.605551275463989
126,617,545,1,3,3.1622776601683795
127,618,547,1,2,2.23606797749979
128,619,551,1,4,4.123105625617661
129,620,554,1,3,3.1622776601683795
130,620,557,0,3,3.0
131,621,560,1,3,3.1622776601683795
132,620,564,-1,4,4.123105625617661
133,619,567,-1,3,3.1622776601683795
134,619,570,0,3,3.0
135,619,574,0,4,4.0
136,618,577,-1,3,3.1622776601683795
137,617,580,-1,3,3.1622776601683795
138,616,583,-1,3,3.1622776601683795
139,615,587,-1,4,4.123105625617661
140,616,590,1,3,3.1622776601683795
141,615,594,-1,4,4.123105625617661
142,615,597,0,3,3.0
143,616,600,1,3,3.1622776601683795
144,617,603,1,3,3.1622776601683795
145,617,607,0,4,4.0
146,619,610,2,3,3.605551275463989
147,620,613,1,3,3.1622776601683795
148,621,615,1,2,2.23606797749979
149,623,618,2,3,3.605551275463989
150,623,622,0,4,4.0
151,625,625,2,3,3.605551275463989
152,625,628,0,3,3.0
153,626,631,1,3,3.1622776601683795
154,626,635,0,4,4.0
155,626,638,0,3,3.0
156,626,641,0,3,3.0
157,625,645,-1,4,4.123105625617661
158,624,648,-1,3,3.1622776601683795
159,623,651,-1,3,3.1622776601683795
160,622,654,-1,3,3.1622776601683795
161,622,657,0,3,3.0
162,621,661,-1,4,4.123105625617661
163,621,664,0,3,3.0
