Frame,X,Y,dX,dY,Magnitude
0,614,136,0,0,0.0
1,614,141,0,5,5.0
2,614,145,0,4,4.0
3,615,150,1,5,5.0990195135927845
4,616,154,1,4,4.123105625617661
5,616,158,0,4,4.0
6,617,163,1,5,5.0990195135927845
7,618,167,1,4,4.123105625617661
8,618,171,0,4,4.0
9,619,176,1,5,5.0990195135927845
10,620,180,1,4,4.123105625617661
11,620,184,0,4,4.0
12,620,188,0,4,4.0
13,621,193,1,5,5.0990195135927845
14,621,197,0,4,4.0
15,621,201,0,4,4.0
16,620,206,-1,5,5.0990195135927845
17,620,210,0,4,4.0
18,620,214,0,4,4.0
19,619,219,-1,5,5.0990195135927845
20,619,223,0,4,4.0
21,619,228,0,5,5.0
22,618,232,-1,4,4.123105625617661
23,617,237,-1,5,5.0990195135927845
24,617,241,0,4,4.0
25,616,245,-1,4,4.123105625617661
26,616,250,0,5,5.0
27,616,254,0,4,4.0
28,616,258,0,4,4.0
29,617,263,1,5,5.0990195135927845
30,617,267,0,4,4.0
31,617,271,0,4,4.0
32,618,276,1,5,5.0990195135927845
33,619,280,1,4,4.123105625617661
34,619,284,0,4,4.0
35,620,289,1,5,5.0990195135927845
36,620,293,0,4,4.0
37,621,297,1,4,4.123105625617661
38,622,302,1,5,5.0990195135927845
39,622,306,0,4,4.0
40,623,310,1,4,4.123105625617661
41,623,315,0,5,5.0
42,624,319,1,4,4.123105625617661
43,624,323,0,4,4.0
44,624,328,0,5,5.0
45,624,332,0,4,4.0
46,623,337,-1,5,5.0990195135927845
47,623,341,0,4,4.0
48,622,346,-1,5,5.0990195135927845
49,621,350,-1,4,4.123105625617661
50,621,355,0,5,5.0
51,620,359,-1,4,4.123105625617661
52,620,364,0,5,5.0
53,619,368,-1,4,4.123105625617661
54,619,372,0,4,4.0
55,619,377,0,5,5.0
56,619,381,0,4,4.0
57,620,386,1,5,5.0990195135927845
58,620,390,0,4,4.0
59,621,394,1,4,4.123105625617661
60,621,399,0,5,5.0
61,622,403,1,4,4.123105625617661
62,623,407,1,4,4.123105625617661
63,624,412,1,5,5.0990195135927845
64,625,416,1,4,4.123105625617661
65,626,421,1,5,5.0990195135927845
66,627,425,1,4,4.123105625617661
67,627,429,0,4,4.0
68,628,434,1,5,5.0990195135927845
69,628,438,0,4,4.0
70,628,442,0,4,4.0
71,628,447,0,5,5.0
72,628,451,0,4,4.0
73,627,456,-1,5,5.0990195135927845
74,626,460,-1,4,4.123105625617661
75,626,465,0,5,5.0
76,625,469,-1,4,4.123105625617661
77,624,473,-1,4,4.123105625617661
78,624,477,0,4,4.0
79,623,482,-1,5,5.0990195135927845
80,622,486,-1,4,4.123105625617661
81,622,490,0,4,4.0
82,621,494,-1,4,4.123105625617661
83,621,499,0,5,5.0
84,622,503,1,4,4.123105625617661
85,622,507,0,4,4.0
86,622,512,0,5,5.0
87,623,516,1,4,4.123105625617661
88,624,520,1,4,4.123105625617661
89,625,525,1,5,5.0990195135927845
90,626,529,1,4,4.123105625617661
91,627,533,1,4,4.123105625617661
92,629,537,2,4,4.47213595499958
93,630,542,1,5,5.0990195135927845
94,631,546,1,4,4.123105625617661
95,632,550,1,4,4.123105625617661
96,632,554,0,4,4.0
97,632,559,0,5,5.0
98,633,563,1,4,4.123105625617661
99,633,567,0,4,4.0
100,633,572,0,5,5.0
101,632,576,-1,4,4.123105625617661
102,632,581,0,5,5.0
103,631,585,-1,4,4.123105625617661
104,630,589,-1,4,4.123105625617661
105,629,594,-1,5,5.0990195135927845
106,628,598,-1,4,4.123105625617661
107,627,602,-1,4,4.123105625617661
108,627,606,0,4,4.0
109,626,611,-1,5,5.0990195135927845
110,625,615,-1,4,4.123105625617661
111,625,619,0,4,4.0
112,625,623,0,4,4.0
113,625,628,0,5,5.0
114,625,632,0,4,4.0
115,626,636,1,4,4.123105625617661
116,627,641,1,5,5.0990195135927845
117,627,645,0,4,4.0
118,629,649,2,4,4.47213595499958
119,630,654,1,5,5.0990195135927845
120,631,658,1,4,4.123105625617661
121,632,662,1,4,4.123105625617661
122,633,667,1,5,5.0990195135927845
123,634,671,1,4,4.123105625617661
124,635,676,1,5,5.0990195135927845
125,636,680,1,4,4.123105625617661
126,636,684,0,4,4.0
127,636,689,0,5,5.0
128,636,693,0,4,4.0
129,635,698,-1,5,5.0990195135927845
130,634,702,-1,4,4.123105625617661
131,634,707,0,5,5.0
132,633,711,-1,4,4.123105625617661
133,632,715,-1,4,4.123105625617661
134,631,720,-1,5,5.0990195135927845
135,630,724,-1,4,4.123105625617661
136,630,728,0,4,4.0
137,629,733,-1,5,5.0990195135927845
138,628,737,-1,4,4.123105625617661
139,628,741,0,4,4.0
140,629,746,1,5,5.0990195135927845
141,629,750,0,4,4.0
142,630,754,1,4,4.123105625617661
143,633,756,3,2,3.605551275463989
144,628,766,-5,10,11.180339887498949
145,631,768,3,2,3.605551275463989
146,633,772,2,4,4.47213595499958
147,635,777,2,5,5.385164807134504
148,636,781,1,4,4.123105625617661
149,637,785,1,4,4.123105625617661
150,638,790,1,5,5.0990195135927845
151,639,794,1,4,4.123105625617661
152,640,798,1,4,4.123105625617661
153,641,802,1,4,4.123105625617661
154,640,806,-1,4,4.123105625617661
155,639,812,-1,6,6.082762530298219
156,639,815,0,3,3.0
157,639,820,0,5,5.0
158,639,824,0,4,4.0
159,637,828,-2,4,4.47213595499958
160,636,833,-1,5,5.0990195135927845
161,635,837,-1,4,4.123105625617661
