Frame,X,Y,dX,dY,Magnitude
0,461,151,2,0,2.0
1,460,154,-1,3,3.1622776601683795
2,460,158,0,4,4.0
3,458,159,-2,1,2.23606797749979
4,460,162,2,3,3.605551275463989
5,460,164,0,2,2.0
6,460,166,0,2,2.0
7,460,169,0,3,3.0
8,459,171,-1,2,2.23606797749979
9,459,173,0.04000000000000001,2.4,2.4003333101883997
10,458,177,-1,4,4.123105625617661
11,459,178,1,1,1.4142135623730951
12,458,182,-1,4,4.123105625617661
13,458,184,0,2,2.0
14,458,187,0,3,3.0
15,458,189,0,2,2.0
16,459,191,1,2,2.23606797749979
17,457,194,-2,3,3.605551275463989
18,459,197,2,3,3.605551275463989
19,458,199,-1,2,2.23606797749979
20,459,201,1,2,2.23606797749979
21,459,203,0,2,2.0
22,459,206,0,3,3.0
23,457,207,-2,1,2.23606797749979
24,456,211,-1,4,4.123105625617661
25,457,214,1,3,3.1622776601683795
26,457,215,0,1,1.0
27,458,218,1,3,3.1622776601683795
28,457,219,-1,1,1.4142135623730951
29,457,222,0,3,3.0
30,456,225,-1,3,3.1622776601683795
31,455,229,-1,4,4.123105625617661
32,455,231,0,2,2.0
33,455,233,0,2,2.0
34,455,236,0,3,3.0
35,456,238,1,2,2.23606797749979
36,455,241,-1,3,3.1622776601683795
37,456,243,1,2,2.23606797749979
38,456,246,0,3,3.0
39,455,249,-1,3,3.1622776601683795
40,455,252,0,3,3.0
41,454,253,-1,1,1.4142135623730951
42,455,255,1,2,2.23606797749979
43,455,257,0,2,2.0
44,455,259,0,2,2.0
45,454,262,-1,3,3.1622776601683795
46,453,265,-1,3,3.1622776601683795
47,453,267,0,2,2.0
48,453,269,0,2,2.0
49,453,271,0,2,2.0
50,453,274,0,3,3.0
51,453,276,0,2,2.0
52,452,280,-1,4,4.123105625617661
53,451,283,-1,3,3.1622776601683795
54,452,286,1,3,3.1622776601683795
55,452,288,0,2,2.0
56,451,291,-1,3,3.1622776601683795
57,453,293,2,2,2.8284271247461903
58,453,295,0,2,2.0
59,453,298,0,3,3.0
60,453,300,0,2,2.0
61,452,303,-1,3,3.1622776601683795
62,451,306,-1,3,3.1622776601683795
63,452,308,1,2,2.23606797749979
64,452,309,0,1,1.0
65,453,311,1,2,2.23606797749979
66,452,314,-1,3,3.1622776601683795
67,451,316,-1,2,2.23606797749979
68,451,318,0,2,2.0
69,451,321,0,3,3.0
70,451,323,0,2,2.0
71,451,326,0,3,3.0
72,450,328,-1,2,2.23606797749979
73,450,331,0,3,3.0
74,450,334,0,3,3.0
75,449,337,-1,3,3.1622776601683795
76,448,340,-1,3,3.1622776601683795
77,449,342,1,2,2.23606797749979
78,450,345,1,3,3.1622776601683795
79,450,347,0,2,2.0
80,449,350,-1,3,3.1622776601683795
81,450,352,1,2,2.23606797749979
82,450,355,0,3,3.0
83,449,357,-1,2,2.23606797749979
84,449,360,0,3,3.0
85,449,362,0,2,2.0
86,449,364,0,2,2.0
87,450,366,1,2,2.23606797749979
88,448,368,-2,2,2.8284271247461903
89,448,370,0,2,2.0
90,447,372,-1,2,2.23606797749979
91,447,375,0,3,3.0
92,447,377,0,2,2.0
93,447,380,0,3,3.0
94,447,383,0,3,3.0
95,447,385,0,2,2.0
96,447,388,0,3,3.0
97,446,391,-1,3,3.1622776601683795
98,446,394,0,3,3.0
99,445,396,-1,2,2.23606797749979
100,446,398,1,2,2.23606797749979
101,446,400,0,2,2.0
102,446,403,0,3,3.0
103,446,406,0,3,3.0
104,446,408,0,2,2.0
105,446,411,0,3,3.0
106,446,413,0,2,2.0
107,446,416,0,3,3.0
108,446,418,0,2,2.0
