Frame,X,Y,dX,dY,Magnitude
0,481,148,4,3,5.0
1,480,151,-1,3,3.1622776601683795
2,481,155,1,4,4.123105625617661
3,481,159,0,4,4.0
4,477,159,-4,0,4.0
5,477,161,0.0,2.8,2.8
6,484,167,7,6,9.219544457292887
7,484,171,0,4,4.0
8,486,173,2,2,2.8284271247461903
9,487,176,1,3,3.1622776601683795
10,487,178,0,2,2.0
11,486,182,-1,4,4.123105625617661
12,486,185,0.08000000000000002,3.0,3.001066477104431
13,486,187,0.08320000000000001,2.8,2.8012358415527956
14,480,191,-6,4,7.211102550927978
15,481,194,1,3,3.1622776601683795
16,480,196,-1,2,2.23606797749979
17,481,199,1,3,3.1622776601683795
18,480,202,-1,3,3.1622776601683795
19,479,205,-1,3,3.1622776601683795
20,479,208,0,3,3.0
21,479,212,0,4,4.0
22,477,214,-2,2,2.8284271247461903
23,478,218,1,4,4.123105625617661
24,481,221,3,3,4.242640687119285
25,481,225,0,4,4.0
26,484,227,3,2,3.605551275463989
27,483,231,-1,4,4.123105625617661
28,483,235,0,4,4.0
29,483,238,0,3,3.0
30,482,241,-1,3,3.1622776601683795
31,482,242,0,1,1.0
32,480,244,-2,2,2.8284271247461903
33,481,247,1,3,3.1622776601683795
34,480,250,-1,3,3.1622776601683795
35,477,251,-3,1,3.1622776601683795
36,477,252,0,1,1.0
37,480,259,3,7,7.615773105863909
38,486,265,6,6,8.48528137423857
39,478,264,-8,-1,8.06225774829855
40,479,268,1,4,4.123105625617661
41,482,271,3,3,4.242640687119285
42,481,275,-1,4,4.123105625617661
43,483,277,2,2,2.8284271247461903
44,484,281,1,4,4.123105625617661
45,486,282,2,1,2.23606797749979
46,485,286,-1,4,4.123105625617661
47,485,290,0,4,4.0
48,485,293,0,3,3.0
49,484,296,-1,3,3.1622776601683795
50,482,298,-2,2,2.8284271247461903
51,478,300,-4,2,4.47213595499958
52,477,302,-1,2,2.23606797749979
53,482,307,5,5,7.0710678118654755
54,477,307,-5,0,5.0
55,477,310,0,3,3.0
56,481,316,4,6,7.211102550927978
57,481,320,0,4,4.0
58,479,322,-2,2,2.8284271247461903
59,481,325,2,3,3.605551275463989
60,480,328,-1,3,3.1622776601683795
61,484,331,4,3,5.0
62,484,334,0,3,3.0
63,485,337,1,3,3.1622776601683795
64,485,340,0,3,3.0
65,485,343,0,3,3.0
66,484,346,-1,3,3.1622776601683795
67,484,349,0,3,3.0
68,482,351,-2,2,2.8284271247461903
69,478,352,-4,1,4.123105625617661
70,480,356,2,4,4.47213595499958
71,480,358,0,2,2.0
72,480,362,0,4,4.0
73,480,366,0,4,4.0
74,479,368,-1,2,2.23606797749979
75,480,372,1,4,4.123105625617661
76,480,374,0,2,2.0
77,479,378,-1,4,4.123105625617661
78,482,381,3,3,4.242640687119285
79,483,384,1,3,3.1622776601683795
80,484,386,1,2,2.23606797749979
81,485,389,1,3,3.1622776601683795
82,485,393,0,4,4.0
83,485,396,0,3,3.0
84,484,399,-1,3,3.1622776601683795
85,484,402,0,3,3.0
86,482,405,-2,3,3.605551275463989
87,480,407,-2,2,2.8284271247461903
88,481,410,1,3,3.1622776601683795
89,481,413,0,3,3.0
90,479,416,-2,3,3.605551275463989
91,479,419,0,3,3.0
92,479,422,0,3,3.0
93,480,426,1,4,4.123105625617661
94,480,429,0,3,3.0
95,479,432,-0.04000000000000001,3.2,3.2002499902351382
96,482,434,3,2,3.605551275463989
97,483,436,1,2,2.23606797749979
98,483,438,0,2,2.0
99,484,441,1,3,3.1622776601683795
100,484,445,0,4,4.0
101,483,448,-1,3,3.1622776601683795
102,482,451,-1,3,3.1622776601683795
103,482,455,0,4,4.0
104,480,457,-2,2,2.8284271247461903
105,479,459,-1,2,2.23606797749979
106,480,462,1,3,3.1622776601683795
107,480,466,0,4,4.0
108,478,469,-2,3,3.605551275463989
109,478,471,0,2,2.0
110,478,475,0,4,4.0
111,479,478,1,3,3.1622776601683795
112,480,481,1,3,3.1622776601683795
113,477,484,-3,3,4.242640687119285
114,479,487,2,3,3.605551275463989
115,481,488,2,1,2.23606797749979
116,482,491,1,3,3.1622776601683795
117,481,495,-1,4,4.123105625617661
118,480,497,-1,2,2.23606797749979
119,481,501,1,4,4.123105625617661
120,482,504,1,3,3.1622776601683795
121,480,507,-2,3,3.605551275463989
122,478,510,-2,3,3.605551275463989
123,480,512,2,2,2.8284271247461903
124,480,515,0,3,3.0
125,479,519,-1,4,4.123105625617661
126,479,523,0,4,4.0
127,476,526,-3,3,4.242640687119285
128,480,528,4,2,4.47213595499958
129,478,532,-2,4,4.47213595499958
130,479,534,1,2,2.23606797749979
131,478,537,-1,3,3.1622776601683795
132,479,540,1,3,3.1622776601683795
133,479,542,0,2,2.0
134,480,545,1,3,3.1622776601683795
135,480,547,0,2,2.0
136,478,550,-2,3,3.605551275463989
137,478,553,0,3,3.0
138,480,557,2,4,4.47213595499958
139,479,560,-1,3,3.1622776601683795
140,477,562,-2,2,2.8284271247461903
141,479,565,2,3,3.605551275463989
142,479,568,0,3,3.0
143,478,570,-1,2,2.23606797749979
144,479,573,1,3,3.1622776601683795
145,476,576,-3,3,4.242640687119285
146,476,580,0,4,4.0
147,477,584,1,4,4.123105625617661
148,478,587,1,3,3.1622776601683795
149,477,589,-1,2,2.23606797749979
150,478,592,1,3,3.1622776601683795
151,478,594,0,2,2.0
152,479,597,1,3,3.1622776601683795
153,477,598,-2,1,2.23606797749979
154,477,601,0,3,3.0
155,476,605,-1,4,4.123105625617661
156,478,610,2,5,5.385164807134504
157,477,613,-1,3,3.1622776601683795
158,477,616,0,3,3.0
159,478,618,1,2,2.23606797749979
160,476,620,-2,2,2.8284271247461903
161,474,623,-2,3,3.605551275463989
162,476,624,2,1,2.23606797749979
163,476,627,0,3,3.0
164,475,631,-1,4,4.123105625617661
165,477,636,2,5,5.385164807134504
166,477,640,0,4,4.0
167,474,643,-3,3,4.242640687119285
168,475,645,1,2,2.23606797749979
169,475,647,0,2,2.0
170,475,649,0,2,2.0
171,476,651,1,2,2.23606797749979
172,476,654,0,3,3.0
173,476,658,0,4,4.0
174,476,662,0,4,4.0
175,475,665,-1,3,3.1622776601683795
176,472,669,-3,4,5.0
177,477,671,5,2,5.385164807134504
178,476,673,-1,2,2.23606797749979
179,475,674,-1,1,1.4142135623730951
180,475,677,0,3,3.0
181,475,680,0,3,3.0
182,475,684,0,4,4.0
183,475,689,0,5,5.0
184,476,692,1,3,3.1622776601683795
185,473,695,-3,3,4.242640687119285
186,474,697,1,2,2.23606797749979
187,474,700,0,3,3.0
188,474,702,0,2,2.0
189,474,704,0,2,2.0
190,471,707,-3,3,4.242640687119285
191,474,711,3,4,5.0
192,475,715,1,4,4.123105625617661
193,474,719,-1,4,4.123105625617661
194,475,722,1,3,3.1622776601683795
195,477,724,2,2,2.8284271247461903
196,479,727,2,3,3.605551275463989
197,480,731,1,4,4.123105625617661
198,479,735,-1,4,4.123105625617661
199,480,737,1,2,2.23606797749979
200,482,739,2,2,2.8284271247461903
201,483,742,1,3,3.1622776601683795
202,483,745,0.16000000000000003,3.0,3.004263636900064
203,477,750,-6,5,7.810249675906654
204,476,753,-0.0736,3.0,3.0009026908582026
205,474,754,-2,1,2.23606797749979
206,473,757,-1,3,3.1622776601683795
207,472,759,-1,2,2.23606797749979
208,472,762,0,3,3.0
209,471,765,-1,3,3.1622776601683795
210,469,767,-2,2,2.8284271247461903
211,476,773,7,6,9.219544457292887
212,476,776,0.12,3.2,3.20224920954007
213,473,777,-3,1,3.1622776601683795
214,481,778,8,1,8.06225774829855
215,479,781,-2,3,3.605551275463989
216,481,784,2,3,3.605551275463989
217,482,787,1,3,3.1622776601683795
218,481,790,-1,3,3.1622776601683795
