Frame,X,Y,dX,dY,Magnitude
0,832,87,-1,0,1.0
1,831,91,-1,4,4.123105625617661
2,831,96,0,5,5.0
3,833,104,2,8,8.246211251235321
4,834,111,1,7,7.0710678118654755
5,835,120,1,9,9.055385138137417
6,835,128,0,8,8.0
7,837,137,2,9,9.219544457292887
8,837,145,0,8,8.0
9,838,154,1,9,9.055385138137417
10,839,162,1,8,8.06225774829855
11,840,169,1,7,7.0710678118654755
12,841,178,1,9,9.055385138137417
13,842,187,1,9,9.055385138137417
14,842,195,0,8,8.0
15,843,204,1,9,9.055385138137417
16,844,212,1,8,8.06225774829855
17,844,221,0,9,9.0
18,845,228,1,7,7.0710678118654755
19,846,235,1,7,7.0710678118654755
20,846,242,0,7,7.0
21,846,249,0,7,7.0
22,846,256,0,7,7.0
23,845,263,-1,7,7.0710678118654755
24,845,270,0,7,7.0
25,844,278,-1,8,8.06225774829855
26,844,285,0,7,7.0
27,844,293,0,8,8.0
28,843,302,-1,9,9.055385138137417
29,843,309,0,7,7.0
30,843,316,0,7,7.0
31,842,323,-1,7,7.0710678118654755
32,841,330,-1,7,7.0710678118654755
33,840,336,-1,6,6.082762530298219
34,839,342,-1,6,6.082762530298219
35,837,349,-2,7,7.280109889280518
36,836,356,-1,7,7.0710678118654755
37,834,362,-2,6,6.324555320336759
38,832,370,-2,8,8.246211251235321
39,831,377,-1,7,7.0710678118654755
40,829,385,-2,8,8.246211251235321
41,828,392,-1,7,7.0710678118654755
42,826,400,-2,8,8.246211251235321
43,826,407,0,7,7.0
44,825,415,-1,8,8.06225774829855
45,824,423,-1,8,8.06225774829855
46,824,430,0,7,7.0
47,824,438,0,8,8.0
48,824,446,0,8,8.0
49,824,454,0,8,8.0
50,824,463,0,9,9.0
51,824,471,0,8,8.0
52,824,480,0,9,9.0
53,824,489,0,9,9.0
54,824,496,0,7,7.0
55,825,503,1,7,7.0710678118654755
56,826,509,1,6,6.082762530298219
57,827,515,1,6,6.082762530298219
58,828,522,1,7,7.0710678118654755
59,828,529,0,7,7.0
60,829,536,1,7,7.0710678118654755
61,830,543,1,7,7.0710678118654755
62,830,550,0,7,7.0
63,831,556,1,6,6.082762530298219
64,830,563,-1,7,7.0710678118654755
65,830,570,0,7,7.0
66,830,577,0,7,7.0
67,830,584,0,7,7.0
68,830,591,0,7,7.0
69,830,598,0,7,7.0
70,830,605,0,7,7.0
71,830,612,0,7,7.0
72,831,618,1,6,6.082762530298219
73,830,625,-1,7,7.0710678118654755
74,830,632,0,7,7.0
75,830,639,0,7,7.0
76,830,646,0,7,7.0
77,829,653,-1,7,7.0710678118654755
78,828,661,-1,8,8.06225774829855
79,828,669,0,8,8.0
80,827,677,-1,8,8.06225774829855
81,826,686,-1,9,9.055385138137417
82,826,694,0,8,8.0
83,825,702,-1,8,8.06225774829855
84,826,710,1,8,8.06225774829855
85,826,717,0,7,7.0
86,827,724,1,7,7.0710678118654755
87,828,730,1,6,6.082762530298219
88,828,737,0.08000000000000002,7.2,7.20044443072787
89,840,740,12,3,12.36931687685298
90,840,746,0,6,6.0
91,841,752,1,6,6.082762530298219
92,841,761,0,9,9.0
93,843,767,2,6,6.324555320336759
94,846,769,3,2,3.605551275463989
95,848,784,2,15,15.132745950421556
96,852,785,4,1,4.123105625617661
97,851,794,-1,9,9.055385138137417
98,851,803,0,9,9.0
