Frame,X,Y,dX,dY,Magnitude
0,693,108,-2,0,2.0
1,693,111,0,3,3.0
2,694,114,1,3,3.1622776601683795
3,694,117,0,3,3.0
4,694,120,0,3,3.0
5,694,123,0,3,3.0
6,695,125,1,2,2.23606797749979
7,695,128,0,3,3.0
8,696,131,1,3,3.1622776601683795
9,696,134,0,3,3.0
10,696,137,0,3,3.0
11,695,140,-1,3,3.1622776601683795
12,696,143,1,3,3.1622776601683795
13,696,146,0,3,3.0
14,697,149,1,3,3.1622776601683795
15,696,152,-1,3,3.1622776601683795
16,697,155,1,3,3.1622776601683795
17,696,158,-1,3,3.1622776601683795
18,696,161,0,3,3.0
19,697,164,1,3,3.1622776601683795
20,697,167,0,3,3.0
21,696,170,-1,3,3.1622776601683795
22,696,173,0,3,3.0
23,697,177,1,4,4.123105625617661
24,697,180,0,3,3.0
25,697,183,0,3,3.0
26,696,186,-1,3,3.1622776601683795
27,696,189,0,3,3.0
28,696,192,0,3,3.0
29,696,195,0,3,3.0
30,697,198,1,3,3.1622776601683795
31,697,201,0,3,3.0
32,697,204,0,3,3.0
33,697,207,0,3,3.0
34,697,210,0,3,3.0
35,698,213,1,3,3.1622776601683795
36,698,216,0,3,3.0
37,698,219,0,3,3.0
38,698,222,0,3,3.0
39,698,225,0,3,3.0
40,698,228,0,3,3.0
41,698,232,0,4,4.0
42,698,234,0,2,2.0
43,698,237,0,3,3.0
44,698,241,0,4,4.0
45,698,244,0,3,3.0
46,698,247,0,3,3.0
47,698,250,0,3,3.0
48,697,253,-1,3,3.1622776601683795
49,698,256,1,3,3.1622776601683795
50,698,259,0,3,3.0
51,698,262,0,3,3.0
52,698,265,0,3,3.0
53,699,268,1,3,3.1622776601683795
54,699,271,0,3,3.0
55,698,274,-1,3,3.1622776601683795
56,698,278,0,4,4.0
57,698,281,0,3,3.0
58,699,284,1,3,3.1622776601683795
59,698,287,-1,3,3.1622776601683795
60,699,290,1,3,3.1622776601683795
61,699,293,0,3,3.0
62,699,296,0,3,3.0
63,700,299,1,3,3.1622776601683795
64,700,301,0,2,2.0
65,700,304,0,3,3.0
66,701,307,1,3,3.1622776601683795
67,701,310,0,3,3.0
68,701,314,0,4,4.0
69,701,316,0,2,2.0
70,701,319,0,3,3.0
71,701,322,0,3,3.0
72,701,325,0,3,3.0
73,701,329,0,4,4.0
74,701,331,0,2,2.0
75,701,335,0,4,4.0
76,702,338,1,3,3.1622776601683795
77,699,340,-3,2,3.605551275463989
78,701,344,2,4,4.47213595499958
79,699,346,-2,2,2.8284271247461903
80,702,349,3,3,4.242640687119285
81,701,352,-1,3,3.1622776601683795
82,702,356,1,4,4.123105625617661
83,701,358,-1,2,2.23606797749979
84,701,361,0,3,3.0
85,702,364,1,3,3.1622776601683795
86,701,367,-1,3,3.1622776601683795
87,701,370,0,3,3.0
88,701,373,0,3,3.0
89,702,376,1,3,3.1622776601683795
90,703,379,1,3,3.1622776601683795
91,703,382,0,3,3.0
92,703,385,0,3,3.0
93,703,388,0,3,3.0
94,704,391,1,3,3.1622776601683795
95,704,394,0,3,3.0
96,704,397,0,3,3.0
97,704,400,0,3,3.0
98,704,402,0,2,2.0
99,704,405,0,3,3.0
100,705,409,1,4,4.123105625617661
101,704,411,-1,2,2.23606797749979
102,704,414,0,3,3.0
103,704,418,0,4,4.0
104,704,421,0,3,3.0
