Frame,X,Y,dX,dY,Magnitude
0,856,154,-1,1,1.4142135623730951
1,855,155,-1,1,1.4142135623730951
2,854,151,-1,-4,4.123105625617661
3,854,155,0,4,4.0
4,853,158,-0.15000000000000002,3,3.003747659175118
5,851,157,-2,-1,2.23606797749979
6,850,160,-0.16600000000000004,3,3.0045891566069396
7,849,163,-0.13264,3,3.0029307966718113
8,860,161,11,-2,11.180339887498949
9,859,169,-1,8,8.06225774829855
10,857,178,-2,9,9.219544457292887
11,856,186,-1,8,8.06225774829855
12,854,196,-2,10,10.198039027185569
13,852,206,-2,10,10.198039027185569
14,848,217,-4,11,11.704699910719626
15,845,227,-3,10,10.44030650891055
16,843,237,-2,10,10.198039027185569
17,842,246,-1,9,9.055385138137417
18,842,254,0,8,8.0
19,842,261,0,7,7.0
20,843,267,1,6,6.082762530298219
21,844,274,1,7,7.0710678118654755
22,845,281,1,7,7.0710678118654755
23,846,287,1,6,6.082762530298219
24,846,294,0,7,7.0
25,846,302,0,8,8.0
26,847,310,1,8,8.06225774829855
27,847,317,0,7,7.0
28,845,326,-2,9,9.219544457292887
29,844,335,-1,9,9.055385138137417
30,844,343,0,8,8.0
31,844,351,0,8,8.0
32,844,359,0,8,8.0
33,845,366,1,7,7.0710678118654755
34,846,373,1,7,7.0710678118654755
35,847,381,1,8,8.06225774829855
36,848,388,1,7,7.0710678118654755
37,849,395,1,7,7.0710678118654755
38,850,402,1,7,7.0710678118654755
39,852,409,2,7,7.280109889280518
40,853,416,1,7,7.0710678118654755
41,854,423,1,7,7.0710678118654755
42,855,431,1,8,8.06225774829855
43,856,437,1,6,6.082762530298219
44,855,445,-1,8,8.06225774829855
45,854,453,-1,8,8.06225774829855
46,853,461,-1,8,8.06225774829855
47,853,471,0,10,10.0
48,852,480,-1,9,9.055385138137417
49,851,489,-1,9,9.055385138137417
50,850,499,-1,10,10.04987562112089
51,849,509,-1,10,10.04987562112089
52,848,518,-1,9,9.055385138137417
53,846,527,-2,9,9.219544457292887
54,845,535,-1,8,8.06225774829855
55,844,544,-1,9,9.055385138137417
56,842,553,-2,9,9.219544457292887
57,840,561,-2,8,8.246211251235321
58,839,570,-1,9,9.055385138137417
59,837,579,-2,9,9.219544457292887
60,835,589,-2,10,10.198039027185569
61,834,598,-1,9,9.055385138137417
62,832,608,-2,10,10.198039027185569
63,829,619,-3,11,11.40175425099138
64,828,627,-1,8,8.06225774829855
65,827,637,-1,10,10.04987562112089
66,826,644,-1,7,7.0710678118654755
67,826,651,0,7,7.0
68,826,659,0,8,8.0
69,826,666,0,7,7.0
70,826,674,0,8,8.0
71,827,681,1,7,7.0710678118654755
72,827,689,0,8,8.0
73,828,697,1,8,8.06225774829855
74,828,705,0,8,8.0
75,829,714,1,9,9.055385138137417
76,830,722,1,8,8.06225774829855
77,829,729,-1,7,7.0710678118654755
78,839,734,10,5,11.180339887498949
79,836,744,-3,10,10.44030650891055
80,833,749,-3,5,5.830951894845301
81,832,762,-1,13,13.038404810405298
82,831,765,-1,3,3.1622776601683795
83,830,772,-1,7,7.0710678118654755
84,832,784,2,12,12.165525060596439
85,831,789,-1,5,5.0990195135927845
