Frame,X,Y,dX,dY,Magnitude
0,753,98,0,0,0.0
1,754,108,1,10,10.04987562112089
2,756,116,2,8,8.246211251235321
3,759,123,3,7,7.615773105863909
4,760,132,1,9,9.055385138137417
5,763,139,3,7,7.615773105863909
6,764,145,1,6,6.082762530298219
7,767,151,3,6,6.708203932499369
8,769,158,2,7,7.280109889280518
9,771,165,2,7,7.280109889280518
10,772,171,1,6,6.082762530298219
11,774,177,2,6,6.324555320336759
12,776,183,2,6,6.324555320336759
13,777,190,1,7,7.0710678118654755
14,778,197,1,7,7.0710678118654755
15,779,203,1,6,6.082762530298219
16,780,210,1,7,7.0710678118654755
17,781,216,1,6,6.082762530298219
18,781,223,0,7,7.0
19,782,230,1,7,7.0710678118654755
20,782,237,0,7,7.0
21,783,244,1,7,7.0710678118654755
22,784,251,1,7,7.0710678118654755
23,785,258,1,7,7.0710678118654755
24,786,265,1,7,7.0710678118654755
25,787,271,1,6,6.082762530298219
26,789,277,2,6,6.324555320336759
27,790,284,1,7,7.0710678118654755
28,791,290,1,6,6.082762530298219
29,792,295,1,5,5.0990195135927845
30,793,301,1,6,6.082762530298219
31,793,307,0,6,6.0
32,794,314,1,7,7.0710678118654755
33,795,322,1,8,8.06225774829855
34,796,328,1,6,6.082762530298219
35,797,335,1,7,7.0710678118654755
36,798,342,1,7,7.0710678118654755
37,799,349,1,7,7.0710678118654755
38,799,356,0,7,7.0
39,800,363,1,7,7.0710678118654755
40,800,371,0,8,8.0
41,800,378,0,7,7.0
42,800,386,0,8,8.0
43,801,394,1,8,8.06225774829855
44,802,402,1,8,8.06225774829855
45,802,411,0,9,9.0
46,803,419,1,8,8.06225774829855
47,804,428,1,9,9.055385138137417
48,806,436,2,8,8.246211251235321
49,807,444,1,8,8.06225774829855
50,810,451,3,7,7.615773105863909
51,812,458,2,7,7.280109889280518
52,815,464,3,6,6.708203932499369
53,817,471,2,7,7.280109889280518
54,819,477,2,6,6.324555320336759
55,821,484,2,7,7.280109889280518
56,823,491,2,7,7.280109889280518
57,824,498,1,7,7.0710678118654755
58,825,505,1,7,7.0710678118654755
59,827,512,2,7,7.280109889280518
60,828,520,1,8,8.06225774829855
61,829,527,1,7,7.0710678118654755
62,829,534,0,7,7.0
63,830,540,1,6,6.082762530298219
64,832,547,2,7,7.280109889280518
65,833,553,1,6,6.082762530298219
66,835,560,2,7,7.280109889280518
67,836,565,1,5,5.0990195135927845
68,839,571,3,6,6.708203932499369
69,840,576,1,5,5.0990195135927845
70,841,582,1,6,6.082762530298219
71,842,587,1,5,5.0990195135927845
72,844,593,2,6,6.324555320336759
73,845,599,1,6,6.082762530298219
74,847,606,2,7,7.280109889280518
75,848,612,1,6,6.082762530298219
76,849,619,1,7,7.0710678118654755
77,849,625,0,6,6.0
78,849,631,0,6,6.0
79,849,638,0,7,7.0
80,848,645,-1,7,7.0710678118654755
81,849,652,1,7,7.0710678118654755
82,848,659,-1,7,7.0710678118654755
83,848,667,0,8,8.0
84,850,674,2,7,7.280109889280518
85,851,681,1,7,7.0710678118654755
86,852,688,1,7,7.0710678118654755
87,854,696,2,8,8.246211251235321
88,856,702,2,6,6.324555320336759
89,858,708,2,6,6.324555320336759
90,860,715,2,7,7.280109889280518
91,861,721,1,6,6.082762530298219
92,862,727,1,6,6.082762530298219
93,861,730,-1,3,3.1622776601683795
94,869,738,8,8,11.313708498984761
95,867,743,-2,5,5.385164807134504
96,869,749,2,6,6.324555320336759
97,870,758,1,9,9.055385138137417
98,871,764,1,6,6.082762530298219
99,873,766,2,2,2.8284271247461903
100,873,778,0,12,12.0
101,878,779,5,1,5.0990195135927845
