Frame,X,Y,dX,dY,Magnitude
0,742,90,0,0,0.0
1,744,93,2,3,3.605551275463989
2,744,95,0,2,2.0
3,744,98,0,3,3.0
4,745,101,1,3,3.1622776601683795
5,745,104,0,3,3.0
6,747,106,2,2,2.8284271247461903
7,747,109,0,3,3.0
8,747,111,0,2,2.0
9,746,114,-1,3,3.1622776601683795
10,746,117,0,3,3.0
11,743,120,-3,3,4.242640687119285
12,748,123,5,3,5.830951894845301
13,748,126,0,3,3.0
14,746,128,-2,2,2.8284271247461903
15,746,130,0.0,2.8,2.8
16,747,134,1,4,4.123105625617661
17,748,136,1,2,2.23606797749979
18,749,139,1,3,3.1622776601683795
19,750,142,1,3,3.1622776601683795
20,748,145,-2,3,3.605551275463989
21,751,147,3,2,3.605551275463989
22,751,150,0,3,3.0
23,751,152,0,2,2.0
24,751,155,0,3,3.0
25,752,158,1,3,3.1622776601683795
26,753,161,1,3,3.1622776601683795
27,752,163,-1,2,2.23606797749979
28,753,166,1,3,3.1622776601683795
29,753,169,0,3,3.0
30,753,172,0,3,3.0
31,754,174,1,2,2.23606797749979
32,753,177,-1,3,3.1622776601683795
33,754,180,1,3,3.1622776601683795
34,754,183,0,3,3.0
35,754,186,0,3,3.0
36,754,188,0,2,2.0
37,756,191,2,3,3.605551275463989
38,755,194,-1,3,3.1622776601683795
39,756,197,1,3,3.1622776601683795
40,755,200,-1,3,3.1622776601683795
41,755,203,0,3,3.0
42,755,205,0,2,2.0
43,755,208,0,3,3.0
44,755,211,0,3,3.0
45,757,214,2,3,3.605551275463989
46,756,217,-1,3,3.1622776601683795
47,756,219,0,2,2.0
48,756,222,0,3,3.0
49,756,225,0,3,3.0
50,758,227,2,2,2.8284271247461903
51,759,230,1,3,3.1622776601683795
52,758,233,-1,3,3.1622776601683795
53,759,236,1,3,3.1622776601683795
54,759,238,0,2,2.0
55,759,241,0,3,3.0
56,759,244,0,3,3.0
57,759,247,0,3,3.0
58,759,249,0,2,2.0
59,760,252,1,3,3.1622776601683795
60,759,255,-1,3,3.1622776601683795
61,760,258,1,3,3.1622776601683795
62,761,261,1,3,3.1622776601683795
