Frame,X,Y,dX,dY,Magnitude
0,633,75,-1,0,1.0
1,630,76,-3,1,3.1622776601683795
2,625,78,-5,2,5.385164807134504
3,633,85,8,7,10.63014581273465
4,632,87,-0.05,2.5,2.5004999500099974
5,635,92,3,5,5.830951894845301
6,632,95,-3,3,4.242640687119285
7,633,98,1,3,3.1622776601683795
8,635,102,2,4,4.47213595499958
9,632,105,-3,3,4.242640687119285
10,634,108,2,3,3.605551275463989
11,634,111,0,3,3.0
12,635,114,1,3,3.1622776601683795
13,636,117,1,3,3.1622776601683795
14,637,121,1,4,4.123105625617661
15,636,124,-1,3,3.1622776601683795
16,635,128,-1,4,4.123105625617661
17,635,131,0,3,3.0
18,634,135,-1,4,4.123105625617661
19,634,139,0,4,4.0
20,633,142,-1,3,3.1622776601683795
21,633,144,0,2,2.0
22,633,148,0,4,4.0
23,632,151,-1,3,3.1622776601683795
24,630,154,-2,3,3.605551275463989
25,629,157,-1,3,3.1622776601683795
26,629,160,0,3,3.0
27,629,163,0,3,3.0
28,628,167,-1,4,4.123105625617661
29,628,170,0,3,3.0
30,628,173,0,3,3.0
31,628,177,0,4,4.0
32,628,180,0,3,3.0
33,628,184,0,4,4.0
34,629,188,1,4,4.123105625617661
35,630,191,1,3,3.1622776601683795
36,631,194,1,3,3.1622776601683795
37,631,197,0,3,3.0
38,631,201,0,4,4.0
39,633,204,2,3,3.605551275463989
40,633,207,0,3,3.0
41,634,210,1,3,3.1622776601683795
42,635,213,1,3,3.1622776601683795
43,634,217,-1,4,4.123105625617661
44,635,220,1,3,3.1622776601683795
45,635,223,0,3,3.0
46,634,227,-1,4,4.123105625617661
47,634,230,0,3,3.0
48,633,234,-1,4,4.123105625617661
49,632,237,-1,3,3.1622776601683795
50,632,240,0,3,3.0
51,631,244,-1,4,4.123105625617661
52,629,247,-2,3,3.605551275463989
53,628,250,-1,3,3.1622776601683795
54,627,253,-1,3,3.1622776601683795
55,627,256,0,3,3.0
56,626,260,-1,4,4.123105625617661
57,625,263,-1,3,3.1622776601683795
58,625,266,0,3,3.0
59,625,270,0,4,4.0
60,625,273,0,3,3.0
61,625,277,0,4,4.0
62,625,281,0,4,4.0
63,625,284,0,3,3.0
64,625,287,0,3,3.0
65,626,291,1,4,4.123105625617661
66,626,294,0,3,3.0
67,626,298,0,4,4.0
68,627,301,1,3,3.1622776601683795
69,628,304,1,3,3.1622776601683795
70,628,307,0,3,3.0
71,629,310,1,3,3.1622776601683795
72,629,313,0,3,3.0
73,629,316,0,3,3.0
74,629,320,0,4,4.0
75,629,323,0,3,3.0
76,628,326,-1,3,3.1622776601683795
77,627,330,-1,4,4.123105625617661
78,626,334,-1,4,4.123105625617661
79,626,337,0,3,3.0
80,625,340,-1,3,3.1622776601683795
81,625,343,0,3,3.0
82,623,346,-2,3,3.605551275463989
83,622,349,-1,3,3.1622776601683795
84,622,352,0,3,3.0
85,621,355,-1,3,3.1622776601683795
86,621,359,0,4,4.0
87,620,362,-1,3,3.1622776601683795
88,620,365,0,3,3.0
89,620,369,0,4,4.0
90,620,372,0,3,3.0
91,620,375,0,3,3.0
92,621,379,1,4,4.123105625617661
93,621,382,0,3,3.0
94,622,386,1,4,4.123105625617661
95,622,389,0,3,3.0
96,624,392,2,3,3.605551275463989
97,624,395,0,3,3.0
98,625,398,1,3,3.1622776601683795
99,625,401,0,3,3.0
100,625,405,0,4,4.0
101,626,408,1,3,3.1622776601683795
102,625,411,-1,3,3.1622776601683795
103,626,414,1,3,3.1622776601683795
104,625,418,-1,4,4.123105625617661
105,626,421,1,3,3.1622776601683795
106,625,425,-1,4,4.123105625617661
107,624,428,-1,3,3.1622776601683795
108,623,432,-1,4,4.123105625617661
109,623,435,0,3,3.0
110,622,438,-1,3,3.1622776601683795
111,622,442,0,4,4.0
112,620,444,-2,2,2.8284271247461903
113,620,447,0,3,3.0
114,619,450,-1,3,3.1622776601683795
115,619,454,0,4,4.0
116,618,457,-1,3,3.1622776601683795
117,618,460,0,3,3.0
118,618,463,0,3,3.0
119,619,467,1,4,4.123105625617661
120,619,470,0,3,3.0
121,619,474,0,4,4.0
122,620,477,1,3,3.1622776601683795
123,621,481,1,4,4.123105625617661
124,621,484,0,3,3.0
125,622,487,1,3,3.1622776601683795
126,622,490,0,3,3.0
127,625,493,3,3,4.242640687119285
128,626,496,1,3,3.1622776601683795
129,627,499,1,3,3.1622776601683795
130,627,502,0,3,3.0
131,627,505,0,3,3.0
132,627,508,0,3,3.0
133,627,512,0,4,4.0
134,627,515,0,3,3.0
135,626,519,-1,4,4.123105625617661
136,625,523,-1,4,4.123105625617661
137,623,527,-2,4,4.47213595499958
138,621,531,-2,4,4.47213595499958
139,622,534,1,3,3.1622776601683795
140,618,536,-4,2,4.47213595499958
141,622,539,4,3,5.0
142,622,542,0,3,3.0
143,621,545,-1,3,3.1622776601683795
144,621,548,0,3,3.0
145,620,551,-1,3,3.1622776601683795
146,620,554,0,3,3.0
147,620,557,0,3,3.0
148,621,561,1,4,4.123105625617661
149,620,564,-1,3,3.1622776601683795
150,621,568,1,4,4.123105625617661
151,622,571,1,3,3.1622776601683795
152,623,574,1,3,3.1622776601683795
153,624,578,1,4,4.123105625617661
154,621,581,-3,3,4.242640687119285
155,625,584,4,3,5.0
156,627,586,2,2,2.8284271247461903
157,628,589,1,3,3.1622776601683795
158,628,591,0,2,2.0
159,629,594,1,3,3.1622776601683795
160,629,597,0,3,3.0
161,630,600,1,3,3.1622776601683795
162,630,604,0,4,4.0
163,629,607,-1,3,3.1622776601683795
164,629,610,0,3,3.0
165,627,614,-2,4,4.47213595499958
166,626,617,-1,3,3.1622776601683795
167,626,621,0,4,4.0
168,623,624,-3,3,4.242640687119285
169,623,627,0,3,3.0
170,623,629,0,2,2.0
171,622,632,-1,3,3.1622776601683795
172,621,635,-1,3,3.1622776601683795
173,621,638,0,3,3.0
174,621,641,0,3,3.0
175,620,644,-1,3,3.1622776601683795
176,620,648,0,4,4.0
177,620,651,0,3,3.0
178,621,654,1,3,3.1622776601683795
179,621,658,0,4,4.0
180,622,661,1,3,3.1622776601683795
181,622,664,0,3,3.0
182,622,667,0,3,3.0
183,622,671,0,4,4.0
184,623,673,1,2,2.23606797749979
185,625,675,2,2,2.8284271247461903
186,625,678,0,3,3.0
187,625,681,0,3,3.0
188,625,684,0,3,3.0
189,625,687,0,3,3.0
190,624,691,-1,4,4.123105625617661
191,624,694,0,3,3.0
192,623,698,-1,4,4.123105625617661
193,622,701,-1,3,3.1622776601683795
194,623,705,1,4,4.123105625617661
195,618,709,-5,4,6.4031242374328485
196,616,711,-2,2,2.8284271247461903
197,616,713,0,2,2.0
198,619,717,3,4,5.0
199,620,720,1,3,3.1622776601683795
200,619,723,-1,3,3.1622776601683795
201,619,725,0,2,2.0
202,619,729,0,4,4.0
203,617,731,-2,2,2.8284271247461903
204,613,732,-4,1,4.123105625617661
205,626,739,13,7,14.7648230602334
206,620,740,-6,1,6.082762530298219
207,621,744,1,4,4.123105625617661
208,621,747,0,3,3.0
209,622,751,1,4,4.123105625617661
210,624,754,2,3,3.605551275463989
211,624,757,0,3,3.0
212,624,760,0,3,3.0
213,625,763,1,3,3.1622776601683795
214,625,766,0,3,3.0
215,625,769,0,3,3.0
216,626,772,1,3,3.1622776601683795
217,625,775,-1,3,3.1622776601683795
218,625,778,0,3,3.0
219,625,781,0,3,3.0
220,625,784,0,3,3.0
221,625,788,0,4,4.0
222,624,791,-1,3,3.1622776601683795
223,623,794,-1,3,3.1622776601683795
224,620,797,-3,3,4.242640687119285
225,615,801,-5,4,6.4031242374328485
226,614,804,-1,3,3.1622776601683795
227,614,806,0,2,2.0
228,614,809,0,3,3.0
229,614,812,0,3,3.0
230,614,815,0,3,3.0
231,614,818,0,3,3.0
232,613,821,-1,3,3.1622776601683795
233,614,824,1,3,3.1622776601683795
234,621,828,7,4,8.06225774829855
235,627,832,6,4,7.211102550927978
236,623,834,-4,2,4.47213595499958
237,614,833,-9,-1,9.055385138137417
238,614,835,0.04000000000000001,2.4,2.4003333101883997
