Frame,X,Y,dX,dY,Magnitude
0,640,100,-3,4,5.0
1,643,109,3,9,9.486832980505138
2,650,115,7,6,9.219544457292887
3,650,128,0,13,13.0
4,650,141,0,13,13.0
5,651,153,1,12,12.041594578792296
6,653,166,2,13,13.152946437965905
7,653,177,0.4,11.4,11.40701538527936
8,653,189,0.13599999999999998,12.48,12.480741003642372
9,653,201,0.14144,12.376,12.376808202182014
10,653,213,0.1470976,12.251199999999999,12.25208305325775
11,653,225,0.11298150400000001,12.301439999999998,12.30195882344946
12,653,237,0.037500764160000005,12.161728,12.161785816782688
13,653,249,0.023000794726400004,12.3140736,12.31409508095398
14,653,261,0.018480826515456,12.280888319999999,12.280902225376646
15,653,273,0.013562459576074243,12.261865984,12.261873484500075
16,653,285,0.008221053959117212,12.263999180799999,12.264001936251937
17,653,297,0.004030635957481899,12.25651101696,12.256511679710833
18,653,309,0.0026918308293811745,12.275467620352,12.275467915491596
19,653,321,0.0018794722735004212,12.267746424422398,12.267746568394074
20,653,333,0.001215418103822198,12.265118045306881,12.265118105528119
21,653,345,0.0007215364449321162,12.265768457568253,12.265768478790521
22,653,357,0.00042155574436471234,12.266122312921908,12.266122320165813
23,653,369,0.00027719253584002496,12.268044572114288,12.268044575245826
24,653,381,0.0001806070040983789,12.266559962466747,12.266559963796334
25,653,393,0.00011265239332229724,12.266322670075615,12.266322670592906
26,653,405,6.854176490230119e-05,12.266563595029364,12.266563595220859
27,653,417,4.242197770110858e-05,12.266722622521584,12.266722622594939
28,653,429,2.7256627034564433e-05,12.266842684441519,12.2668426844718
29,653,441,1.7259190682346017e-05,12.266602306906965,12.266602306919108
30,653,453,1.07252781457047e-05,12.26661077579501,12.266610775799698
31,653,465,6.648193538640997e-06,12.266668396938886,12.266668396940688
32,653,477,4.1724506840945896e-06,12.266689357320795,12.266689357321505
33,653,489,2.6424696034140298e-06,12.266682704280633,12.266682704280917
34,653,501,1.6579033061680136e-06,12.266650708248457,12.26665070824857
35,653,513,1.0338518111208932e-06,12.266660388516756,12.2666603885168
36,653,525,6.46194757737541e-07,12.266670311061105,12.266670311061123
37,653,537,4.0611480650140273e-07,12.266670693885548,12.266670693885555
38,653,549,2.5546137139767523e-07,12.2666669611985,12.266666961198501
39,653,561,1.5998104211702102e-07,12.266663812582072,12.266663812582074
40,653,573,1.0006415155498133e-07,12.266666433448794,12.266666433448794
41,653,585,6.271264517234485e-08,12.266667642435204,12.266667642435204
42,653,597,3.937336066973701e-08,12.266667108710022,12.266667108710022
43,653,609,2.470370283647038e-08,12.266666391674919,12.266666391674919
44,653,621,1.5473396094022185e-08,12.266666277770202,12.266666277770202
45,653,633,9.693090253102231e-09,12.266666770807827,12.266666770807827
46,653,645,6.078247801027066e-09,12.266666838279637,12.266666838279637
47,653,657,3.812871906174355e-09,12.266666677448521,12.266666677448521
48,653,669,2.390452355631849e-09,12.26666659119622,12.26666659119622
49,653,681,1.4979223363983074e-09,12.266666631100481,12.266666631100481
50,653,693,9.389033860933525e-10,12.266666701766535,12.266666701766535
51,653,705,5.887359114129972e-10,12.266666687958281,12.266666687958281
52,653,717,3.6915543582843444e-10,12.266666657894007,12.266666657894007
53,653,729,2.3140677701459762e-10,12.266666653983105,12.266666653983105
54,653,741,1.4504495386990757e-10,12.266666666540482,12.266666666540482
55,653,753,9.092985856877157e-11,12.266666673628482,12.266666673628482
56,653,765,5.7010917467788335e-11,12.266666668000871,12.266666668000871
