Frame,X,Y,dX,dY,Magnitude
0,515,62,0,0,0.0
1,518,73,3,11,11.40175425099138
2,517,81,-1,8,8.06225774829855
3,519,92,2,11,11.180339887498949
4,522,100,3,8,8.54400374531753
5,522,108,0,8,8.0
6,524,116,2,8,8.246211251235321
7,527,124,3,8,8.54400374531753
8,529,132,2,8,8.246211251235321
9,531,139,2,7,7.280109889280518
10,533,147,2,8,8.246211251235321
11,534,153,1,6,6.082762530298219
12,536,161,2,8,8.246211251235321
13,537,167,1,6,6.082762530298219
14,539,175,2,8,8.246211251235321
15,540,182,1,7,7.0710678118654755
16,541,189,1,7,7.0710678118654755
17,541,197,0,8,8.0
18,541,205,0,8,8.0
19,541,213,0,8,8.0
20,542,222,1,9,9.055385138137417
21,543,232,1,10,10.04987562112089
22,544,241,1,9,9.055385138137417
23,545,251,1,10,10.04987562112089
24,547,260,2,9,9.219544457292887
25,550,268,3,8,8.54400374531753
26,554,275,4,7,8.06225774829855
27,563,273,9,-2,9.219544457292887
28,558,291,-5,18,18.681541692269406
29,561,299,3,8,8.54400374531753
30,565,307,4,8,8.94427190999916
31,569,314,4,7,8.06225774829855
32,571,319,2,5,5.385164807134504
33,572,325,1,6,6.082762530298219
34,575,332,3,7,7.615773105863909
35,577,339,2,7,7.280109889280518
36,580,346,3,7,7.615773105863909
37,583,353,3,7,7.615773105863909
38,586,360,3,7,7.615773105863909
39,589,367,3,7,7.615773105863909
40,592,375,3,8,8.54400374531753
41,594,382,2,7,7.280109889280518
42,596,388,2,6,6.324555320336759
43,598,396,2,8,8.246211251235321
44,600,403,2,7,7.280109889280518
45,602,410,2,7,7.280109889280518
46,604,417,2,7,7.280109889280518
47,605,424,1,7,7.0710678118654755
48,607,431,2,7,7.280109889280518
49,607,439,0,8,8.0
50,609,446,2,7,7.280109889280518
51,609,454,0,8,8.0
52,610,462,1,8,8.06225774829855
53,611,470,1,8,8.06225774829855
54,611,478,0,8,8.0
55,612,486,1,8,8.06225774829855
56,612,494,0,8,8.0
57,613,502,1,8,8.06225774829855
58,613,511,0,9,9.0
59,613,519,0,8,8.0
60,611,529,-2,10,10.198039027185569
61,611,538,0,9,9.0
62,612,547,1,9,9.055385138137417
63,612,555,0,8,8.0
64,612,564,0,9,9.0
65,613,571,1,7,7.0710678118654755
66,614,578,1,7,7.0710678118654755
67,615,585,1,7,7.0710678118654755
68,615,592,0,7,7.0
69,616,599,1,7,7.0710678118654755
70,616,605,0,6,6.0
71,617,612,1,7,7.0710678118654755
72,618,620,1,8,8.06225774829855
73,618,627,0,7,7.0
74,619,633,1,6,6.082762530298219
75,620,640,1,7,7.0710678118654755
76,620,648,0,8,8.0
77,621,655,1,7,7.0710678118654755
78,621,663,0,8,8.0
79,622,671,1,8,8.06225774829855
80,622,680,0,9,9.0
81,623,689,1,9,9.055385138137417
82,624,697,1,8,8.06225774829855
83,624,706,0,9,9.0
84,624,714,0,8,8.0
85,623,722,-1,8,8.06225774829855
86,623,727,0,5,5.0
87,625,732,2,5,5.385164807134504
88,624,743,-1,11,11.045361017187261
89,622,751,-2,8,8.246211251235321
90,621,758,-1,7,7.0710678118654755
91,621,766,0,8,8.0
92,619,774,-2,8,8.246211251235321
93,618,781,-1,7,7.0710678118654755
94,615,790,-3,9,9.486832980505138
95,613,798,-2,8,8.246211251235321
96,609,807,-4,9,9.848857801796104
97,607,815,-2,8,8.246211251235321
98,604,823,-3,8,8.54400374531753
99,601,829,-3,6,6.708203932499369
100,598,836,-3,7,7.615773105863909
