Frame,X,Y,dX,dY,Magnitude
0,725,121,2,-1,2.23606797749979
1,725,124,0,3,3.0
2,725,127,0,3,3.0
3,726,130,1,3,3.1622776601683795
4,725,133,-1,3,3.1622776601683795
5,725,136,0,3,3.0
6,725,139,0,3,3.0
7,725,141,0,2,2.0
8,726,144,1,3,3.1622776601683795
9,725,147,-1,3,3.1622776601683795
10,724,150,-1,3,3.1622776601683795
11,724,153,0,3,3.0
12,724,156,0,3,3.0
13,725,159,1,3,3.1622776601683795
14,723,162,-2,3,3.605551275463989
15,722,165,-1,3,3.1622776601683795
16,724,168,2,3,3.605551275463989
17,724,171,0,3,3.0
18,723,174,-1,3,3.1622776601683795
19,723,177,0,3,3.0
20,723,180,0,3,3.0
21,724,183,1,3,3.1622776601683795
22,724,185,0,2,2.0
23,723,188,-1,3,3.1622776601683795
24,724,191,1,3,3.1622776601683795
25,724,194,0,3,3.0
26,723,197,-1,3,3.1622776601683795
27,725,200,2,3,3.605551275463989
28,724,203,-1,3,3.1622776601683795
29,724,206,0,3,3.0
30,724,209,0,3,3.0
31,725,212,1,3,3.1622776601683795
32,725,215,0,3,3.0
33,725,218,0,3,3.0
34,725,221,0,3,3.0
35,725,224,0,3,3.0
36,725,228,0,4,4.0
37,726,230,1,2,2.23606797749979
38,726,233,0,3,3.0
39,726,236,0,3,3.0
40,726,239,0,3,3.0
41,726,242,0,3,3.0
42,725,246,-1,4,4.123105625617661
43,726,249,1,3,3.1622776601683795
44,726,251,0,2,2.0
45,727,254,1,3,3.1622776601683795
46,725,257,-2,3,3.605551275463989
47,726,260,1,3,3.1622776601683795
48,726,263,0,3,3.0
49,726,266,0,3,3.0
50,725,269,-1,3,3.1622776601683795
51,726,272,1,3,3.1622776601683795
52,726,275,0,3,3.0
53,726,278,0,3,3.0
54,726,281,0,3,3.0
55,726,284,0,3,3.0
56,726,287,0,3,3.0
57,726,290,0,3,3.0
58,727,293,1,3,3.1622776601683795
59,726,296,-1,3,3.1622776601683795
60,727,299,1,3,3.1622776601683795
61,727,302,0,3,3.0
62,728,305,1,3,3.1622776601683795
63,728,308,0,3,3.0
64,728,311,0,3,3.0
65,728,314,0,3,3.0
66,729,317,1,3,3.1622776601683795
67,729,320,0,3,3.0
68,729,323,0,3,3.0
69,729,326,0,3,3.0
70,729,329,0,3,3.0
71,729,335,0,6,6.0
72,729,338,0,3,3.0
73,731,341,2,3,3.605551275463989
74,730,344,-1,3,3.1622776601683795
75,731,347,1,3,3.1622776601683795
76,730,350,-1,3,3.1622776601683795
77,730,352,0,2,2.0
78,730,355,0,3,3.0
79,731,358,1,3,3.1622776601683795
80,731,361,0,3,3.0
81,730,364,-1,3,3.1622776601683795
82,730,367,0,3,3.0
83,730,370,0,3,3.0
84,731,373,1,3,3.1622776601683795
85,732,376,1,3,3.1622776601683795
86,732,379,0,3,3.0
87,732,382,0,3,3.0
88,732,385,0,3,3.0
89,733,388,1,3,3.1622776601683795
90,734,391,1,3,3.1622776601683795
91,734,394,0,3,3.0
92,734,397,0,3,3.0
93,735,400,1,3,3.1622776601683795
94,734,402,-1,2,2.23606797749979
95,734,406,0,4,4.0
96,735,408,1,2,2.23606797749979
97,735,411,0,3,3.0
98,736,414,1,3,3.1622776601683795
99,735,417,-1,3,3.1622776601683795
100,736,420,1,3,3.1622776601683795
101,736,423,0,3,3.0
102,736,426,0,3,3.0
103,736,429,0,3,3.0
104,737,431,1,2,2.23606797749979
105,737,434,0,3,3.0
106,737,437,0,3,3.0
107,738,440,1,3,3.1622776601683795
108,738,442,0,2,2.0
109,737,445,-1,3,3.1622776601683795
110,738,448,1,3,3.1622776601683795
111,738,450,0,2,2.0
112,738,453,0,3,3.0
113,739,456,1,3,3.1622776601683795
114,740,459,1,3,3.1622776601683795
115,740,462,0,3,3.0
116,740,464,0,2,2.0
117,740,467,0,3,3.0
118,741,470,1,3,3.1622776601683795
119,741,473,0,3,3.0
120,741,476,0,3,3.0
121,742,479,1,3,3.1622776601683795
122,743,481,1,2,2.23606797749979
123,743,484,0,3,3.0
124,744,486,1,2,2.23606797749979
125,743,489,-1,3,3.1622776601683795
126,744,492,1,3,3.1622776601683795
127,745,495,1,3,3.1622776601683795
128,745,497,0,2,2.0
129,745,501,0,4,4.0
130,743,504,-2,3,3.605551275463989
131,745,507,2,3,3.605551275463989
132,745,509,0,2,2.0
133,745,512,0,3,3.0
134,744,514,-1,2,2.23606797749979
135,745,517,1,3,3.1622776601683795
136,746,520,1,3,3.1622776601683795
137,746,523,0,3,3.0
138,746,525,0,2,2.0
139,747,529,1,4,4.123105625617661
140,747,531,0,2,2.0
141,747,534,0,3,3.0
142,747,537,0,3,3.0
143,748,540,1,3,3.1622776601683795
144,747,543,-1,3,3.1622776601683795
145,749,545,2,2,2.8284271247461903
146,748,548,-1,3,3.1622776601683795
147,748,551,0,3,3.0
148,750,554,2,3,3.605551275463989
149,750,557,0,3,3.0
150,750,559,0,2,2.0
151,750,562,0,3,3.0
152,750,565,0,3,3.0
153,750,568,0,3,3.0
154,751,570,1,2,2.23606797749979
155,751,574,0,4,4.0
156,750,576,-1,2,2.23606797749979
157,750,580,0,4,4.0
158,750,582,0,2,2.0
159,748,585,-2,3,3.605551275463989
160,750,588,2,3,3.605551275463989
161,750,591,0,3,3.0
162,750,593,0,2,2.0
163,751,596,1,3,3.1622776601683795
164,752,599,1,3,3.1622776601683795
165,751,602,-1,3,3.1622776601683795
166,751,605,0,3,3.0
167,751,608,0,3,3.0
168,752,610,1,2,2.23606797749979
169,752,613,0,3,3.0
170,752,616,0,3,3.0
171,748,619,-4,3,5.0
172,751,622,3,3,4.242640687119285
173,753,625,2,3,3.605551275463989
174,753,628,0,3,3.0
175,753,631,0,3,3.0
176,754,633,1,2,2.23606797749979
177,753,637,-1,4,4.123105625617661
178,753,639,0,2,2.0
179,753,642,0,3,3.0
180,755,645,2,3,3.605551275463989
181,754,648,-1,3,3.1622776601683795
182,755,651,1,3,3.1622776601683795
183,755,653,0,2,2.0
184,755,657,0,4,4.0
185,755,659,0,2,2.0
186,756,662,1,3,3.1622776601683795
187,756,665,0,3,3.0
188,755,668,-1,3,3.1622776601683795
