Frame,X,Y,dX,dY,Magnitude
0,465,71,0,0,0.0
1,465,81,0,10,10.0
2,463,90,-2,9,9.219544457292887
3,464,95,1,5,5.0990195135927845
4,461,105,-3,10,10.44030650891055
5,455,119,-6,14,15.231546211727817
6,457,124,2,5,5.385164807134504
7,450,137,-7,13,14.7648230602334
8,452,142,2,5,5.385164807134504
9,448,151,-4,9,9.848857801796104
10,442,164,-6,13,14.317821063276353
11,443,169,1,5,5.0990195135927845
12,435,182,-8,13,15.264337522473747
13,431,192,-4,10,10.770329614269007
14,428,201,-3,9,9.486832980505138
15,425,210,-3,9,9.486832980505138
16,422,219,-3,9,9.486832980505138
17,420,228,-2,9,9.219544457292887
18,423,233,3,5,5.830951894845301
19,416,246,-7,13,14.7648230602334
20,415,256,-1,10,10.04987562112089
21,414,265,-1,9,9.055385138137417
22,413,274,-1,9,9.055385138137417
23,418,278,5,4,6.4031242374328485
24,413,293,-5,15,15.811388300841896
25,419,297,6,4,7.211102550927978
26,415,312,-4,15,15.524174696260024
27,415,321,0,9,9.0
28,417,330,2,9,9.219544457292887
29,419,340,2,10,10.198039027185569
30,421,349,2,9,9.219544457292887
31,424,358,3,9,9.486832980505138
32,427,367,3,9,9.486832980505138
33,429,376,2,9,9.219544457292887
34,432,385,3,9,9.486832980505138
35,435,393,3,8,8.54400374531753
36,437,402,2,9,9.219544457292887
37,439,411,2,9,9.219544457292887
38,441,421,2,10,10.198039027185569
39,442,430,1,9,9.055385138137417
40,444,439,2,9,9.219544457292887
41,444,448,0,9,9.0
42,445,458,1,10,10.04987562112089
43,446,467,1,9,9.055385138137417
44,446,477,0,10,10.0
45,447,486,1,9,9.055385138137417
46,448,496,1,10,10.04987562112089
47,450,504,2,8,8.246211251235321
48,451,513,1,9,9.055385138137417
49,456,517,5,4,6.4031242374328485
50,452,532,-4,15,15.524174696260024
51,453,541,1,9,9.055385138137417
52,453,550,0,9,9.0
53,454,560,1,10,10.04987562112089
54,454,569,0,9,9.0
55,456,579,2,10,10.198039027185569
56,456,588,0,9,9.0
57,462,593,6,5,7.810249675906654
58,458,607,-4,14,14.560219778561036
59,459,617,1,10,10.04987562112089
60,461,626,2,9,9.219544457292887
61,462,636,1,10,10.04987562112089
62,468,641,6,5,7.810249675906654
63,465,655,-3,14,14.317821063276353
64,466,664,1,9,9.055385138137417
65,468,674,2,10,10.198039027185569
66,470,683,2,9,9.219544457292887
67,476,688,6,5,7.810249675906654
68,472,702,-4,14,14.560219778561036
69,474,712,2,10,10.198039027185569
70,475,721,1,9,9.055385138137417
71,476,730,1,9,9.055385138137417
72,482,735,6,5,7.810249675906654
73,480,747,-2,12,12.165525060596439
74,482,755,2,8,8.246211251235321
75,483,766,1,11,11.045361017187261
76,483,774,0,8,8.0
77,484,783,1,9,9.055385138137417
78,482,793,-2,10,10.198039027185569
79,479,806,-3,13,13.341664064126334
80,478,814,-1,8,8.06225774829855
