Frame,X,Y,dX,dY,Magnitude
0,462,87,1,0,1.0
1,460,88,-2,1,2.23606797749979
2,459,90,-1,2,2.23606797749979
3,458,92,-1,2,2.23606797749979
4,457,93,-1,1,1.4142135623730951
5,456,94,-1,1,1.4142135623730951
6,461,102,5,8,9.433981132056603
7,460,103,-1,1,1.4142135623730951
8,459,104,-1,1,1.4142135623730951
9,459,107,0,3,3.0
10,461,109,2,2,2.8284271247461903
11,463,112,2,3,3.605551275463989
12,463,114,0.08000000000000002,2.0,2.001599360511489
13,463,116,0.1232,2.2,2.2034468997459413
14,463,118,0.168128,2.44,2.445785563859596
15,463,120,0.17485312,2.328,2.334557262860291
16,463,122,0.10184724480000001,2.3936,2.39576581102439
17,463,124,0.025921134592000003,2.2723199999999997,2.2724678408326344
18,463,126,0.023757979975679997,2.326784,2.32690528906282
19,463,128,0.019780299174707205,2.3521408,2.3522239696211074
20,463,130,0.013846391141695492,2.33456896,2.334610021297589
21,463,132,0.00740612198736331,2.3358827520000003,2.335894492851504
22,463,134,0.00362847707485784,2.3243393024,2.324342134567801
23,465,138,2,4,4.47213595499958
24,462,141,-3,3,4.242640687119285
25,461,143,-1,2,2.23606797749979
26,458,144,-3,1,3.1622776601683795
27,458,146,0,2,2.0
28,457,148,-1,2,2.23606797749979
29,457,150,0,2,2.0
30,457,152,0,2,2.0
31,458,155,1,3,3.1622776601683795
32,458,158,0,3,3.0
33,459,161,1,3,3.1622776601683795
34,460,163,1,2,2.23606797749979
35,464,166,4,3,5.0
36,464,168,0.27999999999999997,2.8,2.813965173913849
37,464,170,0.25120000000000003,2.7600000000000002,2.7714078443996657
38,464,172,0.26124800000000004,2.712,2.7245540034112006
39,464,174,0.23169792,2.6544,2.6644930636299895
40,464,176,0.20096583680000002,2.78528,2.7925207154040463
41,464,178,0.049004470272,2.7423360000000003,2.7427738103975403
42,464,180,0.03976464908288001,2.7308032,2.731092701547665
43,464,182,0.0313072350461952,2.72496384,2.7251436791981782
44,467,185,3,3,4.242640687119285
45,466,187,-1,2,2.23606797749979
46,469,188,3,1,3.1622776601683795
47,464,192,-5,4,6.4031242374328485
48,463,195,-1,3,3.1622776601683795
49,461,197,-2,2,2.8284271247461903
50,459,198,-2,1,2.23606797749979
51,458,200,-1,2,2.23606797749979
52,458,202,0,2,2.0
53,457,204,-1,2,2.23606797749979
54,457,206,0,2,2.0
55,457,209,0,3,3.0
56,457,211,0,2,2.0
57,459,214,2,3,3.605551275463989
58,461,217,2,3,3.605551275463989
59,463,220,2,3,3.605551275463989
60,463,222,0.24,2.8,2.810266891240047
61,463,224,0.24960000000000002,2.7600000000000002,2.7712632787232616
62,463,226,0.259584,2.912,2.9235471354257316
63,463,228,0.18996736000000003,2.8944,2.9006273386744064
64,463,230,0.11756605440000001,2.8732800000000003,2.875684220415584
65,463,232,0.042268696576,2.8479360000000007,2.8482496559828174
66,465,234,2,2,2.8284271247461903
67,464,237,-1,3,3.1622776601683795
68,470,235,6,-2,6.324555320336759
69,470,238,0.28639339003904,3,3.01363919105424
70,470,241,0.2931464834646016,3,3.014288450159948
71,464,246,-6,5,7.810249675906654
72,462,248,-2,2,2.8284271247461903
73,461,250,-1,2,2.23606797749979
74,462,252,1,2,2.23606797749979
75,460,254,-2,2,2.8284271247461903
76,457,255,-3,1,3.1622776601683795
77,458,258,1,3,3.1622776601683795
78,456,259,-2,1,2.23606797749979
79,456,262,0,3,3.0
80,457,264,1,2,2.23606797749979
81,458,267,1,3,3.1622776601683795
82,459,270,1,3,3.1622776601683795
83,459,272,0,2,2.0
84,461,274,2,2,2.8284271247461903
85,464,277,3,3,4.242640687119285
86,467,278,3,1,3.1622776601683795
87,463,280,-4,2,4.47213595499958
88,466,282,3,2,3.605551275463989
89,467,283,1,1,1.4142135623730951
90,466,286,-1,3,3.1622776601683795
91,468,287,2,1,2.23606797749979
92,467,291,-1,4,4.123105625617661
93,466,293,-1,2,2.23606797749979
94,465,296,-1,3,3.1622776601683795
95,464,298,-1,2,2.23606797749979
96,463,301,-1,3,3.1622776601683795
97,460,303,-3,2,3.605551275463989
98,459,305,-1,2,2.23606797749979
99,458,307,-1,2,2.23606797749979
100,457,308,-1,1,1.4142135623730951
101,457,310,0,2,2.0
102,456,312,-1,2,2.23606797749979
103,456,315,0,3,3.0
104,457,318,1,3,3.1622776601683795
105,457,320,0,2,2.0
106,457,323,0,3,3.0
107,459,326,2,3,3.605551275463989
108,460,328,1,2,2.23606797749979
109,461,330,1,2,2.23606797749979
110,464,332,3,2,3.605551275463989
111,464,334,0,2,2.0
112,466,335,2,1,2.23606797749979
113,467,337,1,2,2.23606797749979
114,467,339,0,2,2.0
115,467,341,0,2,2.0
116,466,345,-1,4,4.123105625617661
117,467,346,1,1,1.4142135623730951
118,465,349,-2,3,3.605551275463989
119,465,352,0,3,3.0
120,464,354,-1,2,2.23606797749979
121,462,357,-2,3,3.605551275463989
122,461,358,-1,1,1.4142135623730951
123,459,360,-2,2,2.8284271247461903
124,458,362,-1,2,2.23606797749979
125,458,364,0,2,2.0
126,457,366,-1,2,2.23606797749979
127,457,368,0,2,2.0
128,457,370,0,2,2.0
129,457,373,0,3,3.0
130,458,376,1,3,3.1622776601683795
131,459,378,1,2,2.23606797749979
132,460,381,1,3,3.1622776601683795
133,462,383,2,2,2.8284271247461903
134,464,385,2,2,2.8284271247461903
135,465,387,1,2,2.23606797749979
136,466,388,1,1,1.4142135623730951
137,467,390,1,2,2.23606797749979
138,467,392,0,2,2.0
139,468,394,1,2,2.23606797749979
140,468,396,0,2,2.0
141,468,399,0,3,3.0
142,466,402,-2,3,3.605551275463989
143,465,405,-1,3,3.1622776601683795
144,464,407,-0.08000000000000002,2.6,2.6012304780622575
145,463,409,-1,2,2.23606797749979
146,461,411,-2,2,2.8284271247461903
147,463,414,2,3,3.605551275463989
148,458,415,-5,1,5.0990195135927845
149,458,417,0,2,2.0
150,457,419,-1,2,2.23606797749979
151,456,420,-1,1,1.4142135623730951
152,457,423,1,3,3.1622776601683795
153,458,426,1,3,3.1622776601683795
154,458,428,0,2,2.0
155,459,431,1,3,3.1622776601683795
156,461,434,2,3,3.605551275463989
157,462,436,1,2,2.23606797749979
158,462,438,0,2,2.0
159,462,440,0.16000000000000003,2.4,2.405327420539665
160,470,440,8,0,8.0
161,467,443,-3,3,4.242640687119285
162,467,445,0,2,2.0
163,468,447,1,2,2.23606797749979
164,468,449,0,2,2.0
165,467,453,-1,4,4.123105625617661
166,463,457,-4,4,5.656854249492381
167,466,457,3,0,3.0
168,465,459,-1,2,2.23606797749979
169,463,463,-2,4,4.47213595499958
170,463,464,0,1,1.0
171,463,466,0,2,2.0
172,463,469,0,3,3.0
173,459,470,-4,1,4.123105625617661
174,457,471,-2,1,2.23606797749979
175,457,473,0,2,2.0
176,457,475,0,2,2.0
177,457,478,0,3,3.0
178,458,481,1,3,3.1622776601683795
179,459,483,1,2,2.23606797749979
180,459,486,0,3,3.0
181,461,488,2,2,2.8284271247461903
182,463,490,2,2,2.8284271247461903
183,467,492,4,2,4.47213595499958
184,467,494,0,2,2.0
185,466,495,-1,1,1.4142135623730951
186,465,498,-1,3,3.1622776601683795
187,466,500,1,2,2.23606797749979
188,464,504,-2,4,4.47213595499958
189,464,507,0,3,3.0
190,463,509,-1,2,2.23606797749979
191,466,509,3,0,3.0
192,467,512,1,3,3.1622776601683795
193,464,514,-3,2,3.605551275463989
194,461,517,-3,3,4.242640687119285
195,463,518,2,1,2.23606797749979
196,458,520,-5,2,5.385164807134504
197,459,522,1,2,2.23606797749979
198,457,523,-2,1,2.23606797749979
199,457,525,0,2,2.0
200,457,528,0,3,3.0
201,457,530,0,2,2.0
202,458,533,1,3,3.1622776601683795
203,458,535,0,2,2.0
204,459,538,1,3,3.1622776601683795
205,460,540,1,2,2.23606797749979
206,461,542,1,2,2.23606797749979
207,465,545,4,3,5.0
208,465,546,0,1,1.0
209,465,548,0,2,2.0
210,466,550,1,2,2.23606797749979
211,467,552,1,2,2.23606797749979
212,463,557,-4,5,6.4031242374328485
213,462,558,-1,1,1.4142135623730951
214,461,560,-0.12,2.4,2.402998127340094
215,470,560,9,0,9.0
216,464,564,-6,4,7.211102550927978
217,463,567,-1,3,3.1622776601683795
218,462,569,-1,2,2.23606797749979
219,461,571,-1,2,2.23606797749979
220,460,572,-1,1,1.4142135623730951
221,460,575,0,3,3.0
222,458,576,-2,1,2.23606797749979
223,457,578,-1,2,2.23606797749979
224,457,580,0,2,2.0
225,457,582,0,2,2.0
226,457,585,0,3,3.0
227,457,587,0,2,2.0
228,458,590,1,3,3.1622776601683795
229,459,592,1,2,2.23606797749979
230,462,595,3,3,4.242640687119285
231,465,597,3,2,3.605551275463989
232,461,599,-4,2,4.47213595499958
233,461,601,0,2,2.0
234,469,601,8,0,8.0
235,463,605,-6,4,7.211102550927978
236,463,607,0.04000000000000001,2.0,2.000399960007998
237,462,609,-0.07840000000000001,2.0,2.001536050137494
238,470,610,8,1,8.06225774829855
239,470,613,0.39846400000000004,3,3.026346569594434
240,461,618,-9,5,10.295630140987
241,460,620,-1,2,2.23606797749979
242,464,621,4,1,4.123105625617661
243,464,623,0.09593856000000003,2.4,2.401916777762059
244,463,625,-0.22022389759999994,2.68,2.6890330167318766
245,460,627,-3,2,3.605551275463989
246,458,628,-2,1,2.23606797749979
247,457,630,-1,2,2.23606797749979
248,457,632,0,2,2.0
249,456,634,-1,2,2.23606797749979
250,457,637,1,3,3.1622776601683795
251,457,640,0,3,3.0
252,458,642,1,2,2.23606797749979
