Frame,X,Y,dX,dY,Magnitude
0,399,74,0,0,0.0
1,410,75,11,1,11.045361017187261
2,408,77,-2,2,2.8284271247461903
3,410,81,2,4,4.47213595499958
4,413,88,3,7,7.615773105863909
5,420,93,7,5,8.602325267042627
6,418,102,-2,9,9.219544457292887
7,422,109,4,7,8.06225774829855
8,422,117,0,8,8.0
9,425,127,3,10,10.44030650891055
10,427,136,2,9,9.219544457292887
11,428,144,1,8,8.06225774829855
12,429,152,1,8,8.06225774829855
13,431,161,2,9,9.219544457292887
14,431,170,0,9,9.0
15,433,179,2,9,9.219544457292887
16,432,186,-1,7,7.0710678118654755
17,432,195,0,9,9.0
18,431,203,-1,8,8.06225774829855
19,431,211,0,8,8.0
20,430,219,-1,8,8.06225774829855
21,429,228,-1,9,9.055385138137417
22,428,236,-1,8,8.06225774829855
23,426,244,-2,8,8.246211251235321
24,424,252,-2,8,8.246211251235321
25,422,261,-2,9,9.219544457292887
26,419,269,-3,8,8.54400374531753
27,418,277,-1,8,8.06225774829855
28,416,285,-2,8,8.246211251235321
29,413,293,-3,8,8.54400374531753
30,410,301,-3,8,8.54400374531753
31,408,309,-2,8,8.246211251235321
32,406,317,-2,8,8.246211251235321
33,403,325,-3,8,8.54400374531753
34,401,333,-2,8,8.246211251235321
35,400,342,-1,9,9.055385138137417
36,398,350,-2,8,8.246211251235321
37,398,359,0,9,9.0
38,397,368,-1,9,9.055385138137417
39,397,376,0,8,8.0
40,397,385,0,9,9.0
41,398,394,1,9,9.055385138137417
42,399,402,1,8,8.06225774829855
43,400,411,1,9,9.055385138137417
44,402,419,2,8,8.246211251235321
45,404,427,2,8,8.246211251235321
46,406,435,2,8,8.246211251235321
47,408,443,2,8,8.246211251235321
48,410,450,2,7,7.280109889280518
49,412,459,2,9,9.219544457292887
50,415,466,3,7,7.615773105863909
51,417,475,2,9,9.219544457292887
52,420,483,3,8,8.54400374531753
53,422,490,2,7,7.280109889280518
54,424,499,2,9,9.219544457292887
55,425,508,1,9,9.055385138137417
56,427,515,2,7,7.280109889280518
57,429,522,2,7,7.280109889280518
58,430,530,1,8,8.06225774829855
59,431,538,1,8,8.06225774829855
60,432,546,1,8,8.06225774829855
61,432,554,0,8,8.0
62,432,564,0,10,10.0
63,431,572,-1,8,8.06225774829855
64,436,577,5,5,7.0710678118654755
65,427,590,-9,13,15.811388300841896
66,426,597,-1,7,7.0710678118654755
67,424,605,-2,8,8.246211251235321
68,421,613,-3,8,8.54400374531753
69,418,620,-3,7,7.615773105863909
70,415,628,-3,8,8.54400374531753
71,411,636,-4,8,8.94427190999916
72,408,643,-3,7,7.615773105863909
73,406,650,-2,7,7.280109889280518
74,402,658,-4,8,8.94427190999916
75,399,666,-3,8,8.54400374531753
76,398,674,-1,8,8.06225774829855
77,395,682,-3,8,8.54400374531753
78,394,689,-1,7,7.0710678118654755
79,392,698,-2,9,9.219544457292887
80,395,703,3,5,5.830951894845301
81,388,711,-7,8,10.63014581273465
82,388,716,0,5,5.0
83,387,728,-1,12,12.041594578792296
84,389,736,2,8,8.246211251235321
85,390,741,1,5,5.0990195135927845
86,391,753,1,12,12.041594578792296
87,395,764,4,11,11.704699910719626
88,396,772,1,8,8.06225774829855
89,398,780,2,8,8.246211251235321
90,400,787,2,7,7.280109889280518
91,405,791,5,4,6.4031242374328485
92,405,798,0.5599999999999999,7.6,7.62060365063031
93,405,804,0.42240000000000005,6.92,6.932879759522734
94,405,810,0.39929600000000004,6.704000000000001,6.715880679078211
95,405,816,0.33526784,6.444800000000001,6.453514667569778
96,405,822,0.2686785536,6.33376,6.339456120422681
97,405,828,0.079425695744,6.800512,6.800975805227395
98,405,834,0.06020272357376,6.6406144,6.640887288413579
99,405,840,0.04571483251671041,6.584737280000001,6.584895966720646
100,405,846,0.03157158581737882,6.560884736,6.560960698259731
101,405,852,0.019423735650073968,6.584101683199999,6.584130334085411
102,405,858,0.009453542932076928,6.634170019839999,6.634176755379512
103,405,864,0.006654656819600005,6.600901623807999,6.600904978232036
104,405,870,0.004512734149433604,6.5929590685696,6.592960613002601
105,405,876,0.002864650214742533,6.59460342628352,6.594604048475632
106,405,882,0.0017163727906370817,6.601347164340224,6.601347387471611
107,405,888,0.001008078276259606,6.604796260568269,6.604796337498863
108,405,894,0.0006702596900269131,6.598921508713923,6.598921542753429
109,405,900,0.00043088380484398954,6.598525485695108,6.598525499763467
110,405,906,0.000267609791060405,6.599638769120209,6.599638774545885
111,405,912,0.00016372817411311984,6.600645837687547,6.600645839718175
112,405,918,0.00010162238945216134,6.600505572357011,6.600505573139308
113,405,924,6.536415397986356e-05,6.599647434714759,6.599647435038449
