Frame,X,Y,dX,dY,Magnitude
0,323,173,3,0,3.0
1,323,175,0,2,2.0
2,322,177,-1,2,2.23606797749979
3,324,180,2,3,3.605551275463989
4,323,182,-1,2,2.23606797749979
5,321,184,-2,2,2.8284271247461903
6,322,187,1,3,3.1622776601683795
7,321,189,-1,2,2.23606797749979
8,321,192,0,3,3.0
9,321,194,0,2,2.0
10,321,196,0,2,2.0
11,321,199,0,3,3.0
12,324,202,3,3,4.242640687119285
13,320,203,-4,1,4.123105625617661
14,324,206,4,3,5.0
15,322,209,-2,3,3.605551275463989
16,322,211,0,2,2.0
17,322,213,0,2,2.0
18,321,216,-1,3,3.1622776601683795
19,317,219,-4,3,5.0
20,319,221,2,2,2.8284271247461903
21,323,223,4,2,4.47213595499958
22,323,226,0,3,3.0
23,322,228,-1,2,2.23606797749979
24,319,231,-3,3,4.242640687119285
25,320,233,1,2,2.23606797749979
26,320,236,0,3,3.0
27,321,239,1,3,3.1622776601683795
28,322,241,1,2,2.23606797749979
29,321,244,-1,3,3.1622776601683795
30,320,246,-1,2,2.23606797749979
31,321,248,1,2,2.23606797749979
32,319,251,-2,3,3.605551275463989
33,320,253,1,2,2.23606797749979
34,319,256,-1,3,3.1622776601683795
35,320,258,1,2,2.23606797749979
36,319,261,-1,3,3.1622776601683795
37,319,263,0,2,2.0
38,319,266,0,3,3.0
39,318,268,-1,2,2.23606797749979
40,319,270,1,2,2.23606797749979
41,317,273,-2,3,3.605551275463989
42,318,275,1,2,2.23606797749979
43,318,278,0,3,3.0
44,315,280,-3,2,3.605551275463989
45,315,282,0,2,2.0
46,317,284,2,2,2.8284271247461903
47,315,287,-2,3,3.605551275463989
48,314,289,-1,2,2.23606797749979
49,316,292,2,3,3.605551275463989
50,313,294,-3,2,3.605551275463989
51,312,296,-0.08000000000000002,2.4,2.4013329631685814
52,315,299,3,3,4.242640687119285
53,314,301,-1,2,2.23606797749979
54,314,303,0.0368,2.48,2.48027301723016
55,313,305,-0.04172800000000001,2.3760000000000003,2.3763663913597166
56,315,308,2,3,3.605551275463989
57,312,310,-3,2,3.605551275463989
58,311,312,-0.08019712000000001,2.3712000000000004,2.372555798723456
59,310,314,-0.04340500480000001,2.44544,2.4458251752816857
60,309,316,-0.046613204992,2.4385280000000003,2.4389734721115004
