Frame,X,Y,dX,dY,Magnitude
0,472,82,0,0,0.0
1,472,90,0,8,8.0
2,469,101,-3,11,11.40175425099138
3,470,109,1,8,8.06225774829855
4,475,113,5,4,6.4031242374328485
5,469,125,-6,12,13.416407864998739
6,470,136,1,11,11.045361017187261
7,470,145,0,9,9.0
8,471,154,1,9,9.055385138137417
9,471,163,0,9,9.0
10,472,172,1,9,9.055385138137417
11,472,181,0,9,9.0
12,474,190,2,9,9.219544457292887
13,474,199,0,9,9.0
14,476,207,2,8,8.246211251235321
15,477,217,1,10,10.04987562112089
16,478,225,1,8,8.06225774829855
17,479,234,1,9,9.055385138137417
18,480,243,1,9,9.055385138137417
19,482,252,2,9,9.219544457292887
20,483,260,1,8,8.06225774829855
21,484,269,1,9,9.055385138137417
22,485,278,1,9,9.055385138137417
23,486,286,1,8,8.06225774829855
24,487,295,1,9,9.055385138137417
25,487,304,0,9,9.0
26,488,313,1,9,9.055385138137417
27,488,322,0,9,9.0
28,488,331,0,9,9.0
29,487,340,-1,9,9.055385138137417
30,487,349,0,9,9.0
31,487,358,0,9,9.0
32,486,367,-1,9,9.055385138137417
33,486,377,0,10,10.0
34,485,386,-1,9,9.055385138137417
35,485,395,0,9,9.0
36,483,403,-2,8,8.246211251235321
37,483,412,0,9,9.0
38,482,421,-1,9,9.055385138137417
39,480,430,-2,9,9.219544457292887
40,478,439,-2,9,9.219544457292887
41,477,448,-1,9,9.055385138137417
42,476,457,-1,9,9.055385138137417
43,475,466,-1,9,9.055385138137417
44,473,474,-2,8,8.246211251235321
45,472,483,-1,9,9.055385138137417
46,470,492,-2,9,9.219544457292887
47,468,501,-2,9,9.219544457292887
48,467,510,-1,9,9.055385138137417
49,466,518,-1,8,8.06225774829855
50,465,527,-1,9,9.055385138137417
51,464,536,-1,9,9.055385138137417
52,463,545,-1,9,9.055385138137417
53,462,553,-1,8,8.06225774829855
54,461,562,-1,9,9.055385138137417
55,461,571,0,9,9.0
56,461,580,0,9,9.0
57,460,589,-1,9,9.055385138137417
58,461,598,1,9,9.055385138137417
59,461,607,0,9,9.0
60,461,616,0,9,9.0
61,461,625,0,9,9.0
62,461,634,0,9,9.0
63,462,643,1,9,9.055385138137417
64,463,652,1,9,9.055385138137417
65,463,661,0,9,9.0
66,465,669,2,8,8.246211251235321
67,466,679,1,10,10.04987562112089
68,467,687,1,8,8.06225774829855
69,468,696,1,9,9.055385138137417
70,471,704,3,8,8.54400374531753
71,468,711,-3,7,7.615773105863909
72,469,717,1,6,6.082762530298219
73,470,728,1,11,11.045361017187261
74,472,737,2,9,9.219544457292887
75,473,744,1,7,7.0710678118654755
76,474,753,1,9,9.055385138137417
77,478,766,4,13,13.601470508735444
78,478,774,0,8,8.0
79,478,783,0,9,9.0
80,478,791,0,8,8.0
81,478,800,0.2,9.4,9.402127418834528
82,478,809,0.16800000000000004,9.48,9.48148849073815
83,478,817,0.014720000000000004,8.776,8.776012344932065
84,478,825,0.015308800000000004,8.931199999999999,8.931213120251773
85,478,833,0.015921152000000004,8.91744,8.917454212760557
86,478,842,0.016557998080000004,9.100928,9.100943062588867
87,478,851,0.009220318003200003,9.0411136,9.04111830153599
88,478,859,0.002869130723328001,8.95333632,8.953336779711922
89,475,868,-3,9,9.486832980505138
90,471,877,-4,9,9.848857801796104
91,470,885,-1,8,8.06225774829855
92,470,893,0,8,8.0
93,469,902,-1,9,9.055385138137417
94,466,911,-3,9,9.486832980505138
95,463,920,-3,9,9.486832980505138
96,461,927,-2,7,7.280109889280518
