Frame,X,Y,dX,dY,Magnitude
0,405,50,0,-1,1.0
1,406,50,1,0,1.0
2,410,50,4,0,4.0
3,410,53,0.33333333333333337,3,3.018461712712472
4,410,56,0.26666666666666666,3,3.0118285328204046
5,410,59,0.22399999999999998,3,3.0083510433458396
6,410,62,0.23296000000000003,3,3.009031465704538
7,410,64,0.20227840000000002,2.4,2.408509196807552
8,410,66,0.050369536000000006,2.88,2.8804404333637685
9,410,68,0.039050984106666665,2.8560000000000003,2.8562669657018582
10,402,77,-8,9,12.041594578792296
11,402,78,0,1,1.0
12,400,80,-2,2,2.8284271247461903
13,400,82,0,2,2.0
14,398,84,-2,2,2.8284271247461903
15,398,86,0,2,2.0
16,399,89,1,3,3.1622776601683795
17,400,91,1,2,2.23606797749979
18,401,93,1,2,2.23606797749979
19,404,96,3,3,4.242640687119285
20,406,99,2,3,3.605551275463989
21,407,103,1,4,4.123105625617661
22,409,105,2,2,2.8284271247461903
23,410,106,1,1,1.4142135623730951
24,412,108,2,2,2.8284271247461903
25,413,110,1,2,2.23606797749979
26,416,110,3,0,3.0
27,416,113,0.36000000000000004,3,3.0215227948834014
28,416,116,0.2944,3,3.0144106156925603
29,409,120,-7,4,8.06225774829855
30,410,121,1,1,1.4142135623730951
31,416,126,6,5,7.810249675906654
32,414,128,-2,2,2.8284271247461903
33,411,132,-3,4,5.0
34,406,133,-5,1,5.0990195135927845
35,403,135,-3,2,3.605551275463989
36,403,138,0,3,3.0
37,403,140,0,2,2.0
38,401,142,-2,2,2.8284271247461903
39,402,144,1,2,2.23606797749979
40,403,147,1,3,3.1622776601683795
41,404,150,1,3,3.1622776601683795
42,406,152,2,2,2.8284271247461903
43,408,155,2,3,3.605551275463989
44,410,157,2,2,2.8284271247461903
45,413,160,3,3,4.242640687119285
46,415,162,2,2,2.8284271247461903
47,417,164,2,2,2.8284271247461903
48,418,166,1,2,2.23606797749979
49,419,168,1,2,2.23606797749979
50,418,171,-1,3,3.1622776601683795
51,423,170,5,-1,5.0990195135927845
52,424,173,1,3,3.1622776601683795
53,409,181,-15,8,17.0
54,422,180,13,-1,13.038404810405298
55,423,181,1,1,1.4142135623730951
56,420,185,-3,4,5.0
57,413,188,-7,3,7.615773105863909
58,411,188,-2,0,2.0
59,409,191,-2,3,3.605551275463989
60,409,193,0,2,2.0
61,408,195,-1,2,2.23606797749979
62,409,197,1,2,2.23606797749979
63,409,199,0,2,2.0
64,410,201,1,2,2.23606797749979
65,411,204,1,3,3.1622776601683795
66,413,206,2,2,2.8284271247461903
67,415,208,2,2,2.8284271247461903
68,418,211,3,3,4.242640687119285
69,419,213,1,2,2.23606797749979
70,421,215,2,2,2.8284271247461903
71,422,217,1,2,2.23606797749979
72,423,219,1,2,2.23606797749979
73,429,219,6,0,6.0
74,417,226,-12,7,13.892443989449804
75,414,230,-3,4,5.0
76,422,230,8,0,8.0
77,419,233,-3,3,4.242640687119285
78,420,235,1,2,2.23606797749979
79,417,237,-3,2,3.605551275463989
80,417,239,0,2,2.0
81,415,241,-2,2,2.8284271247461903
82,414,243,-1,2,2.23606797749979
83,413,245,-1,2,2.23606797749979
84,413,247,0,2,2.0
85,413,250,0,3,3.0
86,414,252,1,2,2.23606797749979
87,413,254,-1,2,2.23606797749979
88,414,256,1,2,2.23606797749979
89,416,259,2,3,3.605551275463989
90,417,261,1,2,2.23606797749979
91,419,263,2,2,2.8284271247461903
92,421,266,2,3,3.605551275463989
93,422,268,1,2,2.23606797749979
94,424,271,2,3,3.605551275463989
95,425,273,1,2,2.23606797749979
96,426,276,1,3,3.1622776601683795
97,426,278,0,2,2.0
98,426,281,0,3,3.0
99,425,283,-1,2,2.23606797749979
100,424,286,-1,3,3.1622776601683795
101,423,288,-1,2,2.23606797749979
102,421,291,-2,3,3.605551275463989
103,419,293,-2,2,2.8284271247461903
104,417,296,-2,3,3.605551275463989
105,416,298,-1,2,2.23606797749979
106,415,300,-1,2,2.23606797749979
107,413,303,-2,3,3.605551275463989
108,412,305,-1,2,2.23606797749979
109,413,307,1,2,2.23606797749979
110,413,309,0,2,2.0
111,413,311,0,2,2.0
112,414,314,1,3,3.1622776601683795
113,415,316,1,2,2.23606797749979
114,416,318,1,2,2.23606797749979
115,418,321,2,3,3.605551275463989
116,419,323,1,2,2.23606797749979
117,420,326,1,3,3.1622776601683795
118,421,328,1,2,2.23606797749979
119,422,331,1,3,3.1622776601683795
120,423,333,1,2,2.23606797749979
121,423,336,0,3,3.0
122,422,338,-1,2,2.23606797749979
123,421,340,-1,2,2.23606797749979
124,421,342,0,2,2.0
125,420,345,-1,3,3.1622776601683795
126,418,347,-2,2,2.8284271247461903
127,417,350,-1,3,3.1622776601683795
128,415,352,-2,2,2.8284271247461903
129,414,355,-1,3,3.1622776601683795
130,413,357,-1,2,2.23606797749979
131,412,359,-1,2,2.23606797749979
132,411,362,-1,3,3.1622776601683795
133,411,364,0,2,2.0
134,411,366,0,2,2.0
135,411,368,0,2,2.0
136,413,371,2,3,3.605551275463989
137,413,373,0,2,2.0
138,414,375,1,2,2.23606797749979
139,416,377,2,2,2.8284271247461903
140,417,380,1,3,3.1622776601683795
141,418,382,1,2,2.23606797749979
142,419,385,1,3,3.1622776601683795
143,421,388,2,3,3.605551275463989
144,421,391,0,3,3.0
145,422,393,1,2,2.23606797749979
146,421,396,-1,3,3.1622776601683795
147,420,398,-1,2,2.23606797749979
148,420,400,0,2,2.0
149,419,402,-1,2,2.23606797749979
150,417,405,-2,3,3.605551275463989
151,415,407,-2,2,2.8284271247461903
152,414,409,-1,2,2.23606797749979
153,412,411,-2,2,2.8284271247461903
154,411,413,-1,2,2.23606797749979
155,410,415,-1,2,2.23606797749979
156,409,418,-1,3,3.1622776601683795
157,409,420,0,2,2.0
158,410,423,1,3,3.1622776601683795
159,410,425,0,2,2.0
160,410,428,0,3,3.0
161,411,430,1,2,2.23606797749979
162,413,433,2,3,3.605551275463989
163,414,435,1,2,2.23606797749979
164,416,438,2,3,3.605551275463989
165,417,440,1,2,2.23606797749979
166,418,443,1,3,3.1622776601683795
167,420,445,2,2,2.8284271247461903
168,421,448,1,3,3.1622776601683795
169,421,451,0,3,3.0
170,421,453,0,2,2.0
171,421,456,0,3,3.0
172,420,458,-1,2,2.23606797749979
173,420,461,0,3,3.0
174,418,463,-2,2,2.8284271247461903
175,416,466,-2,3,3.605551275463989
176,414,467,-2,1,2.23606797749979
177,413,469,-1,2,2.23606797749979
178,412,471,-1,2,2.23606797749979
179,410,473,-2,2,2.8284271247461903
180,409,475,-1,2,2.23606797749979
181,409,477,0,2,2.0
182,408,480,-1,3,3.1622776601683795
183,409,483,1,3,3.1622776601683795
184,409,485,0,2,2.0
185,410,488,1,3,3.1622776601683795
186,411,490,1,2,2.23606797749979
187,413,493,2,3,3.605551275463989
188,415,495,2,2,2.8284271247461903
189,418,497,3,2,3.605551275463989
190,419,499,1,2,2.23606797749979
191,421,501,2,2,2.8284271247461903
192,422,503,1,2,2.23606797749979
193,423,506,1,3,3.1622776601683795
194,424,507,1,1,1.4142135623730951
195,424,509,0,2,2.0
196,423,512,-1,3,3.1622776601683795
197,429,512,6,0,6.0
198,428,515,-1,3,3.1622776601683795
199,427,518,-1,3,3.1622776601683795
200,427,521,0,3,3.0
201,415,526,-12,5,13.0
202,413,528,-2,2,2.8284271247461903
203,413,529,0,1,1.0
204,410,530,-3,1,3.1622776601683795
205,408,532,-2,2,2.8284271247461903
206,407,534,-1,2,2.23606797749979
207,407,536,0,2,2.0
208,407,539,0,3,3.0
209,407,540,0,1,1.0
210,407,543,0,3,3.0
211,409,546,2,3,3.605551275463989
212,410,549,1,3,3.1622776601683795
213,412,551,2,2,2.8284271247461903
214,414,554,2,3,3.605551275463989
215,416,556,2,2,2.8284271247461903
216,417,558,1,2,2.23606797749979
217,419,560,2,2,2.8284271247461903
218,420,562,1,2,2.23606797749979
219,419,563,-1,1,1.4142135623730951
220,425,564,6,1,6.082762530298219
221,419,569,-6,5,7.810249675906654
222,426,569,7,0,7.0
223,416,576,-10,7,12.206555615733702
224,417,578,1,2,2.23606797749979
225,414,581,-3,3,4.242640687119285
226,417,583,3,2,3.605551275463989
227,410,585,-7,2,7.280109889280518
228,409,587,-1,2,2.23606797749979
229,406,589,-3,2,3.605551275463989
230,405,591,-1,2,2.23606797749979
231,405,593,0,2,2.0
232,404,595,-1,2,2.23606797749979
233,405,597,1,2,2.23606797749979
234,406,600,1,3,3.1622776601683795
235,407,602,1,2,2.23606797749979
236,408,605,1,3,3.1622776601683795
237,410,607,2,2,2.8284271247461903
238,411,610,1,3,3.1622776601683795
239,413,613,2,3,3.605551275463989
240,415,615,2,2,2.8284271247461903
241,416,617,1,2,2.23606797749979
242,417,619,1,2,2.23606797749979
243,423,620,6,1,6.082762530298219
244,423,622,0,2,2.0
245,423,625,0.4,3,3.026549190084311
246,423,628,0,3,3.0
247,424,631,1,3,3.1622776601683795
248,424,633,0.296,2.4,2.418184442924071
249,424,635,0.06784,2.68,2.6808584941395175
250,415,642,-9,7,11.40175425099138
251,422,643,7,1,7.0710678118654755
252,420,646,-2,3,3.605551275463989
253,414,645,-6,-1,6.082762530298219
254,415,649,1,4,4.123105625617661
255,415,651,0,2,2.0
256,418,654,3,3,4.242640687119285
257,414,655,-4,1,4.123105625617661
258,416,657,2,2,2.8284271247461903
259,417,659,1,2,2.23606797749979
260,418,661,1,2,2.23606797749979
261,420,663,2,2,2.8284271247461903
262,421,665,1,2,2.23606797749979
263,421,668,0,3,3.0
264,423,670,2,2,2.8284271247461903
265,422,673,-1,3,3.1622776601683795
266,422,675,0,2,2.0
267,422,677,0.08000000000000002,2.4,2.4013329631685814
268,422,679,0.04320000000000001,2.48,2.4803762295264806
269,429,680,7,1,7.0710678118654755
270,428,683,-1,3,3.1622776601683795
271,426,687,-2,4,4.47213595499958
272,422,691,-4,4,5.656854249492381
273,419,694,-3,3,4.242640687119285
274,420,696,1,2,2.23606797749979
275,420,697,0,1,1.0
276,417,700,-3,3,4.242640687119285
277,417,701,0,1,1.0
278,416,703,-1,2,2.23606797749979
279,413,703,-3,0,3.0
280,418,709,5,6,7.810249675906654
281,417,709,-1,0,1.0
282,413,710,-4,1,4.123105625617661
283,413,711,0,1,1.0
284,416,713,3,2,3.605551275463989
285,417,715,1,2,2.23606797749979
286,415,718,-2,3,3.605551275463989
287,416,721,1,3,3.1622776601683795
288,416,723,0.12,2.2,2.203270296627266
289,428,726,12,3,12.36931687685298
290,414,732,-14,6,15.231546211727817
291,417,733,3,1,3.1622776601683795
292,419,734,2,1,2.23606797749979
293,421,735,2,1,2.23606797749979
294,420,737,-1,2,2.23606797749979
295,418,739,-2,2,2.8284271247461903
296,417,741,-1,2,2.23606797749979
297,415,743,-2,2,2.8284271247461903
298,414,744,-1,1,1.4142135623730951
299,412,746,-2,2,2.8284271247461903
300,411,748,-1,2,2.23606797749979
301,410,750,-1,2,2.23606797749979
302,408,753,-2,3,3.605551275463989
303,415,761,7,8,10.63014581273465
304,413,762,-2,1,2.23606797749979
305,414,764,1,2,2.23606797749979
306,415,767,1,3,3.1622776601683795
307,421,770,6,3,6.708203932499369
308,417,771,-4,1,4.123105625617661
309,419,773,2,2,2.8284271247461903
310,421,775,2,2,2.8284271247461903
311,423,776,2,1,2.23606797749979
312,425,778,2,2,2.8284271247461903
313,426,780,1,2,2.23606797749979
314,427,782,1,2,2.23606797749979
315,427,784,0,2,2.0
316,427,786,0,2,2.0
317,427,788,0.16000000000000003,2.0,2.0063897926375125
318,427,790,0.08640000000000002,2.0,2.001865370098599
319,427,792,0.04985600000000001,2.0,2.0006213086778817
320,427,794,0.011850240000000005,2.0,2.0000351067388937
321,427,796,0.012324249600000003,2.0,2.0000379714215937
322,427,798,0.012817219584000004,2.0,2.000041069857783
323,427,800,0.006929908367360002,2.0,2.0000120058714597
324,427,802,0.003751104702054402,2.0,2.000003517693528
325,427,804,0.0019069088901365766,2.0,2.000000909075172
326,427,806,0.0015091756457420395,2.0,2.0000005694027014
327,427,808,0.0010765726875717212,2.0,2.0000002897521667
328,427,810,0.0006069468117145898,2.0,2.000000092096106
329,427,812,0.0003540283494887732,2.0,2.0000000313340176
330,427,814,0.00021814529538614804,2.0,2.000000011896842
331,427,816,0.0001505947515961309,2.0,2.0000000056696945
332,427,818,9.625151583029455e-05,2.0,2.0000000023160887
333,427,820,5.703866896063746e-05,2.0,2.0000000008133525
334,427,822,3.504234325047937e-05,2.0,2.0000000003069913
335,427,824,2.2282903000947618e-05,2.0,2.000000000124132
336,427,826,1.4448407305539595e-05,2.0,2.000000000052189
337,427,828,9.002553533915943e-06,2.0,2.0000000000202616
338,427,830,5.512595042060801e-06,2.0,2.000000000007597
339,427,832,3.4515520853177333e-06,2.0,2.000000000002978
340,427,834,2.1879204387112676e-06,2.0,2.000000000001197
341,427,836,1.3841211362218138e-06,2.0,2.0000000000004787
342,427,838,8.615496894491022e-07,2.0,2.0000000000001856
343,427,840,5.359095356704288e-07,2.0,2.0000000000000715
344,427,842,3.368421154148138e-07,2.0,2.0000000000000284
345,427,844,2.1225371661869708e-07,2.0,2.000000000000011
346,427,846,1.3322704773499422e-07,2.0,2.0000000000000044
347,427,848,8.319128419552145e-08,2.0,2.0000000000000018
348,427,850,5.2056947985378224e-08,2.0,2.0000000000000004
349,427,852,3.2702844477976194e-08,2.0,2.0
350,427,854,2.0537273640502692e-08,2.0,2.0
351,427,856,1.2868615921374915e-08,2.0,2.0
352,427,858,8.054278648830139e-09,2.0,2.0
