Frame,X,Y,dX,dY,Magnitude
0,454,80,0,-1,1.0
1,456,89,2,9,9.219544457292887
2,466,95,10,6,11.661903789690601
3,459,110,-7,15,16.55294535724685
4,454,117,-5,7,8.602325267042627
5,458,137,4,20,20.396078054371138
6,459,147,1,10,10.04987562112089
7,458,159,-1,12,12.041594578792296
8,458,170,0,11,11.0
9,457,181,-1,11,11.045361017187261
10,456,192,-1,11,11.045361017187261
11,455,203,-1,11,11.045361017187261
12,455,215,0,12,12.0
13,455,227,0,12,12.0
14,454,238,-1,11,11.045361017187261
15,454,250,0,12,12.0
16,453,262,-1,12,12.041594578792296
17,453,273,0,11,11.0
18,453,285,0,12,12.0
19,452,296,-1,11,11.045361017187261
20,453,308,1,12,12.041594578792296
21,452,320,-1,12,12.041594578792296
22,452,332,0,12,12.0
23,452,344,0,12,12.0
24,452,356,0,12,12.0
25,452,367,0,11,11.0
26,452,379,0,12,12.0
27,452,390,0,11,11.0
28,451,402,-1,12,12.041594578792296
29,451,414,0,12,12.0
30,451,425,0,11,11.0
31,451,437,0,12,12.0
32,451,449,0,12,12.0
33,452,461,1,12,12.041594578792296
34,453,472,1,11,11.045361017187261
35,452,484,-1,12,12.041594578792296
36,453,496,1,12,12.041594578792296
37,453,507,0,11,11.0
38,453,519,0,12,12.0
39,453,530,0,11,11.0
40,454,542,1,12,12.041594578792296
41,454,553,0,11,11.0
42,455,564,1,11,11.045361017187261
43,455,576,0,12,12.0
44,456,587,1,11,11.045361017187261
45,456,599,0,12,12.0
46,457,611,1,12,12.041594578792296
47,458,622,1,11,11.045361017187261
48,458,634,0,12,12.0
49,459,646,1,12,12.041594578792296
50,460,658,1,12,12.041594578792296
51,460,668,0,10,10.0
52,461,680,1,12,12.041594578792296
53,463,692,2,12,12.165525060596439
54,464,702,1,10,10.04987562112089
55,460,712,-4,10,10.770329614269007
56,462,719,2,7,7.280109889280518
57,464,734,2,15,15.132745950421556
58,465,742,1,8,8.06225774829855
59,466,750,1,8,8.06225774829855
60,466,759,0.08000000000000002,9.6,9.600333327546497
61,466,768,0.2432,9.52,9.52310591351372
62,466,778,0.172928,10.024000000000001,10.025491513795421
63,478,797,12,19,22.47220505424423
64,478,808,0.5398451200000001,11.228800000000001,11.241769531243195
65,478,819,0.5214389248000001,11.874559999999999,11.886003270481485
66,478,831,0.5390964817920001,12.329471999999999,12.341252157518882
67,478,843,0.5509323410636802,12.891366399999999,12.903133499405438
68,478,856,0.5660525147062273,13.464839679999997,13.476732655117399
69,482,873,4,17,17.46424919657298
70,482,884,0,11,11.0
71,482,895,0,11,11.0
72,483,906,1,11,11.045361017187261
73,483,917,0,11,11.0
74,484,927,1,10,10.04987562112089
