Frame,X,Y,dX,dY,Magnitude
0,443,140,0,0,0.0
1,444,150,1,10,10.04987562112089
2,444,159,0,9,9.0
3,444,168,0,9,9.0
4,444,177,0,9,9.0
5,443,187,-1,10,10.04987562112089
6,443,196,0,9,9.0
7,442,204,-1,8,8.06225774829855
8,442,214,0,10,10.0
9,441,223,-1,9,9.055385138137417
10,440,231,-1,8,8.06225774829855
11,439,241,-1,10,10.04987562112089
12,438,249,-1,8,8.06225774829855
13,437,258,-1,9,9.055385138137417
14,435,268,-2,10,10.198039027185569
15,434,276,-1,8,8.06225774829855
16,433,285,-1,9,9.055385138137417
17,431,294,-2,9,9.219544457292887
18,430,302,-1,8,8.06225774829855
19,428,311,-2,9,9.219544457292887
20,426,320,-2,9,9.219544457292887
21,425,329,-1,9,9.055385138137417
22,424,338,-1,9,9.055385138137417
23,422,347,-2,9,9.219544457292887
24,421,356,-1,9,9.055385138137417
25,420,365,-1,9,9.055385138137417
26,419,374,-1,9,9.055385138137417
27,418,383,-1,9,9.055385138137417
28,416,391,-2,8,8.246211251235321
29,414,401,-2,10,10.198039027185569
30,413,410,-1,9,9.055385138137417
31,412,419,-1,9,9.055385138137417
32,411,428,-1,9,9.055385138137417
33,408,438,-3,10,10.44030650891055
34,410,446,2,8,8.246211251235321
35,409,455,-1,9,9.055385138137417
36,410,465,1,10,10.04987562112089
37,409,474,-1,9,9.055385138137417
38,409,483,0,9,9.0
39,409,492,0,9,9.0
40,408,501,-1,9,9.055385138137417
41,408,511,0,10,10.0
42,407,520,-1,9,9.055385138137417
43,407,528,0,8,8.0
44,407,538,0,10,10.0
45,407,547,0,9,9.0
46,407,555,0,8,8.0
47,407,565,0,10,10.0
48,406,574,-1,9,9.055385138137417
49,406,583,0,9,9.0
50,405,592,-1,9,9.055385138137417
51,404,601,-1,9,9.055385138137417
52,403,610,-1,9,9.055385138137417
53,402,619,-1,9,9.055385138137417
54,400,628,-2,9,9.219544457292887
55,399,637,-1,9,9.055385138137417
56,398,646,-1,9,9.055385138137417
57,397,655,-1,9,9.055385138137417
58,396,664,-1,9,9.055385138137417
59,395,674,-1,10,10.04987562112089
60,393,683,-2,9,9.219544457292887
61,392,692,-1,9,9.055385138137417
62,391,700,-1,8,8.06225774829855
63,389,707,-2,7,7.280109889280518
64,388,716,-1,9,9.055385138137417
65,384,723,-4,7,8.06225774829855
66,386,736,2,13,13.152946437965905
67,386,741,0,5,5.0
68,384,757,-2,16,16.1245154965971
69,383,765,-1,8,8.06225774829855
70,382,774,-1,9,9.055385138137417
71,382,782,0,8,8.0
