Frame,X,Y,dX,dY,Magnitude
0,438,146,0,-1,1.0
1,437,159,-1,13,13.038404810405298
2,437,170,0,11,11.0
3,436,182,-1,12,12.041594578792296
4,436,193,0,11,11.0
5,434,204,-2,11,11.180339887498949
6,434,216,0,12,12.0
7,433,227,-1,11,11.045361017187261
8,431,238,-2,11,11.180339887498949
9,431,249,0,11,11.0
10,430,261,-1,12,12.041594578792296
11,429,273,-1,12,12.041594578792296
12,428,284,-1,11,11.045361017187261
13,427,296,-1,12,12.041594578792296
14,426,307,-1,11,11.045361017187261
15,426,320,0,13,13.0
16,426,333,0,13,13.0
17,425,344,-1,11,11.045361017187261
18,424,355,-1,11,11.045361017187261
19,423,367,-1,12,12.041594578792296
20,422,379,-1,12,12.041594578792296
21,421,391,-1,12,12.041594578792296
22,419,402,-2,11,11.180339887498949
23,421,414,2,12,12.165525060596439
24,418,426,-3,12,12.36931687685298
25,417,437,-1,11,11.045361017187261
26,416,449,-1,12,12.041594578792296
27,416,461,0,12,12.0
28,415,472,-1,11,11.045361017187261
29,414,485,-1,13,13.038404810405298
30,414,497,0,12,12.0
31,414,508,0,11,11.0
32,413,520,-1,12,12.041594578792296
33,413,531,0,11,11.0
34,413,544,0,13,13.0
35,413,555,0,11,11.0
36,413,566,0,11,11.0
37,413,578,0,12,12.0
38,413,589,0,11,11.0
39,414,601,1,12,12.041594578792296
40,415,613,1,12,12.041594578792296
41,416,623,1,10,10.04987562112089
42,416,635,0,12,12.0
43,417,647,1,12,12.041594578792296
44,417,658,0,11,11.0
45,419,669,2,11,11.180339887498949
46,420,681,1,12,12.041594578792296
47,421,692,1,11,11.045361017187261
48,416,699,-5,7,8.602325267042627
49,419,711,3,12,12.36931687685298
50,420,719,1,8,8.06225774829855
51,423,734,3,15,15.297058540778355
52,424,742,1,8,8.06225774829855
53,427,756,3,14,14.317821063276353
54,429,771,2,15,15.132745950421556
55,430,782,1,11,11.045361017187261
