Frame,X,Y,dX,dY,Magnitude
0,760,185,-1,0,1.0
1,759,188,-1,3,3.1622776601683795
2,760,189,1,1,1.4142135623730951
3,759,192,-1,3,3.1622776601683795
4,759,194,0,2,2.0
5,759,196,0,2,2.0
6,760,198,1,2,2.23606797749979
7,760,200,0,2,2.0
8,761,202,1,2,2.23606797749979
9,760,204,-1,2,2.23606797749979
10,760,207,0,3,3.0
11,760,209,0,2,2.0
12,762,210,2,1,2.23606797749979
13,761,213,-1,3,3.1622776601683795
14,761,215,0,2,2.0
15,762,217,1,2,2.23606797749979
16,762,219,0,2,2.0
17,762,220,0,1,1.0
18,762,223,0,3,3.0
19,762,225,0,2,2.0
20,763,227,1,2,2.23606797749979
21,761,230,-2,3,3.605551275463989
22,761,232,0,2,2.0
23,763,234,2,2,2.8284271247461903
24,763,235,0,1,1.0
25,761,238,-2,3,3.605551275463989
26,763,240,2,2,2.8284271247461903
27,763,242,0,2,2.0
28,764,243,1,1,1.4142135623730951
29,764,246,0,3,3.0
30,763,248,-1,2,2.23606797749979
31,764,250,1,2,2.23606797749979
32,764,253,0,3,3.0
33,764,255,0,2,2.0
34,764,257,0,2,2.0
35,765,258,1,1,1.4142135623730951
36,765,261,0,3,3.0
37,764,263,-1,2,2.23606797749979
38,765,265,1,2,2.23606797749979
39,765,268,0,3,3.0
40,765,270,0,2,2.0
41,763,272,-2,2,2.8284271247461903
42,765,274,2,2,2.8284271247461903
43,765,276,0,2,2.0
44,764,278,-1,2,2.23606797749979
45,764,281,0,3,3.0
46,765,282,1,1,1.4142135623730951
47,764,284,-1,2,2.23606797749979
48,766,287,2,3,3.605551275463989
49,765,289,-1,2,2.23606797749979
50,766,291,1,2,2.23606797749979
51,766,293,0,2,2.0
52,764,295,-2,2,2.8284271247461903
53,765,297,1,2,2.23606797749979
54,764,299,-1,2,2.23606797749979
55,764,301,0,2,2.0
56,767,304,3,3,4.242640687119285
57,765,305,-2,1,2.23606797749979
58,766,308,1,3,3.1622776601683795
59,767,310,1,2,2.23606797749979
60,766,312,-1,2,2.23606797749979
61,766,314,0,2,2.0
62,766,316,0,2,2.0
63,766,318,0,2,2.0
64,766,320,0,2,2.0
65,766,322,0,2,2.0
66,768,324,2,2,2.8284271247461903
67,768,327,0,3,3.0
68,767,328,-1,1,1.4142135623730951
69,767,331,0,3,3.0
70,767,333,0,2,2.0
71,768,335,1,2,2.23606797749979
72,767,337,-1,2,2.23606797749979
73,767,339,0,2,2.0
74,768,342,1,3,3.1622776601683795
75,767,343,-1,1,1.4142135623730951
76,767,346,0,3,3.0
77,768,347,1,1,1.4142135623730951
78,768,350,0,3,3.0
79,769,352,1,2,2.23606797749979
80,768,354,-1,2,2.23606797749979
81,768,356,0,2,2.0
82,769,358,1,2,2.23606797749979
83,769,360,0,2,2.0
84,769,362,0,2,2.0
85,769,364,0,2,2.0
86,768,366,-1,2,2.23606797749979
87,769,368,1,2,2.23606797749979
88,770,371,1,3,3.1622776601683795
89,771,372,1,1,1.4142135623730951
90,771,375,0,3,3.0
91,769,377,-2,2,2.8284271247461903
92,770,379,1,2,2.23606797749979
93,769,381,-1,2,2.23606797749979
94,769,383,0,2,2.0
95,769,385,0,2,2.0
96,770,387,1,2,2.23606797749979
97,770,390,0,3,3.0
98,772,391,2,1,2.23606797749979
99,771,393,-1,2,2.23606797749979
100,772,395,1,2,2.23606797749979
101,771,397,-1,2,2.23606797749979
102,772,399,1,2,2.23606797749979
103,771,401,-1,2,2.23606797749979
104,771,404,0,3,3.0
105,771,406,0,2,2.0
106,771,407,0,1,1.0
107,771,410,0,3,3.0
108,771,412,0,2,2.0
109,772,414,1,2,2.23606797749979
110,772,416,0,2,2.0
111,771,418,-1,2,2.23606797749979
112,771,420,0,2,2.0
113,772,422,1,2,2.23606797749979
114,772,424,0,2,2.0
115,772,426,0,2,2.0
116,771,429,-1,3,3.1622776601683795
117,772,431,1,2,2.23606797749979
118,772,433,0,2,2.0
119,773,435,1,2,2.23606797749979
120,772,437,-1,2,2.23606797749979
121,772,439,0,2,2.0
122,773,441,1,2,2.23606797749979
123,773,443,0,2,2.0
124,773,445,0,2,2.0
125,773,447,0,2,2.0
126,773,449,0,2,2.0
127,773,451,0,2,2.0
128,773,453,0,2,2.0
129,773,456,0,3,3.0
130,773,457,0,1,1.0
131,773,460,0,3,3.0
132,773,462,0,2,2.0
133,773,464,0,2,2.0
134,774,466,1,2,2.23606797749979
135,774,468,0,2,2.0
136,774,470,0,2,2.0
137,774,472,0,2,2.0
138,774,474,0,2,2.0
139,774,476,0,2,2.0
140,774,478,0,2,2.0
141,774,480,0,2,2.0
142,774,482,0,2,2.0
143,775,484,1,2,2.23606797749979
144,774,486,-1,2,2.23606797749979
145,775,489,1,3,3.1622776601683795
146,775,490,0,1,1.0
147,775,492,0,2,2.0
148,775,494,0,2,2.0
149,775,497,0,3,3.0
150,775,499,0,2,2.0
151,776,501,1,2,2.23606797749979
152,775,503,-1,2,2.23606797749979
153,775,505,0,2,2.0
154,776,507,1,2,2.23606797749979
155,776,509,0,2,2.0
156,776,511,0,2,2.0
157,776,513,0,2,2.0
158,776,515,0,2,2.0
159,776,517,0,2,2.0
160,777,519,1,2,2.23606797749979
161,776,521,-1,2,2.23606797749979
162,777,523,1,2,2.23606797749979
163,776,525,-1,2,2.23606797749979
164,776,527,0,2,2.0
165,776,529,0,2,2.0
166,777,532,1,3,3.1622776601683795
167,777,534,0,2,2.0
168,777,536,0,2,2.0
169,777,538,0,2,2.0
170,777,540,0,2,2.0
171,777,542,0,2,2.0
172,777,544,0,2,2.0
173,777,546,0,2,2.0
174,777,548,0,2,2.0
175,777,550,0,2,2.0
176,778,552,1,2,2.23606797749979
177,780,553,2,1,2.23606797749979
178,778,556,-2,3,3.605551275463989
179,778,558,0,2,2.0
180,779,560,1,2,2.23606797749979
181,779,562,0,2,2.0
182,780,562,1,0,1.0
183,777,565,-3,3,4.242640687119285
184,778,568,1,3,3.1622776601683795
185,780,569,2,1,2.23606797749979
186,778,574,-2,5,5.385164807134504
187,781,575,3,1,3.1622776601683795
188,779,578,-2,3,3.605551275463989
189,780,580,1,2,2.23606797749979
190,781,581,1,1,1.4142135623730951
191,779,584,-2,3,3.605551275463989
192,779,586,0,2,2.0
193,778,588,-1,2,2.23606797749979
194,779,593,1,5,5.0990195135927845
195,779,594,0,1,1.0
196,779,596,0,2,2.0
197,780,598,1,2,2.23606797749979
198,780,601,0,3,3.0
199,780,603,0,2,2.0
200,779,605,-1,2,2.23606797749979
201,779,606,0,1,1.0
202,779,609,0,3,3.0
203,779,611,0,2,2.0
204,779,613,0,2,2.0
205,779,615,0,2,2.0
206,779,617,0,2,2.0
207,780,619,1,2,2.23606797749979
208,780,622,0,3,3.0
209,780,623,0,1,1.0
210,780,625,0,2,2.0
211,780,627,0,2,2.0
212,780,629,0,2,2.0
213,780,631,0,2,2.0
214,780,633,0,2,2.0
215,780,636,0,3,3.0
216,780,637,0,1,1.0
217,780,640,0,3,3.0
218,780,642,0,2,2.0
219,780,643,0,1,1.0
220,781,646,1,3,3.1622776601683795
221,780,647,-1,1,1.4142135623730951
222,780,649,0,2,2.0
223,781,652,1,3,3.1622776601683795
224,780,654,-1,2,2.23606797749979
225,780,655,0,1,1.0
226,780,658,0,3,3.0
227,781,659,1,1,1.4142135623730951
228,781,662,0,3,3.0
229,781,664,0,2,2.0
230,781,666,0,2,2.0
231,781,668,0,2,2.0
232,781,670,0,2,2.0
233,781,671,0,1,1.0
234,781,674,0,3,3.0
235,781,676,0,2,2.0
236,781,678,0,2,2.0
237,781,680,0,2,2.0
238,781,682,0,2,2.0
239,782,684,1,2,2.23606797749979
240,781,686,-1,2,2.23606797749979
241,781,688,0,2,2.0
242,781,690,0,2,2.0
243,782,692,1,2,2.23606797749979
244,782,694,0,2,2.0
245,782,696,0,2,2.0
246,782,698,0,2,2.0
247,781,700,-1,2,2.23606797749979
248,782,702,1,2,2.23606797749979
249,781,704,-1,2,2.23606797749979
250,782,706,1,2,2.23606797749979
251,783,708,1,2,2.23606797749979
252,782,710,-1,2,2.23606797749979
253,782,714,0,4,4.0
254,782,716,0,2,2.0
255,783,718,1,2,2.23606797749979
256,783,725,0,7,7.0
257,783,726,0,1,1.0
258,783,730,0,4,4.0
259,782,732,-1,2,2.23606797749979
260,782,734,0,2,2.0
261,783,736,1,2,2.23606797749979
262,783,738,0,2,2.0
263,783,741,0,3,3.0
264,783,742,0,1,1.0
265,783,744,0,2,2.0
266,783,746,0,2,2.0
267,783,748,0,2,2.0
268,783,751,0,3,3.0
269,783,754,0,3,3.0
