Frame,X,Y,dX,dY,Magnitude
0,695,195,-3,1,3.1622776601683795
1,697,196,2,1,2.23606797749979
2,698,197,1,1,1.4142135623730951
3,698,199,0,2,2.0
4,698,202,0,3,3.0
5,698,204,0,2,2.0
6,698,206,0,2,2.0
7,699,208,1,2,2.23606797749979
8,699,210,0,2,2.0
9,698,213,-1,3,3.1622776601683795
10,699,214,1,1,1.4142135623730951
11,699,217,0,3,3.0
12,698,220,-1,3,3.1622776601683795
13,699,221,1,1,1.4142135623730951
14,699,223,0,2,2.0
15,699,225,0,2,2.0
16,699,227,0,2,2.0
17,699,229,0,2,2.0
18,698,231,-1,2,2.23606797749979
19,699,233,1,2,2.23606797749979
20,699,235,0,2,2.0
21,699,237,0,2,2.0
22,700,239,1,2,2.23606797749979
23,699,242,-1,3,3.1622776601683795
24,699,243,0,1,1.0
25,699,246,0,3,3.0
26,692,247,-7,1,7.0710678118654755
27,701,250,9,3,9.486832980505138
28,701,252,0,2,2.0
29,692,254,-9,2,9.219544457292887
30,692,255,0,1,1.0
31,692,258,0,3,3.0
32,692,260,0,2,2.0
33,691,262,-0.36000000000000004,2.0,2.032141727340886
34,690,264,-0.3744,2.0,2.034742086850321
35,689,266,-0.029376000000000003,2.0,2.0002157257096047
36,692,269,3,3,4.242640687119285
37,692,271,0.08944896000000001,2.2,2.201817684651725
38,692,273,0,2,2.0
39,692,275,0.10742691839999999,2.2399999999999998,2.2425745345020127
40,692,277,0.126699995136,2.288,2.2915053761157664
41,692,279,0.13294303494144,2.3456,2.3493644269332594
42,692,281,0.0182607563390976,2.21472,2.2147952802961437
43,692,283,0.015413228192661506,2.217664,2.2177175619314826
44,692,285,0.016029757320367967,2.2611967999999996,2.2612536172331463
45,692,287,0.012373870877182683,2.26543616,2.2654699529492843
46,692,289,0.0078008259068299895,2.260923392,2.260936849489082
47,692,291,0.00279513754544559,2.2439880704,2.243989811227184
48,692,293,0.0021765127936995096,2.24984168448,2.2498427372667065
49,692,295,0.0016470441777410296,2.256277221376,2.2562778225331046
50,692,297,0.0010717356520359522,2.2552933056512003,2.255293560300394
51,692,299,0.0006196502430300828,2.2532647347814403,2.253264819983683
52,692,301,0.0003324032164780866,2.251733003337728,2.251733027872586
53,692,303,0.00023389384331938646,2.253281989925274,2.253282002064529
54,692,305,0.00015618908530418152,2.2539700510143286,2.253970056425898
55,692,307,9.655488160670758e-05,2.253508616941994,2.253508619010512
56,692,309,5.75476507895378e-05,2.253151679200153,2.253151679935064
57,692,311,3.5063547099916e-05,2.2531290680838953,2.2531290683567273
58,692,313,2.3169960324789177e-05,2.253408281033129,2.253408281152248
59,692,315,1.474100500500528e-05,2.2534335392547,2.2534335393029146
60,692,317,9.083081793038233e-06,2.2533262369027747,2.2533262369210814
61,692,319,5.58420980049146e-06,2.2532897608949303,2.2532897609018496
62,692,321,3.5056721609296068e-06,2.253317377233886,2.253317377236613
63,692,323,2.24335716337015e-06,2.2533550390638837,2.253355039065
64,692,325,1.4062930369133892e-06,2.253344390670035,2.2533443906704735
65,692,327,8.729045581897137e-07,2.2533265609531017,2.253326560953271
66,692,329,5.444974687957728e-07,2.2533266257631674,2.253326625763233
67,692,331,3.4290897552794534e-07,2.2533339987368146,2.253333998736841
68,692,333,2.1639844811187888e-07,2.2533373230374005,2.2533373230374107
69,692,335,1.35320099501548e-07,2.2533337798321034,2.2533337798321074
70,692,337,8.448118200507435e-08,2.2533316576645177,2.253331657664519
71,692,339,5.2944246957688775e-08,2.2533326770068007,2.253332677006801
72,692,341,3.328211808416542e-08,2.2533338872555273,2.2533338872555273
73,692,343,2.0897043786414216e-08,2.25333386495927,2.25333386495927
74,692,345,1.307698761339563e-08,2.253333173343644,2.253333173343644
75,692,347,8.187263137869536e-09,2.253333052045952,2.253333052045952
76,692,349,5.135506383181343e-09,2.2533333309222394,2.2533333309222394
77,702,349,10,0,10.0
78,702,351,0,2,2.0
79,710,354,8,3,8.54400374531753
80,712,357,2,3,3.605551275463989
81,711,358,-1,1,1.4142135623730951
82,712,360,1,2,2.23606797749979
83,711,363,-1,3,3.1622776601683795
84,712,365,1,2,2.23606797749979
85,711,367,-1,2,2.23606797749979
86,710,369,-1,2,2.23606797749979
87,710,370,0,1,1.0
88,709,372,-0.08000000000000002,2.0,2.001599360511489
89,711,375,2,3,3.605551275463989
90,712,377,1,2,2.23606797749979
91,711,378,-1,1,1.4142135623730951
92,711,381,0.07680000000000001,3,3.0009828789914814
93,712,382,1,1,1.4142135623730951
94,712,384,0.12307200000000001,2.0,2.0037831013320777
95,712,387,0.047994880000000004,3,3.000383893521996
96,712,389,0.0099146752,2.0,2.000024575045097
97,712,391,0.05031126220800001,2.2,2.200575202783346
98,710,391,-2,0,2.0
99,709,394,-0.07074828730368,3,3.0008341040711337
100,708,396,-0.07850109879582721,2.04,2.0415098389457134
101,714,399,6,3,6.708203932499369
102,714,400,0,1,1.0
103,714,403,0.15403002455601972,3,3.003951605546389
104,714,405,0.24019122553826053,2.408,2.4199495500579284
105,714,407,0.25262880605193816,2.2895999999999996,2.3034950561369185
106,714,409,0.26587400224584873,2.33952,2.354579116417672
107,716,410,2,1,2.23606797749979
108,716,412,0.1165089623356827,2.207424,2.210496562784149
109,715,416,-1,4,4.123105625617661
110,716,417,1,1,1.4142135623730951
111,716,419,0.09529531858326126,2.1093888,2.1115402689291356
112,716,421,0.08847217123675777,2.06336256,2.0652584291301412
113,716,423,0.012011058086228071,2.276035072,2.276066764066994
114,716,425,0.007831141916249885,2.2897572863999995,2.2897706779076374
115,718,427,2,2,2.8284271247461903
116,718,429,0,2,2.0
117,718,428,0,-1,1.0
118,717,432,-1,4,4.123105625617661
119,717,434,0,2,2.0
120,718,436,1,2,2.23606797749979
121,719,439,1,3,3.1622776601683795
122,719,440,0,1,1.0
123,719,442,0,2,2.0
124,718,444,-1,2,2.23606797749979
125,719,446,1,2,2.23606797749979
126,720,448,1,2,2.23606797749979
127,721,450,1,2,2.23606797749979
128,720,451,-1,1,1.4142135623730951
129,720,454,0,3,3.0
130,720,456,0,2,2.0
131,720,457,0,1,1.0
132,720,459,0,2,2.0
133,720,460,0,1,1.0
134,716,462,-4,2,4.47213595499958
135,723,466,7,4,8.06225774829855
136,720,467,-3,1,3.1622776601683795
137,720,469,0,2,2.0
138,720,471,0,2,2.0
139,725,474,5,3,5.830951894845301
140,724,475,-1,1,1.4142135623730951
141,724,478,0,3,3.0
142,717,479,-7,1,7.0710678118654755
143,724,482,7,3,7.615773105863909
144,722,483,-2,1,2.23606797749979
145,724,486,2,3,3.605551275463989
146,724,488,0.0,2.2,2.2
147,724,489,0,1,1.0
148,724,491,0.27999999999999997,2.04,2.0591260281974
149,724,494,0,3,3.0
150,718,495,-6,1,6.082762530298219
151,721,497,3,2,3.605551275463989
152,720,500,-0.1088,3,3.0019722583661563
153,722,501,2,1,2.23606797749979
154,722,503,0,2,2.0
155,721,506,-0.044352,3,3.000327832071689
156,721,508,0.19387392,2.2,2.20852600094637
157,722,508,1,0,1.0
158,722,511,0.1259808768,3,3.0026440317359127
159,722,513,0.051020111872,2.04,2.0406379031605364
160,722,515,0.05306091634688,2.0479999999999996,2.048687253058301
161,722,518,0.0569574330007552,3,3.0005406428132306
162,722,520,0.05148077352078541,2.0176,2.018256680911102
163,722,522,0.013540004461616822,2.4211199999999997,2.421157860636274
164,722,524,0.009042369568081498,2.305344,2.3053617336078527
165,722,526,0.007363259875924758,2.3584128,2.358424294481347
166,722,528,0.005535353617086548,2.42049536,2.4205016893035203
167,722,530,0.003478470441739802,2.304594432,2.3045970571364567
168,722,532,0.0015583783185779774,2.3619933184,2.361993832487551
169,722,534,0.0010791132728564235,2.35016798208,2.3501682298251407
170,722,536,0.0007605830210474204,2.359132778496,2.359132901101756
171,722,538,0.0004964759468523269,2.3592767741952003,2.3592768264333195
172,722,540,0.00029492084004295805,2.34703305703424,2.347033075563656
173,722,542,0.00016757885597508426,2.355520782041088,2.3555207880021207
174,722,544,0.00011194687747096855,2.3542262747693057,2.354226277430924
175,722,546,7.326022165555035e-05,2.355037933307167,2.3550379344466514
176,722,548,4.576730967987554e-05,2.3542189642694,2.3542189647142706
177,722,550,2.773896419297747e-05,2.35320740228424,2.3532074024477296
178,722,552,1.705168915897825e-05,2.35444227133424,2.354442271395987
179,722,554,1.1030602486334007e-05,2.3542265691928703,2.354226569218712
180,722,556,6.993951486948625e-06,2.3542266280775834,2.3542266280879725
181,722,558,4.343300680204556e-06,2.354064367031667,2.3540643670356736
182,722,560,2.686340320217717e-06,2.3540334475841203,2.3540334475856532
183,722,562,1.6842353653073264e-06,2.354198656644096,2.354198656644699
184,733,562,11,0,11.0
185,733,564,0,2,2.0
186,733,565,0,1,1.0
187,733,568,0.4400001748230275,3,3.0320950106888627
188,733,571,0.45760007436233563,3,3.0346989682761643
189,733,574,0.47590400996741455,3,3.037512901487509
190,733,576,0.05494017036611111,2.4,2.40062875562213
191,733,578,0.05713777718075556,2.48,2.480658123478759
192,732,577,-1,-1,1.4142135623730951
193,732,580,0.0018232812750646765,3,3.00000055405905
194,731,583,-0.016407790448426166,3,3.00004486892903
195,734,583,3,0,3.0
196,733,585,-1,2,2.23606797749979
197,733,588,0.039416619633065544,3,3.0002589338094303
198,733,590,0.08099328441838816,2.2,2.201490384289897
199,735,592,2,2,2.8284271247461903
200,734,594,-1,2,2.23606797749979
201,734,596,0.004816396162058148,2.2399999999999998,2.240005178045798
202,733,597,-1,1,1.4142135623730951
203,733,599,0,2,2.0
204,734,601,1,2,2.23606797749979
205,734,604,0,3,3.0
206,734,606,0,2,2.0
207,733,608,-1,2,2.23606797749979
208,733,610,0,2,2.0
209,734,612,1,2,2.23606797749979
210,734,614,0.0,2.2,2.2
211,733,616,-1,2,2.23606797749979
212,734,618,1,2,2.23606797749979
213,733,620,-1,2,2.23606797749979
214,734,622,1,2,2.23606797749979
215,735,624,1,2,2.23606797749979
216,735,626,0,2,2.0
217,736,628,1,2,2.23606797749979
218,736,630,0,2,2.0
219,736,632,0,2,2.0
220,736,634,0,2,2.0
221,737,636,1,2,2.23606797749979
222,738,638,1,2,2.23606797749979
223,738,640,0,2,2.0
224,738,642,0,2,2.0
225,739,644,1,2,2.23606797749979
226,738,646,-1,2,2.23606797749979
227,740,647,2,1,2.23606797749979
228,740,649,0,2,2.0
229,741,651,1,2,2.23606797749979
230,741,653,0,2,2.0
231,741,655,0,2,2.0
232,742,657,1,2,2.23606797749979
233,743,658,1,1,1.4142135623730951
234,743,661,0,3,3.0
235,744,662,1,1,1.4142135623730951
236,743,665,-1,3,3.1622776601683795
237,743,666,0,1,1.0
238,744,669,1,3,3.1622776601683795
239,745,671,1,2,2.23606797749979
240,744,673,-1,2,2.23606797749979
241,745,674,1,1,1.4142135623730951
242,746,676,1,2,2.23606797749979
243,746,678,0,2,2.0
244,746,680,0,2,2.0
245,746,682,0,2,2.0
246,746,685,0,3,3.0
247,747,687,1,2,2.23606797749979
248,746,688,-1,1,1.4142135623730951
249,746,690,0,2,2.0
250,746,692,0,2,2.0
251,747,695,1,3,3.1622776601683795
252,746,696,-1,1,1.4142135623730951
253,746,698,0,2,2.0
254,746,700,0,2,2.0
255,745,702,-1,2,2.23606797749979
256,745,705,0,3,3.0
257,746,707,1,2,2.23606797749979
258,744,709,-2,2,2.8284271247461903
259,745,711,1,2,2.23606797749979
260,745,713,0,2,2.0
261,745,715,0,2,2.0
262,746,717,1,2,2.23606797749979
263,745,719,-1,2,2.23606797749979
264,746,721,1,2,2.23606797749979
265,746,723,0,2,2.0
266,747,725,1,2,2.23606797749979
267,746,727,-1,2,2.23606797749979
268,746,729,0,2,2.0
269,746,731,0,2,2.0
270,748,733,2,2,2.8284271247461903
271,751,747,3,14,14.317821063276353
272,750,750,-1,3,3.1622776601683795
273,750,751,0,1,1.0
274,752,754,2,3,3.605551275463989
275,752,756,0,2,2.0
276,752,759,0,3,3.0
277,753,760,1,1,1.4142135623730951
278,753,761,0,1,1.0
279,754,763,1,2,2.23606797749979
280,755,769,1,6,6.082762530298219
281,756,771,1,2,2.23606797749979
282,756,773,0,2,2.0
283,757,776,1,3,3.1622776601683795
284,757,778,0,2,2.0
285,757,780,0,2,2.0
286,758,782,1,2,2.23606797749979
287,758,784,0,2,2.0
288,758,786,0,2,2.0
289,758,788,0,2,2.0
290,758,790,0,2,2.0
291,758,791,0,1,1.0
292,758,793,0,2,2.0
293,758,795,0,2,2.0
294,758,797,0,2,2.0
295,758,799,0,2,2.0
296,758,801,0,2,2.0
297,757,802,-1,1,1.4142135623730951
298,758,805,1,3,3.1622776601683795
299,757,807,-1,2,2.23606797749979
300,756,808,-1,1,1.4142135623730951
301,754,809,-2,1,2.23606797749979
302,762,813,8,4,8.94427190999916
303,763,814,1,1,1.4142135623730951
304,761,816,-2,2,2.8284271247461903
305,761,818,0,2,2.0
306,762,820,1,2,2.23606797749979
307,763,822,1,2,2.23606797749979
308,761,824,-2,2,2.8284271247461903
309,759,826,-2,2,2.8284271247461903
310,761,828,2,2,2.8284271247461903
311,763,830,2,2,2.8284271247461903
312,759,832,-4,2,4.47213595499958
313,759,834,0,2,2.0
314,760,836,1,2,2.23606797749979
315,759,838,-1,2,2.23606797749979
316,760,840,1,2,2.23606797749979
317,760,842,0,2,2.0
318,760,843,0,1,1.0
