Frame,X,Y,dX,dY,Magnitude
0,689,101,1,0,1.0
1,689,105,0,4,4.0
2,688,108,-1,3,3.1622776601683795
3,687,112,-1,4,4.123105625617661
4,686,115,-1,3,3.1622776601683795
5,685,117,-0.08000000000000002,2.8,2.801142624001855
6,684,120,-0.1232,3.3600000000000003,3.3622579080136017
7,683,123,-0.12812800000000002,3.232,3.2345387282244746
8,682,126,-0.09325312000000001,3.2784,3.2797260105670007
9,681,129,-0.0569832448,3.13408,3.1345979864390805
10,680,132,-0.019262574592000006,3.1608959999999997,3.160954692746467
11,679,135,-0.016833077575680002,3.2330752000000005,3.2331190205984854
12,678,138,-0.0125784006787072,3.2076902400000002,3.2077149019130258
13,677,141,-0.00795641670585549,3.202828288,3.2028381705886746
14,676,144,-0.004544548574089709,3.1877139456,3.18771718505492
15,675,147,-0.0024470007250532964,3.19844073472,3.1984416707716843
16,674,150,-0.0017743777703754277,3.2059496816640007,3.205950172691082
17,673,153,-0.001172029778163245,3.200524577996801,3.200524792595021
18,672,156,-0.0007157749421414866,3.19909144559616,3.1990915256710455
19,684,166,12,10,15.620499351813308
20,686,170,2,4,4.47213595499958
21,687,173,1,3,3.1622776601683795
22,688,176,1,3,3.1622776601683795
23,689,179,1,3,3.1622776601683795
24,690,183,1,4,4.123105625617661
25,690,186,0,3,3.0
26,690,189,0,3,3.0
27,691,193,1,4,4.123105625617661
28,690,196,-1,3,3.1622776601683795
29,690,200,0,4,4.0
30,690,203,0,3,3.0
31,690,207,0,4,4.0
32,689,211,-1,4,4.123105625617661
33,689,214,0,3,3.0
34,688,218,-1,4,4.123105625617661
35,692,221,4,3,5.0
36,691,225,-1,4,4.123105625617661
37,687,229,-4,4,5.656854249492381
38,688,233,1,4,4.123105625617661
39,688,236,0,3,3.0
40,688,239,0,3,3.0
41,689,243,1,4,4.123105625617661
42,682,246,-7,3,7.615773105863909
43,683,249,1,3,3.1622776601683795
44,682,252,-1,3,3.1622776601683795
45,683,256,1,4,4.123105625617661
46,683,259,0,3,3.0
47,682,263,-1,4,4.123105625617661
48,682,266,0,3,3.0
49,682,270,0,4,4.0
50,683,273,1,3,3.1622776601683795
51,684,277,1,4,4.123105625617661
52,685,280,1,3,3.1622776601683795
53,687,283,2,3,3.605551275463989
54,687,286,0,3,3.0
55,688,289,1,3,3.1622776601683795
56,689,293,1,4,4.123105625617661
57,689,296,0,3,3.0
58,690,300,1,4,4.123105625617661
59,690,303,0,3,3.0
60,690,307,0,4,4.0
61,689,310,-1,3,3.1622776601683795
62,688,314,-1,4,4.123105625617661
63,687,318,-1,4,4.123105625617661
64,686,322,-1,4,4.123105625617661
65,685,325,-1,3,3.1622776601683795
66,683,328,-2,3,3.605551275463989
67,683,331,0,3,3.0
68,682,335,-1,4,4.123105625617661
69,681,338,-1,3,3.1622776601683795
70,682,340,1,2,2.23606797749979
71,682,343,0,3,3.0
72,682,348,0,5,5.0
73,682,351,0,3,3.0
74,683,355,1,4,4.123105625617661
75,683,358,0,3,3.0
76,683,363,0,5,5.0
77,685,366,2,3,3.605551275463989
78,687,369,2,3,3.605551275463989
79,686,373,-1,4,4.123105625617661
80,690,376,4,3,5.0
81,691,378,1,2,2.23606797749979
82,691,381,0,3,3.0
83,692,384,1,3,3.1622776601683795
84,693,387,1,3,3.1622776601683795
85,693,390,0,3,3.0
86,693,393,0,3,3.0
87,693,397,0,4,4.0
88,693,401,0,4,4.0
89,692,405,-1,4,4.123105625617661
90,691,408,-1,3,3.1622776601683795
91,689,412,-2,4,4.47213595499958
92,688,415,-1,3,3.1622776601683795
93,687,418,-1,3,3.1622776601683795
94,684,421,-3,3,4.242640687119285
95,684,425,0,4,4.0
96,683,428,-1,3,3.1622776601683795
97,682,431,-1,3,3.1622776601683795
98,682,435,0,4,4.0
99,682,438,0,3,3.0
100,683,442,1,4,4.123105625617661
101,680,444,-3,2,3.605551275463989
102,680,447,0,3,3.0
103,684,451,4,4,5.656854249492381
104,685,455,1,4,4.123105625617661
105,688,458,3,3,4.242640687119285
106,688,460,0,2,2.0
107,689,463,1,3,3.1622776601683795
108,691,465,2,2,2.8284271247461903
109,691,468,0,3,3.0
110,693,471,2,3,3.605551275463989
111,693,474,0,3,3.0
112,693,477,0,3,3.0
113,693,480,0,3,3.0
114,693,484,0,4,4.0
115,693,488,0,4,4.0
116,692,491,-1,3,3.1622776601683795
117,692,495,0,4,4.0
