Frame,X,Y,dX,dY,Magnitude
0,734,82,-1,-1,1.4142135623730951
1,732,93,-2,11,11.180339887498949
2,734,106,2,13,13.152946437965905
3,735,119,1,13,13.038404810405298
4,736,133,1,14,14.035668847618199
5,728,152,-8,19,20.615528128088304
6,730,165,2,13,13.152946437965905
7,738,171,8,6,10.0
8,739,184,1,13,13.038404810405298
9,741,196,2,12,12.165525060596439
10,741,208,0.2,12.6,12.60158720161869
11,744,222,3,14,14.317821063276353
12,746,235,2,13,13.152946437965905
13,749,247,3,12,12.36931687685298
14,751,259,2,12,12.165525060596439
15,751,271,0.40800000000000003,12.72,12.726541714071423
16,751,283,0.41632,12.744,12.750798341374551
17,751,295,0.31297280000000005,12.492799999999999,12.496719722132676
18,751,307,0.24549171200000003,12.39136,12.393791543763381
19,751,319,0.13531138048,12.469632,12.470366128751449
20,751,331,0.06072383569919999,12.5635584,12.5637051483403
21,751,343,0.046832789127168,12.53227008,12.532357586192658
22,751,355,0.032053300692254726,12.489924096,12.489965225649215
23,751,367,0.02081652071994491,12.4893489152,12.48936626307125
24,751,379,0.011829513068742704,12.508946698239999,12.508952291730463
25,751,391,0.006890238372292414,12.516809637887999,12.516811534352938
26,751,403,0.00473689447921611,12.507459885465599,12.507460782457022
27,751,415,0.0030530586932980344,12.502497846558722,12.502498219330922
28,751,427,0.001893049013339767,12.505012596670463,12.505012739958385
29,751,439,0.0011361101450755612,12.508145332964556,12.508145384560786
30,751,451,0.0007083740281288754,12.507985059909467,12.507985079968403
31,751,463,0.00046109945436233397,12.50622014431376,12.50622015281404
32,751,475,0.0002900676533681828,12.505972196083393,12.505972199447354
33,751,487,0.00017954801177098886,12.506667065988328,12.50666706727714
34,751,499,0.0001110079717082377,12.506997959851901,12.506997960344536
35,751,511,7.000388477354475e-05,12.506768485229369,12.506768485425285
36,751,523,4.446907903933153e-05,12.506525170293349,12.506525170372408
37,751,535,2.7803864026411424e-05,12.506586175489268,12.506586175520173
38,751,547,1.7313312452740573e-05,12.506708971370443,12.506708971382427
39,751,559,1.082392448001064e-05,12.506717352446866,12.50671735245155
40,751,571,6.8165625908815564e-06,12.506661230965857,12.506661230967715
41,751,583,4.289069703575029e-06,12.506639780113158,12.506639780113893
42,751,595,2.6818693301447685e-06,12.506662702077119,12.506662702077406
43,751,607,1.6769895422941027e-06,12.506678007394688,12.506678007394802
44,751,619,1.0515366258762437e-06,12.506671814599539,12.506671814599583
45,751,631,6.606411117108681e-07,12.50666270703007,12.506662707030088
46,751,643,4.1440425254404044e-07,12.506663002242917,12.506663002242924
47,751,655,2.5941763450280095e-07,12.506667646668868,12.50666764666887
48,751,667,1.6251956667712223e-07,12.506668635587216,12.506668635587218
49,751,679,1.0194076765244301e-07,12.506666761225722,12.506666761225722
50,751,691,6.395693332349098e-08,12.50666575055096,12.50666575055096
51,751,703,4.008956618799591e-08,12.506666359255137,12.506666359255137
52,751,715,2.5116978733754128e-08,12.50666703065758,12.50666703065758
53,751,727,1.574495250299225e-08,12.506666907455323,12.506666907455323
54,751,739,9.873967936027052e-09,12.506666561828945,12.506666561828945
55,751,751,6.191295947370413e-09,12.506666521949587,12.506666521949587
56,751,763,3.88067045232559e-09,12.506666676229315,12.506666676229315
57,751,775,2.4323146228987777e-09,12.506666739624148,12.506666739624148
58,751,787,1.5249280584645632e-09,12.506666681417466,12.506666681417466
59,751,799,9.561270806834558e-10,12.506666636209893,12.506666636209893
