Frame,X,Y,dX,dY,Magnitude
0,509,152,-5,-2,5.385164807134504
1,508,151,-1,-1,1.4142135623730951
2,506,148,-2,-3,3.605551275463989
3,517,160,11,12,16.278820596099706
4,514,165,-3,5,5.830951894845301
5,518,163,4,-2,4.47213595499958
6,518,165,0.36000000000000004,2.2,2.229259966894844
7,518,167,0.41440000000000005,2.84,2.8700744519959756
8,521,167,3,0,3.0
9,524,176,3,9,9.486832980505138
10,528,183,4,7,8.06225774829855
11,531,191,3,8,8.54400374531753
12,534,199,3,8,8.54400374531753
13,537,207,3,8,8.54400374531753
14,539,215,2,8,8.246211251235321
15,541,224,2,9,9.219544457292887
16,543,233,2,9,9.219544457292887
17,544,241,1,8,8.06225774829855
18,546,251,2,10,10.198039027185569
19,547,260,1,9,9.055385138137417
20,548,270,1,10,10.04987562112089
21,550,279,2,9,9.219544457292887
22,552,289,2,10,10.198039027185569
23,554,299,2,10,10.198039027185569
24,557,308,3,9,9.486832980505138
25,560,317,3,9,9.486832980505138
26,563,326,3,9,9.486832980505138
27,566,336,3,10,10.44030650891055
28,569,344,3,8,8.54400374531753
29,572,353,3,9,9.486832980505138
30,574,363,2,10,10.198039027185569
31,576,372,2,9,9.219544457292887
32,577,382,1,10,10.04987562112089
33,577,392,0,10,10.0
34,577,402,0,10,10.0
35,575,411,-2,9,9.219544457292887
36,573,420,-2,9,9.219544457292887
37,570,429,-3,9,9.486832980505138
38,567,437,-3,8,8.54400374531753
39,563,445,-4,8,8.94427190999916
40,560,452,-3,7,7.615773105863909
41,557,460,-3,8,8.54400374531753
42,554,467,-3,7,7.615773105863909
43,551,475,-3,8,8.54400374531753
44,548,482,-3,7,7.615773105863909
45,544,490,-4,8,8.94427190999916
46,542,498,-2,8,8.246211251235321
47,537,506,-5,8,9.433981132056603
48,534,513,-3,7,7.615773105863909
49,531,520,-3,7,7.615773105863909
50,528,527,-3,7,7.615773105863909
51,525,534,-3,7,7.615773105863909
52,523,541,-2,7,7.280109889280518
53,520,549,-3,8,8.54400374531753
54,517,557,-3,8,8.54400374531753
55,514,564,-3,7,7.615773105863909
56,511,572,-3,8,8.54400374531753
57,508,580,-3,8,8.54400374531753
58,504,587,-4,7,8.06225774829855
59,501,594,-3,7,7.615773105863909
60,498,602,-3,8,8.54400374531753
61,495,609,-3,7,7.615773105863909
62,492,616,-3,7,7.615773105863909
63,489,623,-3,7,7.615773105863909
64,487,631,-2,8,8.246211251235321
65,485,639,-2,8,8.246211251235321
66,484,647,-1,8,8.06225774829855
67,482,655,-2,8,8.246211251235321
68,480,664,-2,9,9.219544457292887
69,478,671,-2,7,7.280109889280518
70,478,680,0,9,9.0
71,478,689,0,9,9.0
72,477,696,-1,7,7.0710678118654755
73,471,706,-6,10,11.661903789690601
74,470,709,-1,3,3.1622776601683795
75,468,722,-2,13,13.152946437965905
76,466,730,-2,8,8.246211251235321
77,465,734,-1,4,4.123105625617661
78,463,745,-2,11,11.180339887498949
79,458,745,-5,0,5.0
80,458,765,0,20,20.0
81,455,771,-3,6,6.708203932499369
